Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.0,0.90396,0.63551,0.03345,1.22942,0.91465,0.16504,,0.00849,0.12802,0.625
1,42,hsic,HSIC,0.0,1.0,50,0.0,0.90396,0.63551,0.03345,2.51725,1.41849,0.16851,,0.00833,0.19071,0.85
1,42,hsic,HSIC,0.0,1.0,100,1.0,0.88151,0.62582,0.0219,1.04666,0.84136,0.14696,,0.01102,0.16973,0.8
1,42,hsic,HSIC,0.0,1.0,100,0.0,0.88151,0.62582,0.0219,2.26052,1.32971,0.14577,,0.01126,0.22725,0.85
1,42,hsic,HSIC,0.0,1.0,300,1.0,0.66483,0.57666,0.02187,1.04974,0.7856,0.14522,,0.0085,0.22778,0.775
1,42,hsic,HSIC,0.0,1.0,300,0.0,0.66483,0.57666,0.02187,5.30873,1.97701,0.18924,,0.02214,0.13605,0.725
1,42,hsic,HSIC,0.0,1.0,500,1.0,0.65574,0.5477,0.02042,1.21238,0.91518,0.15361,,0.0085,0.22256,0.85
1,42,hsic,HSIC,0.0,1.0,500,0.0,0.65574,0.5477,0.02042,2.4339,1.39276,0.1552,,0.00852,0.26884,0.775
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,0.67936,0.6689,0.03317,1.22053,0.93283,0.08993,,0.0112,0.02924,0.625
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,0.70372,0.6802,0.0389,0.96579,0.80708,0.08025,,0.0138,0.02328,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,0.70807,0.67299,0.04735,0.93106,0.78229,0.08031,,0.01372,0.02187,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,0.70006,0.66423,0.05151,0.91153,0.76704,0.08199,,0.01353,0.02213,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,0.71886,0.68741,0.04595,0.9668,0.80236,0.09246,,0.0131,0.05666,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,0.72552,0.691,0.04913,0.96415,0.80246,0.09428,,0.01265,0.05787,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.0,0.72499,0.69172,0.05942,0.95956,0.80002,0.09434,,0.01259,0.05454,0.65
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.0,0.71619,0.68763,0.06783,0.95783,0.80156,0.09623,,0.01206,0.05526,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.0,0.73766,0.68796,0.07613,0.92565,0.78274,0.10031,,0.0112,0.06034,0.725
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,0.67936,0.6689,0.03317,1.87591,1.19383,0.13962,,0.01009,0.07323,0.65
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,0.70372,0.6802,0.0389,1.64459,1.09775,0.12939,,0.01206,0.07643,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,0.70807,0.67299,0.04735,1.50221,1.04041,0.12983,,0.01186,0.0636,0.7
