Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.0,5.05042,1.49165,0.16608,1.57808,1.02244,0.40958,,0.01576,0.08843,0.725
1,42,hsic,HSIC,0.0,1.0,50,0.0,5.05042,1.49165,0.16608,2.89763,1.48322,0.41581,,0.01582,0.18468,0.825
1,42,hsic,HSIC,0.0,1.0,100,1.0,3.08157,1.14509,0.07266,1.47763,0.98313,0.38777,,0.01459,0.16946,0.75
1,42,hsic,HSIC,0.0,1.0,100,0.0,3.08157,1.14509,0.07266,2.57554,1.39626,0.39351,,0.01506,0.21765,0.8
1,42,hsic,HSIC,0.0,1.0,300,1.0,3.34631,1.27514,0.0334,1.39019,0.9644,0.37607,,0.01542,0.18864,0.825
1,42,hsic,HSIC,0.0,1.0,300,0.0,3.34631,1.27514,0.0334,2.65793,1.41418,0.37891,,0.01561,0.23788,0.825
1,42,hsic,HSIC,0.0,1.0,500,1.0,2.96055,1.14012,0.06878,3.90353,1.78058,0.15073,,0.01155,0.12723,0.775
1,42,hsic,HSIC,0.0,1.0,500,0.0,2.96055,1.14012,0.06878,2.25119,1.26329,0.14602,,0.015,0.15035,0.775
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,4.11115,1.3201,0.15758,1.25322,0.92928,0.2312,,0.0133,0.0848,0.725
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,3.76695,1.26074,0.15729,1.13667,0.87643,0.21195,,0.01351,0.07747,0.7
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,3.23269,1.19744,0.14302,1.04197,0.84276,0.18008,,0.01269,0.07053,0.725
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,3.20589,1.20576,0.16949,1.09723,0.85441,0.15786,,0.01084,0.06583,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,2.92623,1.18315,0.13671,1.38636,0.8656,0.13973,,0.00981,0.1041,0.725
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,2.80547,1.17224,0.13307,1.56008,0.92875,0.12313,,0.00925,0.11517,0.7
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.0,2.74735,1.15632,0.12788,1.18447,0.90211,0.13426,,0.00982,0.11193,0.775
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.0,2.68455,1.1424,0.11956,1.13561,0.89558,0.13998,,0.01011,0.11436,0.725
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.0,2.74722,1.13649,0.11757,1.11144,0.8871,0.15119,,0.01027,0.11467,0.75
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,4.11115,1.3201,0.15758,1.58149,1.05248,0.30955,,0.01533,0.10711,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,3.76695,1.26074,0.15729,1.76968,1.07564,0.3032,,0.0152,0.11264,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,3.23269,1.19744,0.14302,1.8135,1.08796,0.2834,,0.01489,0.12204,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.0,3.20589,1.20576,0.16949,1.64502,1.08282,0.26027,,0.01428,0.12753,0.725
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.0,2.92623,1.18315,0.13671,0.7364,0.70118,0.06439,,0.0067,0.08079,0.7
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.0,2.80547,1.17224,0.13307,0.66977,0.68037,0.01265,,0.00384,0.06636,0.775
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.0,2.74735,1.15632,0.12788,0.76852,0.73666,0.01044,,0.00299,0.08406,0.775
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.0,2.68455,1.1424,0.11956,0.80318,0.75409,0.01252,,0.00269,0.09264,0.75
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.0,2.74722,1.13649,0.11757,0.82037,0.75928,0.03145,,0.00257,0.10089,0.75
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.0,1.47997,0.94689,0.05685,1.11286,0.87708,0.08072,,0.0054,0.04407,0.6
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.0,5.20881,1.17048,0.07944,0.69419,0.65263,0.01712,,0.00148,0.03281,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.0,3.58879,1.11529,0.07234,0.68954,0.65063,0.01681,,0.00151,0.03212,0.675
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.0,3.48235,1.13402,0.0851,0.809,0.74872,0.06619,,0.00681,0.04436,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.0,3.32157,1.14393,0.09317,0.63914,0.63594,0.01289,,0.00144,0.02992,0.6
