Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.0,1.15858,0.88198,0.05104,1.42875,0.99916,0.12767,,0.00734,0.05344,0.6
1,42,hsic,HSIC,0.0,1.0,50,0.0,1.15858,0.88198,0.05104,2.51935,1.26439,0.12756,,0.00731,0.11631,0.725
1,42,hsic,HSIC,0.0,1.0,100,1.0,1.17257,0.90521,0.02705,1.45772,1.00546,0.12221,,0.00705,0.06027,0.55
1,42,hsic,HSIC,0.0,1.0,100,0.0,1.17257,0.90521,0.02705,2.6198,1.28925,0.12292,,0.00711,0.13763,0.65
1,42,hsic,HSIC,0.0,1.0,300,1.0,1.22797,0.92802,0.05797,1.48619,1.01182,0.12219,,0.00705,0.05667,0.525
1,42,hsic,HSIC,0.0,1.0,300,0.0,1.22797,0.92802,0.05797,2.62977,1.2918,0.12299,,0.00711,0.12304,0.625
1,42,hsic,HSIC,0.0,1.0,500,1.0,1.1921,0.90461,0.01925,1.50772,1.01748,0.12573,,0.00719,0.07659,0.525
1,42,hsic,HSIC,0.0,1.0,500,0.0,1.1921,0.90461,0.01925,2.65801,1.30095,0.12693,,0.00727,0.14861,0.7
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,1.04885,0.87373,0.04931,1.37603,0.98334,0.09515,,0.00581,0.02245,0.65
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,0.9684,0.83394,0.03717,1.75613,1.08309,0.0988,,0.0122,0.11328,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,1.0199,0.8631,0.04263,1.77644,1.08941,0.10185,,0.01268,0.12172,0.7
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,1.01959,0.86273,0.04293,1.51662,1.00841,0.06285,,0.00967,0.11314,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,1.03128,0.87042,0.04369,1.6016,1.03317,0.07142,,0.0105,0.12323,0.65
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,1.03137,0.8707,0.04415,1.37925,0.9843,0.10703,,0.0064,0.02892,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.0,1.02728,0.86849,0.04432,1.37852,0.9841,0.10658,,0.00637,0.02844,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.0,1.0288,0.86913,0.04448,1.37914,0.96671,0.07765,,0.01029,0.07504,0.575
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.0,1.02748,0.86803,0.0446,1.37131,0.96562,0.07533,,0.0101,0.0786,0.575
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,1.04885,0.87373,0.04931,2.4164,1.23681,0.11918,,0.00695,0.07083,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,0.9684,0.83394,0.03717,1.11937,0.89058,0.053,,0.00559,0.02596,0.675
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,1.0199,0.8631,0.04263,1.0889,0.8781,0.04302,,0.00511,0.02699,0.625
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.0,1.01959,0.86273,0.04293,1.07575,0.86917,0.04232,,0.00569,0.02806,0.6
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.0,1.03128,0.87042,0.04369,1.12207,0.8875,0.05323,,0.00607,0.03016,0.675
