Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.0,3.63759,1.32055,0.03572,1.65994,1.03306,0.17312,,0.00739,0.04206,0.675
1,42,hsic,HSIC,0.0,1.0,50,0.0,3.63759,1.32055,0.03572,2.57405,1.30531,0.16635,,0.00743,0.08277,0.65
1,42,hsic,HSIC,0.0,1.0,100,1.0,2.42728,1.23708,0.0209,1.60555,1.00697,0.16252,,0.00713,0.06607,0.575
1,42,hsic,HSIC,0.0,1.0,100,0.0,2.42728,1.23708,0.0209,2.59625,1.3145,0.15963,,0.00718,0.12643,0.575
1,42,hsic,HSIC,0.0,1.0,300,1.0,2.59245,1.27117,0.01466,1.61342,1.02101,0.1555,,0.00706,0.09203,0.675
1,42,hsic,HSIC,0.0,1.0,300,0.0,2.59245,1.27117,0.01466,2.71028,1.34322,0.15441,,0.00717,0.15122,0.625
1,42,hsic,HSIC,0.0,1.0,500,1.0,2.27572,1.19935,0.00856,1.70636,1.05424,0.15999,,0.00714,0.11659,0.65
1,42,hsic,HSIC,0.0,1.0,500,0.0,2.27572,1.19935,0.00856,2.93615,1.40122,0.16129,,0.00729,0.16589,0.7
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,2.90804,1.18302,0.05198,1.68389,1.03908,0.1775,,0.00736,0.0382,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,3.79105,1.2821,0.04024,1.32207,0.93668,0.03119,,0.00673,0.01705,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,5.95284,1.3199,0.02773,1.24084,0.90069,0.03488,,0.00642,0.0169,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,2.63656,1.22621,0.03825,1.18105,0.87021,0.03185,,0.0066,0.01633,0.625
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,2.01409,1.13773,0.02108,1.14221,0.85416,0.03334,,0.00667,0.01657,0.6
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,3.92157,1.33668,0.04814,1.13509,0.84946,0.03856,,0.00719,0.01696,0.575
