Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,4.94277,1.5006,0.14863,20.39249,2.21201,0.37091,0.52601,0.00821,0.05349,0.6
1,42,hsic,HSIC,0.0,1.0,100,3.95732,1.32692,0.11648,33.19742,2.46264,0.33885,0.50375,0.00813,0.08764,0.525
1,42,hsic,HSIC,0.0,1.0,300,1.84787,0.93431,0.02123,29.70911,2.46318,0.34001,0.51355,0.00636,0.10143,0.75
1,42,hsic,HSIC,0.0,1.0,500,4.40166,1.44703,0.09866,33.68348,2.76047,0.18082,0.25028,0.00419,0.09276,0.675
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,2.35084,1.09717,0.09368,1.17021,0.89547,0.11889,0.08401,0.00412,0.02753,0.6
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,2.50075,1.13346,0.09713,1.31031,0.91902,0.12033,0.09326,0.00432,0.03097,0.55
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,2.59612,1.14768,0.10774,1.42527,0.93571,0.11428,0.10916,0.0046,0.03405,0.575
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,3.3244,1.21401,0.14527,1.45975,0.94867,0.11443,0.11513,0.00541,0.03979,0.625
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,2.93303,1.17805,0.13446,1.29325,0.77173,0.04834,0.08339,0.0033,0.03607,0.575
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,2.74022,1.16963,0.12688,1.44193,0.88149,0.0971,0.11715,0.00373,0.03531,0.55
