Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.58157,1.06787,0.06819,3.8627,1.50258,0.20969,0.34213,0.01132,0.13303,0.6
1,42,hsic,HSIC,0.0,1.0,100,1.74054,1.11599,0.12624,4.47678,1.68005,0.48103,0.30885,0.00446,0.04551,0.7
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.08697,0.88069,0.05864,2.74141,1.29762,0.1739,0.30038,0.01039,0.11262,0.5
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.91308,0.77469,0.04223,1.1938,0.86812,0.06196,0.15701,0.00683,0.05641,0.5
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.89567,0.7953,0.03114,1.21004,0.8889,0.0678,0.16142,0.00629,0.06813,0.5
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.9365,0.83563,0.03507,1.28946,0.91912,0.08175,0.1839,0.00575,0.07,0.6
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.99486,0.86992,0.03737,1.34055,0.93833,0.09212,0.1938,0.00591,0.07538,0.6
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.02979,0.89108,0.03998,1.35826,0.94862,0.09821,0.19644,0.00613,0.07016,0.6
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.22192,0.95712,0.05888,1.35834,0.95166,0.10128,0.19409,0.00673,0.0735,0.5
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.09575,0.87725,0.13102,1.25304,0.91801,0.09185,0.17358,0.0069,0.05725,0.7
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.10152,0.88135,0.1286,1.61388,1.02541,0.13739,0.22586,0.00677,0.07945,0.6
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.50579,1.0438,0.11581,2.20717,1.26937,0.39424,0.20069,0.00202,0.04811,0.55
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.72745,1.11481,0.15972,1.76375,1.10653,0.29227,0.1428,0.00138,0.0552,0.75
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.71085,1.10905,0.16083,1.48981,1.02198,0.176,0.08047,0.00202,0.0569,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.73443,1.1158,0.1687,1.28023,0.95069,0.11249,0.06347,0.00183,0.05502,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.72986,1.11461,0.17165,1.29884,0.95283,0.11898,0.06342,0.00187,0.05522,0.55
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.72781,1.11419,0.17359,1.25316,0.93195,0.10079,0.05361,0.00214,0.05434,0.6
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.77903,1.12867,0.18553,1.24341,0.9375,0.09091,0.05126,0.0021,0.05322,0.65
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.77836,1.12858,0.18711,1.26274,0.94625,0.11185,0.06506,0.00191,0.05438,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.7782,1.1286,0.19087,1.3803,0.98583,0.16983,0.08864,0.00158,0.05594,0.55
1,42,mse,MSE,1.0,0.0,50,1.10501,0.88311,0.1281,1.70727,1.02908,0.12747,0.23456,0.00776,0.07908,0.6
