Experiment,Seed,N,Best_val_nll,MMD,RF Acc
1,42,50,3.78501,0.06718,0.6
1,42,100,3.33724,0.05841,0.575
1,42,300,7.63132,0.05389,0.625
1,42,500,11.5,0.0295,0.65
2,43,50,40.3072,0.07306,0.8
2,43,100,202.12437,0.06752,0.675
2,43,300,11.96285,0.04021,0.6
2,43,500,9.37583,0.04001,0.675
3,44,50,4.32308,0.04918,0.6
3,44,100,3.255,0.03543,0.625
3,44,300,31.74368,0.04149,0.65
3,44,500,15.66178,0.03658,0.7
4,45,50,10.74873,0.06582,0.725
4,45,100,23.42278,0.0661,0.775
4,45,300,4.63915,0.03845,0.725
4,45,500,4.46341,0.03326,0.6
5,46,50,3.03019,0.03304,0.7
5,46,100,3.61297,0.05779,0.75
5,46,300,6.74104,0.02967,0.575
5,46,500,10.44475,0.02476,0.575
6,47,50,7.02227,0.05187,0.6
6,47,100,13.8373,0.06532,0.675
6,47,300,22.95046,0.06138,0.7
6,47,500,10.54096,0.04391,0.6
7,48,50,8.3446,0.0545,0.625
7,48,100,12.64416,0.06293,0.675
7,48,300,4.49418,0.03799,0.55
7,48,500,65.44341,0.03103,0.55
8,49,50,3.42393,0.10392,0.8
8,49,100,5.32574,0.07963,0.725
8,49,300,11.73866,0.04582,0.6
8,49,500,13.74823,0.02333,0.625
9,50,50,5.7381,0.0722,0.775
9,50,100,5.13841,0.09409,0.775
9,50,300,5.38334,0.04587,0.6
9,50,500,5.67127,0.03025,0.6
10,51,50,3.59927,0.03509,0.725
10,51,100,3.13844,0.05037,0.7
10,51,300,5.20598,0.0423,0.625
10,51,500,7.49623,0.03289,0.625
11,52,50,13.82997,0.07103,0.7
11,52,100,48.19413,0.04252,0.7
11,52,300,3.3721,0.05469,0.6
11,52,500,11.17506,0.04089,0.625
12,53,50,3.52665,0.05091,0.675
12,53,100,3.57302,0.0444,0.7
12,53,300,4.15444,0.02911,0.775
12,53,500,7.79581,0.02938,0.575
13,54,50,8.64652,0.05955,0.7
13,54,100,12.77845,0.02823,0.675
13,54,300,3.5922,0.03528,0.6
13,54,500,8.97067,0.02331,0.55
14,55,50,4.21366,0.04658,0.7
14,55,100,5.60731,0.03894,0.675
14,55,300,7.21779,0.03406,0.65
14,55,500,197.54764,0.02163,0.625
15,56,50,3.7183,0.08096,0.625
15,56,100,12.47968,0.04803,0.65
15,56,300,12.93165,0.03865,0.65
15,56,500,14.53407,0.03226,0.7
16,57,50,3.29588,0.0457,0.75
16,57,100,11.5545,0.03357,0.7
16,57,300,6.29399,0.05201,0.6
16,57,500,65.10256,0.02335,0.675
17,58,50,4.32905,0.04567,0.625
17,58,100,4.74007,0.05941,0.575
17,58,300,22.59673,0.04732,0.6
17,58,500,44.52952,0.03217,0.55
18,59,50,5.18188,0.04989,0.675
18,59,100,16.07573,0.03034,0.6
18,59,300,8.66284,0.03458,0.75
18,59,500,5.59666,0.03647,0.675
19,60,50,5.4512,0.07903,0.75
19,60,100,3.16646,0.04995,0.625
19,60,300,1647.14185,0.03767,0.625
19,60,500,8.41992,0.03452,0.675
20,61,50,3.85911,0.05315,0.725
20,61,100,6.15968,0.05842,0.675
20,61,300,5.29976,0.03712,0.625
20,61,500,4.89308,0.03827,0.7
