Experiment,Seed,N,Best_val_nll,MMD,RF Acc
1,42,50,3.95153,0.03209,0.65
1,42,100,6.56796,0.0259,0.625
1,42,300,7.6836,0.01982,0.575
1,42,500,4.12759,0.02052,0.525
2,43,50,11.75131,0.02617,0.775
2,43,100,28.49992,0.01751,0.625
2,43,300,35.56326,0.01834,0.65
2,43,500,7.10228,0.0186,0.525
3,44,50,36.68603,0.02506,0.575
3,44,100,45.77367,0.036,0.725
3,44,300,39.31388,0.02279,0.575
3,44,500,18.31859,0.0192,0.575
4,45,50,3.38934,0.0323,0.725
4,45,100,5.47525,0.01153,0.575
4,45,300,6.72658,0.01515,0.575
4,45,500,12.91814,0.01333,0.5
5,46,50,3.70217,0.02999,0.775
5,46,100,8.27621,0.03996,0.725
5,46,300,6.68441,0.02094,0.675
5,46,500,9.086,0.01483,0.55
6,47,50,21.55803,0.05093,0.7
6,47,100,141.14484,0.04209,0.675
6,47,300,8.20502,0.02074,0.575
6,47,500,7.87624,0.02302,0.65
7,48,50,4.14797,0.06053,0.65
7,48,100,5.7074,0.02499,0.675
7,48,300,10.04831,0.02551,0.6
7,48,500,8.32281,0.01682,0.575
8,49,50,4.83557,0.03045,0.5
8,49,100,16.08784,0.02095,0.725
8,49,300,20.68342,0.02198,0.575
8,49,500,6.87294,0.0215,0.65
9,50,50,3.98879,0.01266,0.6
9,50,100,3.79037,0.02285,0.675
9,50,300,5.69648,0.02748,0.6
9,50,500,7.60148,0.01963,0.625
10,51,50,3.59041,0.02083,0.625
10,51,100,4.18327,0.02903,0.675
10,51,300,17.16672,0.01767,0.525
10,51,500,7.24163,0.01808,0.6
11,52,50,3.67281,0.04892,0.55
11,52,100,6.3128,0.03266,0.675
11,52,300,76.59692,0.02759,0.65
11,52,500,5.61138,0.01501,0.6
12,53,50,4.54642,0.03792,0.65
12,53,100,7.51837,0.02354,0.575
12,53,300,225.28006,0.01773,0.6
12,53,500,5.80509,0.01667,0.6
13,54,50,14.33854,0.02257,0.675
13,54,100,9.65196,0.0185,0.625
13,54,300,13.29559,0.01692,0.6
13,54,500,5.10578,0.01969,0.625
14,55,50,6.50906,0.02944,0.65
14,55,100,6.38078,0.02571,0.5
14,55,300,5.73211,0.0175,0.6
14,55,500,10.99195,0.01623,0.5
15,56,50,4.29442,0.03321,0.7
15,56,100,4.97336,0.01968,0.55
15,56,300,7.40111,0.01743,0.575
15,56,500,10.13373,0.01635,0.5
16,57,50,3.59827,0.04685,0.775
16,57,100,4.32351,0.02534,0.7
16,57,300,11.89635,0.0199,0.6
16,57,500,46.4871,0.01955,0.625
17,58,50,3.67055,0.02237,0.6
17,58,100,5.60463,0.03187,0.675
17,58,300,6.85793,0.01379,0.625
17,58,500,9.05429,0.01462,0.575
18,59,50,11.75097,0.03876,0.625
18,59,100,15.10955,0.02419,0.625
18,59,300,4.17413,0.02491,0.6
18,59,500,11.56166,0.01685,0.75
19,60,50,14.97173,0.03186,0.625
19,60,100,16.11809,0.01864,0.7
19,60,300,6.50383,0.01902,0.55
19,60,500,15.11267,0.01478,0.575
20,61,50,3.75323,0.02088,0.525
20,61,100,5.20593,0.03242,0.55
20,61,300,6.09598,0.01554,0.6
20,61,500,8.00346,0.01573,0.575
