Experiment,Seed,N,Best_val_nll,MMD,RF Acc
1,42,50,4.47101,0.01325,0.725
1,42,100,3.85805,0.01696,0.725
1,42,300,7.73444,0.01333,0.6
1,42,500,6.0857,0.0125,0.575
2,43,50,8.2627,0.01541,0.725
2,43,100,6.20149,0.01715,0.55
2,43,300,4.79982,0.01971,0.7
2,43,500,7.13116,0.01164,0.625
3,44,50,5.92796,0.01204,0.625
3,44,100,4.71691,0.01876,0.55
3,44,300,4.50675,0.01915,0.575
3,44,500,5.75928,0.01176,0.575
4,45,50,3.65786,0.02527,0.7
4,45,100,4.17511,0.01773,0.575
4,45,300,6.73836,0.01067,0.55
4,45,500,5.79887,0.01232,0.55
5,46,50,4.60014,0.01477,0.625
5,46,100,4.27164,0.01225,0.575
5,46,300,6.12351,0.01692,0.525
5,46,500,6.84386,0.01339,0.5
6,47,50,7.08366,0.04175,0.75
6,47,100,4.09491,0.01893,0.675
6,47,300,5.72261,0.01528,0.5
6,47,500,6.25664,0.01968,0.65
7,48,50,4.98956,0.02155,0.625
7,48,100,4.23381,0.01898,0.6
7,48,300,8.75531,0.01494,0.6
7,48,500,5.04555,0.01429,0.55
8,49,50,5.8272,0.02231,0.675
8,49,100,4.69751,0.02157,0.575
8,49,300,5.38402,0.01519,0.7
8,49,500,5.36825,0.01157,0.55
9,50,50,4.76793,0.02871,0.75
9,50,100,10.97343,0.02209,0.7
9,50,300,5.78361,0.0126,0.575
9,50,500,4.47987,0.01381,0.575
10,51,50,3.4107,0.02031,0.675
10,51,100,5.41788,0.01613,0.65
10,51,300,4.44896,0.0122,0.6
10,51,500,9.12662,0.0108,0.575
11,52,50,12.68804,0.02524,0.675
11,52,100,10.55248,0.02409,0.725
11,52,300,5.08986,0.01824,0.55
11,52,500,4.76032,0.01716,0.55
12,53,50,5.22024,0.02941,0.7
12,53,100,5.26408,0.03636,0.65
12,53,300,6.87866,0.02004,0.55
12,53,500,8.50985,0.01661,0.6
13,54,50,5.50716,0.02506,0.65
13,54,100,7.07034,0.01861,0.625
13,54,300,4.72891,0.01302,0.525
13,54,500,4.54163,0.01016,0.675
14,55,50,4.44872,0.02665,0.7
14,55,100,11.46199,0.0209,0.675
14,55,300,6.97735,0.01581,0.575
14,55,500,6.04646,0.01166,0.625
15,56,50,6.95966,0.05325,0.7
15,56,100,7.20774,0.01986,0.575
15,56,300,6.61265,0.01578,0.5
15,56,500,5.46971,0.01424,0.525
16,57,50,4.54087,0.02988,0.7
16,57,100,5.95703,0.02648,0.725
16,57,300,5.76986,0.01647,0.65
16,57,500,7.81811,0.01028,0.55
17,58,50,7.95195,0.02599,0.675
17,58,100,4.65373,0.01846,0.6
17,58,300,4.23704,0.01679,0.5
17,58,500,5.13062,0.00749,0.55
18,59,50,4.86422,0.03849,0.7
18,59,100,6.92936,0.0282,0.65
18,59,300,5.31031,0.0215,0.625
18,59,500,5.55298,0.01879,0.575
19,60,50,5.23791,0.04479,0.725
19,60,100,5.14376,0.02139,0.575
19,60,300,5.95232,0.01599,0.575
19,60,500,6.2831,0.01404,0.5
20,61,50,7.85936,0.01133,0.525
20,61,100,6.51328,0.0147,0.6
20,61,300,9.11404,0.01463,0.625
20,61,500,5.58772,0.01444,0.525
