N,Config,MMD_mean,MMD_std,RFAcc_mean,RFAcc_std
50,Flow,0.032689499999999996,0.01181257513482092,0.6475,0.07901532163214663
50,KAN MSE,0.039344500000000004,0.017104103993517247,0.6075,0.0669347679303868
50,KAN HYBRID α=0.6 (β=0.4),0.040767,0.02567654204870561,0.61,0.06407232755171875
50,KAN HYBRID α=0.3 (β=0.7),0.0413155,0.026985491906227177,0.61375,0.06462187587887916
50,KAN HSIC,0.09483749999999999,0.033892516154983086,0.62625,0.058756298654518285
100,Flow,0.026168000000000004,0.007815438567348605,0.64375,0.06533063680435969
100,KAN MSE,0.030244,0.008145389008835806,0.6174999999999999,0.06934847169416056
100,KAN HYBRID α=0.6 (β=0.4),0.0309315,0.00962112712239388,0.6025,0.04927100139988397
100,KAN HYBRID α=0.3 (β=0.7),0.0337465,0.022970526258206347,0.6237499999999999,0.07230918628398907
100,KAN HSIC,0.11246350000000001,0.03915897306257902,0.72,0.09820762109991903
300,Flow,0.0200375,0.0039722324029640935,0.59625,0.03467423584708029
300,KAN MSE,0.0348225,0.03207919737068508,0.6275,0.06877690860961067
300,KAN HYBRID α=0.6 (β=0.4),0.029374,0.02660802933821214,0.6174999999999999,0.0839407685905898
300,KAN HYBRID α=0.3 (β=0.7),0.0253245,0.015566473580642537,0.6212500000000001,0.05147495558649449
300,KAN HSIC,0.175484,0.09864876195771276,0.7675,0.10294991117298898
500,Flow,0.0175505,0.0025911234608705313,0.585,0.06145173544720838
500,KAN MSE,0.027437500000000004,0.007226859167096909,0.6187500000000001,0.05372627995585342
500,KAN HYBRID α=0.6 (β=0.4),0.023426500000000003,0.005995840904985283,0.615,0.06757062581983543
500,KAN HYBRID α=0.3 (β=0.7),0.022280499999999998,0.007947593131190558,0.6287499999999999,0.05273755777432247
500,KAN HSIC,0.167902,0.10087299480039244,0.7637500000000002,0.10338832011809704
