N,Config,MMD_mean,MMD_std,RFAcc_mean,RFAcc_std
50,Flow,0.026273,0.011265575463611071,0.68125,0.0524874671757584
50,KAN MSE,0.023828,0.013323487610429305,0.5962500000000002,0.059755532666109876
50,KAN HYBRID α=0.6 (β=0.4),0.023855999999999995,0.012952980311394302,0.6137500000000001,0.06905137294263711
50,KAN HYBRID α=0.3 (β=0.7),0.0235145,0.01317494371305264,0.6024999999999999,0.04360407996361905
50,KAN HSIC,0.040987499999999996,0.017428916648097082,0.62375,0.06512892073257065
100,Flow,0.020479999999999998,0.005292834282012059,0.6287499999999999,0.059755532666109897
100,KAN MSE,0.0158,0.005703944157104663,0.6012500000000001,0.0732133687820814
100,KAN HYBRID α=0.6 (β=0.4),0.015185499999999996,0.004911616172000071,0.595,0.04559547530644956
100,KAN HYBRID α=0.3 (β=0.7),0.014369000000000002,0.00483780060945489,0.5925,0.04940434670840421
100,KAN HSIC,0.03388750000000001,0.011087519714573347,0.61125,0.058193755316998885
300,Flow,0.015913,0.002823711816218615,0.58,0.05938279034765613
300,KAN MSE,0.010746,0.0026173357285204112,0.5725,0.03618301433429488
300,KAN HYBRID α=0.6 (β=0.4),0.010561000000000001,0.0027523614741182755,0.58,0.055960512393726514
300,KAN HYBRID α=0.3 (β=0.7),0.010199000000000001,0.002536771466585867,0.58625,0.058193755316998885
300,KAN HSIC,0.04253349999999999,0.023907282809131385,0.60625,0.04789997802438788
500,Flow,0.0133315,0.0030092458838509167,0.5700000000000001,0.0463113036105146
500,KAN MSE,0.010825,0.0022118663231712144,0.5562500000000001,0.04125897031651355
500,KAN HYBRID α=0.6 (β=0.4),0.010450000000000001,0.0015680930423522975,0.56875,0.03963235653112902
500,KAN HYBRID α=0.3 (β=0.7),0.010013499999999998,0.001708853955756683,0.58875,0.04477649171748849
500,KAN HSIC,0.0403475,0.012054625176997198,0.6049999999999999,0.038559591611726896
