Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,1.4548,0.39112,1.00488,0.13904,0.10134,0.06396,1.34685,0.28968,0.9503,0.08291,0.06666,0.03344,0.08504,0.06349,0.00345,0.00112,0.04827,0.01606,0.55,0.06667
0.0,1.0,hsic,HSIC,10,1.76009,0.44899,1.08266,0.14866,0.13574,0.06441,4.26602,2.06203,1.54037,0.34195,0.25947,0.16169,0.32891,0.16228,0.00558,0.00217,0.05109,0.0181,0.625,0.05401
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,1.39093,0.33471,0.98353,0.12306,0.09816,0.05824,1.3525,0.288,0.9525,0.09054,0.07278,0.04608,0.0893,0.06376,0.00362,0.00148,0.05059,0.01744,0.57,0.0483
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,1.39361,0.35143,0.98444,0.12779,0.09268,0.05821,1.33809,0.30286,0.94376,0.09793,0.06633,0.03483,0.08699,0.06305,0.00364,0.00141,0.05001,0.0158,0.59,0.06146
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,1.35435,0.34967,0.97074,0.12759,0.09176,0.05735,1.38986,0.2819,0.96282,0.0857,0.06514,0.03472,0.09115,0.06215,0.00368,0.00145,0.04924,0.01498,0.59,0.06992
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,1.36862,0.36402,0.97739,0.12983,0.09859,0.06,1.40467,0.27871,0.96612,0.08982,0.06614,0.03592,0.09099,0.06425,0.00367,0.00154,0.04909,0.01537,0.575,0.06346
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,1.33054,0.34941,0.96575,0.1293,0.09239,0.05811,1.44682,0.2862,0.98127,0.08891,0.07221,0.0383,0.09212,0.06759,0.00377,0.00165,0.04889,0.01435,0.56,0.05676
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.32198,0.36102,0.96345,0.13234,0.09625,0.05927,1.52923,0.20651,1.0141,0.0587,0.07561,0.04336,0.0849,0.06179,0.00383,0.00161,0.05074,0.01423,0.59,0.09068
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,1.43016,0.40403,0.9888,0.14296,0.10519,0.07,1.56088,0.29122,1.02145,0.08437,0.07762,0.05341,0.08801,0.05991,0.00396,0.00152,0.04928,0.01273,0.56,0.05164
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.49759,0.47972,1.00339,0.16074,0.11252,0.08186,1.79241,0.85282,1.06533,0.17491,0.09726,0.07934,0.09818,0.06454,0.00434,0.00164,0.04776,0.01487,0.62,0.07149
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.58061,0.57347,1.01669,0.18413,0.11726,0.07513,2.49225,1.52951,1.23412,0.28961,0.16589,0.14671,0.17187,0.13632,0.00476,0.00165,0.0468,0.01238,0.595,0.04972
