Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,20,0.64097,0.04974,0.65008,0.03411,0.03693,0.02287,1.04545,0.21702,0.80784,0.10733,0.05322,0.01839,0.07552,0.04933,0.00172,0.00101,0.07241,0.02611,0.6375,0.05649
0.0,1.0,hsic,HSIC,20,1.32364,0.46171,0.84864,0.1651,0.08176,0.06077,4.21486,3.91508,1.55328,0.75737,0.06302,0.01849,0.11904,0.07574,0.00347,0.00119,0.26732,0.09721,0.80375,0.06349
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,20,0.63573,0.0436,0.6475,0.03194,0.03279,0.02024,0.96082,0.14078,0.76651,0.06555,0.04252,0.0072,0.05453,0.04263,0.00144,0.00107,0.06481,0.01701,0.62375,0.0547
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,20,0.6341,0.0488,0.6467,0.03435,0.02977,0.01647,0.98867,0.17541,0.77798,0.0888,0.0398,0.00694,0.05769,0.04589,0.00163,0.00111,0.06726,0.01831,0.62875,0.05976
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,20,0.63216,0.04486,0.64499,0.03235,0.02773,0.01383,0.98269,0.17983,0.77446,0.09241,0.04005,0.00671,0.05208,0.04527,0.00151,0.00107,0.06691,0.0167,0.6325,0.05386
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,20,0.62843,0.0426,0.64272,0.03031,0.02725,0.01201,0.96179,0.15534,0.76465,0.07802,0.04123,0.00556,0.04863,0.0415,0.0014,0.001,0.06419,0.01631,0.61125,0.04622
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,20,0.62775,0.04011,0.64104,0.03081,0.0254,0.00914,0.98402,0.17077,0.77831,0.09193,0.04083,0.0056,0.05185,0.04254,0.0015,0.00108,0.06432,0.01823,0.63625,0.04404
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,20,0.64842,0.08554,0.65143,0.04463,0.03348,0.04036,1.0676,0.25552,0.82441,0.13061,0.0395,0.00745,0.0589,0.04385,0.00168,0.00113,0.06331,0.01813,0.62125,0.05147
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,20,0.63841,0.06641,0.64765,0.03917,0.02935,0.02972,1.09935,0.3212,0.84329,0.16206,0.04114,0.00601,0.05033,0.04283,0.00154,0.00104,0.06335,0.01751,0.64125,0.05211
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,20,0.64576,0.06693,0.65285,0.03902,0.03009,0.0293,1.27072,0.50518,0.92336,0.228,0.04055,0.00641,0.05656,0.04538,0.00169,0.00112,0.06331,0.01421,0.61625,0.06245
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,20,0.68302,0.0844,0.67564,0.04484,0.03392,0.03045,1.57032,0.83797,1.04454,0.30551,0.04359,0.007,0.06251,0.03864,0.00173,0.00096,0.06266,0.01724,0.62375,0.05589
