Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,20,1.12366,0.12859,0.88776,0.04103,0.04993,0.03686,1.45672,0.22372,0.98999,0.06441,0.04549,0.01391,0.05851,0.02763,0.00252,0.00082,0.01778,0.00893,0.605,0.07006
0.0,1.0,hsic,HSIC,20,1.31413,0.21936,0.9452,0.06772,0.05764,0.03748,3.24593,0.59348,1.39265,0.12183,0.10928,0.02858,0.18583,0.03433,0.00491,0.00147,0.05458,0.02517,0.665,0.06037
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,20,1.11037,0.12488,0.88306,0.03997,0.0487,0.03315,1.42376,0.19448,0.98234,0.0623,0.0428,0.01564,0.05489,0.0293,0.00252,0.00079,0.01694,0.00863,0.59,0.06559
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,20,1.11767,0.11539,0.88363,0.03681,0.04748,0.02783,1.44784,0.21787,0.98595,0.0696,0.04166,0.01467,0.06148,0.03482,0.00264,0.00088,0.01762,0.00893,0.58875,0.05931
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,20,1.1298,0.15636,0.88439,0.03917,0.04636,0.02797,1.59275,0.36047,1.02768,0.10374,0.04614,0.02307,0.07853,0.04549,0.00295,0.00133,0.02057,0.01301,0.57,0.05039
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,20,1.14934,0.19889,0.88706,0.04282,0.04798,0.02751,1.55871,0.39778,1.01679,0.11086,0.04523,0.02395,0.07435,0.04521,0.00281,0.00143,0.0208,0.01386,0.58,0.05938
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,20,1.12883,0.21452,0.87828,0.04233,0.0455,0.02911,1.53478,0.35436,1.00821,0.09628,0.04422,0.02199,0.07241,0.03907,0.00283,0.0011,0.0196,0.01553,0.59125,0.06848
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,20,1.12109,0.19066,0.87658,0.04207,0.04715,0.02859,1.57971,0.42454,1.0166,0.10915,0.04674,0.02257,0.07697,0.04103,0.00277,0.00113,0.02011,0.01709,0.58625,0.06308
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,20,1.0776,0.09633,0.86836,0.03649,0.04683,0.02631,1.67818,0.45692,1.04379,0.11525,0.05396,0.02146,0.08569,0.04391,0.00297,0.00127,0.02099,0.0183,0.6025,0.06433
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,20,1.06918,0.10502,0.86552,0.04035,0.04396,0.0257,1.77174,0.41515,1.06779,0.10308,0.05597,0.02182,0.09611,0.03926,0.00301,0.00131,0.02074,0.0178,0.58125,0.06432
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,20,1.10473,0.11155,0.87595,0.04367,0.04632,0.02554,2.33364,0.79027,1.20051,0.17863,0.07664,0.03621,0.13352,0.05618,0.00373,0.00174,0.0334,0.02461,0.59375,0.07019
