Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,100,1.74711,0.87328,0.06303,7.25338,1.68128,0.30316,0.30829,0.00707,0.04185,0.8
1,42,hsic,HSIC,0.0,1.0,300,2.51423,1.03921,0.05859,7.49361,1.49331,0.07818,0.20888,0.00231,0.0767,0.73333
1,42,hsic,HSIC,0.0,1.0,500,1.78873,0.8605,0.01467,16.81525,3.05353,0.05075,0.06609,0.0024,0.06302,0.75
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.23766,0.81458,0.07495,7.0568,1.6707,0.30378,0.30889,0.0072,0.04227,0.8
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.24564,0.8311,0.08527,7.02843,1.66801,0.30336,0.30841,0.00727,0.04304,0.8
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.1912,0.82512,0.08808,7.02293,1.66725,0.30325,0.30821,0.00719,0.04188,0.8
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.87617,0.99654,0.218,1.19053,0.88082,0.0742,0.03904,0.00308,0.03661,0.85
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.42598,0.91098,0.20083,1.12196,0.85871,0.0711,0.04096,0.00377,0.04587,0.8
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.33418,0.86333,0.14004,0.966,0.81504,0.05245,0.02813,0.00349,0.04399,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.22244,0.85382,0.0571,0.98088,0.80011,0.07156,0.03518,0.00486,0.04189,0.75
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.65986,0.95421,0.18609,0.98251,0.80403,0.09398,0.03532,0.00455,0.03925,0.7
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,2.04935,1.04048,0.25568,0.97291,0.80582,0.11282,0.03795,0.00486,0.0359,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.5944,0.85078,0.05144,0.92393,0.78897,0.05412,0.02609,0.00291,0.02151,0.6
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.58114,0.84434,0.05668,0.88296,0.69067,0.04208,0.02254,0.00223,0.01892,0.58333
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.56222,0.84625,0.05414,0.97015,0.73044,0.04571,0.02569,0.00233,0.01909,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.5744,0.84291,0.06026,0.89575,0.68864,0.04089,0.02441,0.00228,0.01804,0.53333
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.58511,0.84435,0.06398,0.84845,0.66763,0.04645,0.02646,0.00221,0.01763,0.56667
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.56335,0.83639,0.06674,0.83743,0.66849,0.05193,0.02734,0.00227,0.01901,0.55
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.57761,0.8391,0.06852,0.80791,0.66931,0.07117,0.01872,0.00167,0.01676,0.56667
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.59245,0.8416,0.05721,0.81341,0.67106,0.07872,0.01854,0.00153,0.01728,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.58586,0.84191,0.07189,0.81917,0.67307,0.08992,0.01921,0.00161,0.01856,0.58333
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.10326,0.74041,0.01501,1.80933,1.02506,0.02377,0.01949,0.00115,0.02518,0.76
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.09609,0.73984,0.01448,1.73828,0.96271,0.0214,0.0213,0.00109,0.02734,0.76
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.08197,0.73378,0.01417,1.70403,0.94788,0.02056,0.02342,0.00102,0.02935,0.8
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.08238,0.73322,0.01447,1.62024,0.87273,0.01164,0.00723,0.00045,0.02871,0.72
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.08809,0.73502,0.01499,1.79841,0.96375,0.02566,0.04089,0.0014,0.03455,0.72
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.08529,0.73576,0.01512,1.82631,0.97224,0.0277,0.04875,0.00153,0.0374,0.75
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.08804,0.73645,0.01626,1.82822,0.97344,0.03155,0.05445,0.0016,0.03915,0.7
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.09394,0.73913,0.01793,1.84158,0.98103,0.03416,0.06341,0.00174,0.04154,0.74
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.09844,0.7414,0.0199,1.61829,0.87201,0.01962,0.00843,0.00053,0.03214,0.68
1,42,mse,MSE,1.0,0.0,100,2.1276,1.05558,0.26204,1.50957,0.90093,0.12271,0.05171,0.00612,0.0368,0.6
1,42,mse,MSE,1.0,0.0,300,1.58885,0.8391,0.06664,0.82892,0.67673,0.08664,0.02239,0.00189,0.02083,0.58333
1,42,mse,MSE,1.0,0.0,500,1.10094,0.74348,0.02229,1.65985,0.88363,0.02325,0.00956,0.00053,0.03301,0.7
2,43,hsic,HSIC,0.0,1.0,100,3.11068,1.15043,0.05939,18.02341,2.63875,0.23655,0.53877,0.00946,0.22565,0.65
2,43,hsic,HSIC,0.0,1.0,300,4.22765,1.07459,0.08187,142.29871,3.19058,0.14931,0.34686,0.00504,0.19007,0.85
2,43,hsic,HSIC,0.0,1.0,500,3.09877,0.89704,0.02005,114.37695,2.82759,0.13456,0.25707,0.00324,0.13024,0.85
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,2.62191,1.06418,0.04994,2.59968,1.22342,0.06781,0.10717,0.00499,0.03809,0.5
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,2.52075,1.04345,0.04754,2.69342,1.24293,0.06896,0.12562,0.00474,0.0371,0.5
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,2.48196,1.04042,0.04761,2.64477,1.22275,0.06969,0.12357,0.00479,0.03245,0.5
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,2.34463,1.01956,0.04821,2.75342,1.248,0.07528,0.12573,0.00465,0.03203,0.55
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,2.2821,1.01819,0.05077,2.82976,1.26069,0.07965,0.11209,0.00458,0.03167,0.5
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,2.25407,1.01814,0.05199,3.19346,1.39006,0.05749,0.14989,0.00573,0.03787,0.55
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,2.27114,1.02379,0.05545,3.34703,1.44291,0.05652,0.15886,0.0061,0.03888,0.55
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,2.33745,1.04319,0.06256,3.28249,1.43827,0.0525,0.16074,0.00624,0.04049,0.55
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,2.37189,1.06262,0.07898,2.41987,1.21273,0.05815,0.12204,0.00475,0.03843,0.5
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,3.8272,1.03391,0.06539,1.89773,1.07075,0.05077,0.13527,0.00443,0.06229,0.7
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.68603,0.85947,0.01339,2.03825,1.08866,0.04712,0.13374,0.00395,0.04357,0.6
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,2.09287,0.89824,0.01556,1.91451,1.07504,0.04283,0.10275,0.0039,0.03904,0.58333
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,2.1833,0.90404,0.0159,3.4061,1.22083,0.05965,0.15749,0.0042,0.05225,0.61667
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.98528,0.88894,0.01638,3.73113,1.25077,0.06866,0.17138,0.00408,0.0565,0.61667
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.98933,0.8865,0.01542,3.96298,1.27787,0.07963,0.18785,0.00402,0.05752,0.66667
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,2.02113,0.88929,0.01601,4.23277,1.31252,0.09157,0.20649,0.00392,0.05549,0.68333
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,2.02785,0.89336,0.01691,4.47508,1.34563,0.10018,0.22221,0.00387,0.05985,0.66667
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,2.07143,0.89903,0.01856,4.62261,1.36093,0.10682,0.23286,0.00384,0.06055,0.65
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.91266,0.83748,0.01603,1.91778,1.12747,0.09249,0.1755,0.00319,0.03525,0.79
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.70193,0.82451,0.01521,2.14316,1.13497,0.0909,0.18002,0.00331,0.03589,0.76
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.07489,0.7672,0.01538,2.13552,1.10786,0.09378,0.18477,0.00331,0.03723,0.79
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,2.47215,0.85189,0.01639,1.2035,0.79594,0.01855,0.01666,0.00201,0.02317,0.71
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,4.8541,0.92402,0.01671,1.37463,0.81776,0.02123,0.01854,0.00218,0.0242,0.71
