Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,100,1.47467,1.01426,0.16813,3.77088,1.54497,0.24651,0.28273,0.00534,0.0417,0.6
1,42,hsic,HSIC,0.0,1.0,300,2.10082,0.99449,0.05993,7.49509,1.71233,0.19888,0.32298,0.00529,0.06494,0.6
1,42,hsic,HSIC,0.0,1.0,500,2.02824,1.03631,0.01716,12.30709,1.83528,0.18944,0.38272,0.0038,0.03627,0.72
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.36783,0.90554,0.10986,2.80263,1.35944,0.19509,0.24344,0.00547,0.05356,0.5
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.4825,0.92054,0.12788,2.76303,1.35135,0.19327,0.24078,0.00532,0.06025,0.6
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.44295,0.9078,0.12417,2.76907,1.35294,0.19457,0.24083,0.00531,0.05981,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.4137,0.89854,0.12151,2.76275,1.35278,0.19471,0.2415,0.00527,0.0595,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.43874,0.90571,0.12448,2.76006,1.35287,0.19545,0.24203,0.00528,0.05973,0.6
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.43784,0.9054,0.12467,2.75909,1.35326,0.19615,0.24233,0.00529,0.05961,0.6
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.40658,0.89498,0.12281,2.75853,1.3537,0.19641,0.24244,0.00528,0.05932,0.6
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.40382,0.89297,0.12302,2.75898,1.35435,0.19679,0.24247,0.00529,0.05934,0.55
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.43332,0.90233,0.12546,2.7564,1.35451,0.19697,0.2424,0.00529,0.05957,0.6
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.23895,0.86226,0.04518,1.33595,0.92668,0.03446,0.10053,0.00195,0.02746,0.51667
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.2671,0.86143,0.04771,1.25243,0.89922,0.0275,0.09673,0.00212,0.02688,0.51667
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.26072,0.86048,0.04862,1.21564,0.88572,0.02718,0.09015,0.00211,0.02632,0.56667
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.24966,0.85991,0.0495,1.2805,0.90595,0.03357,0.09941,0.00208,0.02817,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.22883,0.85861,0.05046,1.58409,0.99445,0.0699,0.14584,0.00219,0.03547,0.5
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.21302,0.85589,0.04965,1.46528,0.9544,0.05067,0.1273,0.00187,0.03276,0.53333
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.20643,0.85746,0.05129,1.45176,0.94295,0.04788,0.12137,0.00185,0.03213,0.53333
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.20437,0.8543,0.05155,1.43542,0.93583,0.04711,0.11773,0.00163,0.03181,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.25933,0.85857,0.05195,1.22395,0.81641,0.01609,0.03676,0.00201,0.02328,0.51667
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.4771,0.87511,0.0199,1.94141,1.00044,0.04007,0.06332,0.00123,0.00867,0.62
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.5241,0.87524,0.01833,1.98713,0.99266,0.0414,0.06796,0.00107,0.0089,0.57
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.48809,0.86887,0.01693,2.01892,0.99299,0.04539,0.07331,0.00115,0.0088,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.46482,0.86573,0.0159,2.00608,0.98617,0.04516,0.06993,0.00113,0.00852,0.64
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.44783,0.8656,0.01583,2.00978,0.9829,0.04627,0.06853,0.00115,0.0084,0.6
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.39817,0.86445,0.01983,2.03243,0.98474,0.04915,0.0696,0.00138,0.00885,0.63
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.39536,0.86445,0.02025,2.0499,0.98602,0.05156,0.07057,0.00144,0.00877,0.61
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.39342,0.86428,0.02035,2.09321,0.99276,0.05542,0.0754,0.00152,0.00882,0.63
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.39627,0.8637,0.01976,2.09873,0.99367,0.05672,0.07719,0.00155,0.00868,0.6
1,42,mse,MSE,1.0,0.0,100,1.43197,0.90185,0.1254,2.76351,1.35737,0.1979,0.24345,0.00531,0.05927,0.55
1,42,mse,MSE,1.0,0.0,300,1.18882,0.84865,0.05202,1.13313,0.8051,0.01534,0.03525,0.0019,0.02283,0.51667
1,42,mse,MSE,1.0,0.0,500,1.41827,0.86517,0.01923,2.11755,0.99669,0.05905,0.08048,0.0016,0.00867,0.59
2,43,hsic,HSIC,0.0,1.0,100,1.63266,0.92467,0.19359,4.99586,1.49028,0.38073,0.32462,0.00405,0.07442,0.65
2,43,hsic,HSIC,0.0,1.0,300,1.19641,0.84894,0.04631,5.90547,1.53781,0.09107,0.10692,0.00326,0.04402,0.51667
