Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,100,1.77375,1.12614,0.1258,4.47678,1.68005,0.48103,0.30885,0.00446,0.04553,0.65
1,42,hsic,HSIC,0.0,1.0,300,1.32838,0.94571,0.05273,4.01087,1.49931,0.29254,0.32892,0.00718,0.03284,0.7
1,42,hsic,HSIC,0.0,1.0,500,1.24046,0.93038,0.00646,4.63887,1.57851,0.26293,0.26602,0.00556,0.03443,0.68
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.53101,1.05167,0.11399,2.20711,1.26935,0.39423,0.20069,0.00204,0.04805,0.55
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.74211,1.11992,0.15729,1.76375,1.10653,0.29227,0.1428,0.00139,0.05513,0.75
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.67789,1.09953,0.15276,1.48986,1.02201,0.17602,0.08048,0.00202,0.05518,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.65804,1.09342,0.15443,1.28022,0.95069,0.11249,0.06346,0.0018,0.05308,0.5
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.70887,1.10868,0.16579,1.29889,0.95283,0.119,0.06343,0.00187,0.05424,0.55
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.75134,1.12084,0.17516,1.25305,0.9319,0.10079,0.05362,0.00214,0.05426,0.6
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.75079,1.12087,0.17785,1.24341,0.93751,0.09091,0.05126,0.00208,0.05254,0.6
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.79913,1.13451,0.18919,1.26271,0.94573,0.11149,0.06484,0.00192,0.05434,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.79798,1.13412,0.19358,1.38029,0.98582,0.16982,0.08863,0.00159,0.05597,0.6
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.06496,0.85395,0.05518,3.79599,1.46126,0.27956,0.31626,0.00703,0.0314,0.76667
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.05589,0.84935,0.05568,1.44246,0.95565,0.07018,0.0597,0.00161,0.02161,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.04871,0.8502,0.0503,1.40129,0.94343,0.07435,0.06375,0.00182,0.02213,0.63333
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.04872,0.85168,0.04826,1.36847,0.93874,0.07559,0.06232,0.00185,0.02261,0.58333
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.05736,0.85775,0.04676,1.05088,0.87318,0.02193,0.01538,0.00121,0.02176,0.66667
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.05256,0.85174,0.05032,1.04092,0.86219,0.02574,0.01464,0.00134,0.0208,0.63333
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.05033,0.85218,0.04831,1.05138,0.86638,0.0273,0.01402,0.00133,0.02086,0.63333
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.04802,0.8526,0.04609,1.0578,0.8688,0.02951,0.01425,0.00132,0.02097,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.0456,0.85231,0.04455,1.06545,0.87143,0.0319,0.01483,0.00134,0.02143,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.02851,0.87238,0.0062,1.60009,1.02409,0.03305,0.02406,0.00091,0.01097,0.68
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.02639,0.87198,0.00624,1.51093,0.9875,0.036,0.02709,0.00091,0.01102,0.62
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.02765,0.87275,0.00634,1.47158,0.97534,0.04038,0.02712,0.00089,0.01117,0.66
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.02875,0.87343,0.00677,1.43004,0.96417,0.04402,0.02565,0.0009,0.01146,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.03004,0.87422,0.00703,1.4008,0.95552,0.04689,0.02478,0.00087,0.01158,0.67
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.03205,0.87551,0.00857,1.38497,0.95127,0.04945,0.02452,0.00088,0.01209,0.62
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.03756,0.87769,0.00912,1.35019,0.94036,0.04173,0.02362,0.00086,0.0119,0.62
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.02898,0.87319,0.00682,1.33556,0.93782,0.04138,0.02226,0.00081,0.01143,0.64
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.03984,0.87845,0.00966,1.32798,0.93702,0.03992,0.02144,0.00083,0.01177,0.69
1,42,mse,MSE,1.0,0.0,100,1.79654,1.1337,0.1964,1.20275,0.92479,0.09738,0.04409,0.00176,0.05241,0.6
1,42,mse,MSE,1.0,0.0,300,1.04384,0.85041,0.04539,1.07223,0.87388,0.03491,0.01551,0.00136,0.02142,0.7
1,42,mse,MSE,1.0,0.0,500,1.02993,0.87264,0.00913,1.32199,0.93517,0.03581,0.02051,0.00083,0.01217,0.65
2,43,hsic,HSIC,0.0,1.0,100,2.64773,1.3747,0.08391,6.65296,2.00989,0.42382,0.57825,0.01066,0.06462,0.6
2,43,hsic,HSIC,0.0,1.0,300,2.06679,1.17557,0.01058,5.57808,1.70272,0.27069,0.36395,0.00514,0.05084,0.66667
2,43,hsic,HSIC,0.0,1.0,500,1.57318,1.03017,0.02332,6.2974,1.85221,0.34791,0.39271,0.00682,0.0443,0.8
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,2.14791,1.24986,0.02731,1.96015,1.18742,0.03377,0.04727,0.00505,0.05844,0.55
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.91994,1.17718,0.03018,1.80463,1.13624,0.03242,0.05035,0.00522,0.06314,0.6
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.50428,1.06646,0.0171,1.62556,1.07201,0.0318,0.04496,0.00402,0.07309,0.55
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.48115,1.05858,0.01735,1.53202,1.03641,0.03125,0.03941,0.00375,0.07443,0.6
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.48286,1.05937,0.0184,1.44263,0.99957,0.02969,0.03259,0.00342,0.07619,0.5
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.48234,1.05995,0.01927,1.39295,0.98168,0.02897,0.02686,0.0031,0.0777,0.5
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.52819,1.07451,0.02595,1.3499,0.9555,0.02715,0.02796,0.00279,0.08164,0.6
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.58751,1.09276,0.03625,1.19909,0.91588,0.02459,0.03271,0.0025,0.08198,0.55
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.54867,1.0809,0.03136,1.23108,0.93,0.02134,0.02827,0.00271,0.08526,0.55
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.07288,0.90587,0.01023,1.67117,1.07916,0.02513,0.03922,0.00148,0.01559,0.53333
