Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,2.11603,0.72144,1.02934,0.12412,0.23053,0.10335,2.03256,1.25769,1.04017,0.31339,0.13778,0.04379,0.19,0.1519,0.00519,0.00096,0.07445,0.04347,0.675,0.09501
0.0,1.0,hsic,HSIC,10,2.437,1.10819,1.01441,0.23327,0.15773,0.14805,9.23334,5.50892,1.86698,0.51248,0.23629,0.11375,0.39205,0.17144,0.00671,0.00141,0.11488,0.07148,0.685,0.11559
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,2.04346,0.77227,1.01276,0.13155,0.19849,0.1211,1.91626,1.27542,1.01955,0.31421,0.11828,0.05485,0.1699,0.15983,0.00526,0.00068,0.06872,0.04007,0.655,0.0956
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,1.82455,0.86139,0.94882,0.14838,0.17022,0.07592,1.70945,0.84187,0.97684,0.26869,0.10242,0.03751,0.14094,0.1112,0.00477,0.00163,0.06734,0.03289,0.66,0.08097
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,1.77552,0.88297,0.9383,0.15235,0.15066,0.08365,1.68927,0.80404,0.98565,0.24755,0.09979,0.04069,0.14853,0.10845,0.00493,0.00164,0.06688,0.03399,0.675,0.0825
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,1.77432,0.87373,0.92754,0.15931,0.15237,0.06352,1.68944,0.76957,0.98605,0.23575,0.10932,0.05457,0.15707,0.10183,0.00452,0.00142,0.06774,0.036,0.635,0.06687
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,1.73348,0.90659,0.91974,0.17421,0.14664,0.07606,2.3448,2.09349,1.06958,0.32952,0.12166,0.06017,0.19329,0.13749,0.00446,0.00146,0.07027,0.04113,0.67,0.11595
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.77234,0.90559,0.92591,0.17488,0.13608,0.07791,2.37364,2.07511,1.0827,0.31651,0.13824,0.07098,0.19403,0.14377,0.00445,0.00132,0.06983,0.04212,0.68,0.12293
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,1.71439,0.8894,0.91484,0.17941,0.12233,0.07265,2.9654,2.463,1.16945,0.35322,0.16367,0.08916,0.22,0.14484,0.00478,0.00155,0.06613,0.03822,0.66,0.11972
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.84998,0.80316,0.9471,0.14556,0.15809,0.07365,3.02971,2.60576,1.2038,0.34665,0.17013,0.09085,0.21678,0.15286,0.00531,0.00144,0.06983,0.03578,0.65,0.12247
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.89217,1.09719,0.9337,0.17998,0.12575,0.06565,3.09837,2.57735,1.22182,0.33039,0.16597,0.08524,0.21304,0.15399,0.00548,0.00149,0.06757,0.04055,0.62,0.10853
