Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,1.09651,0.08825,0.89936,0.03944,0.02927,0.02145,1.13851,0.07549,0.9125,0.03323,0.02112,0.01361,0.02173,0.01554,0.00134,0.00035,0.01701,0.00635,0.57334,0.0534
0.0,1.0,hsic,HSIC,10,1.5589,0.30817,1.02871,0.09763,0.02832,0.02301,5.00224,0.74011,1.64074,0.11255,0.25366,0.05546,0.31557,0.06463,0.00599,0.00117,0.03833,0.00645,0.68167,0.03885
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,1.10309,0.09061,0.90282,0.04017,0.03092,0.02359,1.13337,0.07046,0.90943,0.02898,0.02234,0.01542,0.02215,0.01678,0.0014,0.00037,0.01738,0.00677,0.57833,0.04378
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,1.09564,0.0921,0.89897,0.04001,0.02873,0.02095,1.13119,0.07558,0.90871,0.03035,0.02103,0.01623,0.02147,0.01795,0.00145,0.00037,0.01641,0.00643,0.55833,0.0286
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,1.09302,0.08869,0.89909,0.03938,0.02962,0.02327,1.13942,0.10394,0.91165,0.03164,0.0223,0.01709,0.02459,0.02471,0.00148,0.00039,0.01667,0.00661,0.565,0.04872
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,1.08904,0.08578,0.89798,0.03956,0.029,0.02309,1.18691,0.13064,0.92614,0.04132,0.02326,0.01489,0.02796,0.0243,0.00155,0.00041,0.01713,0.00611,0.57833,0.05215
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,1.08612,0.08224,0.89812,0.03955,0.02795,0.02239,1.20206,0.14545,0.93126,0.04435,0.02303,0.01308,0.02838,0.0247,0.00155,0.00043,0.0171,0.00606,0.565,0.04997
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.08612,0.08396,0.89786,0.04109,0.02823,0.02256,1.31487,0.1821,0.96167,0.05239,0.03176,0.02067,0.04707,0.02715,0.00192,0.00053,0.01777,0.00608,0.55833,0.03356
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,1.08117,0.08944,0.89658,0.04341,0.02744,0.02322,1.38036,0.16925,0.98023,0.04426,0.03656,0.01794,0.05265,0.02594,0.00213,0.00075,0.01801,0.00522,0.55833,0.05167
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.0842,0.09471,0.89632,0.0456,0.02816,0.02275,1.47636,0.1635,1.00714,0.05019,0.03882,0.01396,0.05916,0.02594,0.00222,0.00078,0.01817,0.00461,0.57,0.0508
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.10479,0.10287,0.90425,0.04849,0.02872,0.02436,2.23778,1.47758,1.16337,0.27419,0.09011,0.10545,0.11901,0.13055,0.00304,0.00192,0.02034,0.00909,0.59333,0.07295
