Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,0.83209,0.60872,0.03319,2.91945,1.33959,0.08431,0.19127,0.00347,0.1304,0.75
1,42,hsic,HSIC,0.0,1.0,100,1.33723,0.86663,0.03624,3.09302,1.3193,0.07579,0.18914,0.00397,0.16609,0.725
1,42,hsic,HSIC,0.0,1.0,300,1.66154,0.9756,0.06728,5.59098,1.99937,0.03088,0.02353,0.00328,0.15725,0.75
1,42,hsic,HSIC,0.0,1.0,500,2.30541,1.17253,0.09013,3.02854,1.33464,0.07485,0.18496,0.00419,0.18824,0.75
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.69755,0.66319,0.03509,1.3001,0.94721,0.04118,0.06991,0.00209,0.05259,0.55
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.71111,0.66644,0.03761,1.20931,0.90989,0.03677,0.08597,0.00226,0.05771,0.675
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.6963,0.67214,0.03809,1.14334,0.87297,0.04137,0.07638,0.00228,0.05527,0.675
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.70529,0.66685,0.05445,1.11416,0.85611,0.04342,0.07744,0.00221,0.05602,0.6
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.71172,0.68276,0.04463,0.9871,0.78934,0.06006,0.03921,0.00192,0.05569,0.6
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.73274,0.69155,0.05112,0.99987,0.80341,0.05809,0.04965,0.00223,0.06731,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.73476,0.6909,0.05932,1.01362,0.81485,0.05834,0.05812,0.00215,0.06651,0.675
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.72416,0.68772,0.06388,1.01812,0.81804,0.05886,0.06153,0.00198,0.0713,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.73428,0.68806,0.07557,1.02143,0.79099,0.06494,0.07929,0.00193,0.0593,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.60043,0.61391,0.02716,1.32891,0.96662,0.05215,0.12293,0.00272,0.0686,0.625
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.60342,0.62052,0.02975,0.98813,0.77383,0.03917,0.04567,0.0015,0.06004,0.6
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.60368,0.62207,0.02712,0.99186,0.77083,0.04449,0.04472,0.00155,0.03564,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.60699,0.63296,0.03198,0.94703,0.77568,0.04141,0.04501,0.00062,0.05278,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.5969,0.61957,0.0387,0.92996,0.76718,0.04761,0.05009,0.00052,0.05314,0.65
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.60681,0.62681,0.04745,0.92413,0.76862,0.05029,0.05351,0.00058,0.05324,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.61019,0.63052,0.05014,0.91734,0.77214,0.05177,0.0562,0.00073,0.05188,0.675
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.61007,0.62948,0.05352,0.91464,0.77438,0.05586,0.05963,0.00087,0.04831,0.625
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.61004,0.62853,0.0589,0.99399,0.80088,0.05626,0.07858,0.00197,0.0506,0.575
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.66107,0.68302,0.02296,1.21007,0.90004,0.04584,0.07083,0.00241,0.05916,0.6
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.66524,0.68798,0.02226,1.0865,0.8257,0.03551,0.06889,0.0025,0.06009,0.6
