Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.07397,0.85768,0.05414,3.54646,1.43926,0.12015,0.20178,0.00658,0.04498,0.6
1,42,hsic,HSIC,0.0,1.0,100,1.19256,0.91137,0.02778,3.57939,1.45096,0.11681,0.2002,0.00558,0.0511,0.625
1,42,hsic,HSIC,0.0,1.0,300,1.22555,0.92587,0.05691,3.54514,1.44796,0.11484,0.19815,0.00486,0.05184,0.625
1,42,hsic,HSIC,0.0,1.0,500,1.11563,0.8785,0.01897,3.51953,1.44749,0.11651,0.1985,0.0057,0.05951,0.55
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.01885,0.86224,0.04568,2.36766,1.25564,0.09419,0.16585,0.00584,0.02542,0.55
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.02694,0.86594,0.0454,1.42366,0.98315,0.08874,0.01753,0.00302,0.00434,0.6
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.01744,0.86183,0.04222,1.41602,0.98468,0.08345,0.01963,0.00318,0.00473,0.675
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.01906,0.86238,0.04272,1.29737,0.93045,0.06103,0.03701,0.00364,0.00493,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.03047,0.86994,0.0434,1.31095,0.93124,0.06386,0.03746,0.00345,0.00432,0.55
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.03097,0.87048,0.04405,2.63746,1.30609,0.10395,0.181,0.00552,0.02818,0.6
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.02662,0.86814,0.04387,2.61583,1.30213,0.10375,0.1809,0.00545,0.02789,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.02172,0.86458,0.04344,1.32175,0.9298,0.06266,0.03586,0.00311,0.00523,0.575
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.03604,0.87135,0.04614,1.27911,0.93481,0.07598,0.02194,0.00197,0.00585,0.55
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.95191,0.83166,0.02565,1.95129,1.11789,0.03633,0.09925,0.00267,0.01223,0.55
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.95636,0.83479,0.02615,1.73063,1.05158,0.01991,0.1132,0.00288,0.01379,0.6
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.95394,0.83414,0.02625,1.71205,1.04526,0.02016,0.11246,0.00285,0.01338,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.94501,0.83107,0.02386,1.72161,1.04979,0.02111,0.11226,0.00292,0.01306,0.6
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.94341,0.8308,0.02534,1.45415,0.9822,0.0155,0.0685,0.0021,0.01146,0.55
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.93573,0.8279,0.02406,1.26042,0.95043,0.02117,0.0521,0.00185,0.0134,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.93328,0.82709,0.02424,1.45073,0.98296,0.01618,0.07761,0.00236,0.01355,0.55
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.92269,0.82278,0.0221,1.41725,0.97557,0.01717,0.07161,0.00225,0.01261,0.525
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.91774,0.82081,0.02185,1.38347,0.97045,0.01758,0.06974,0.00223,0.01312,0.55
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.02004,0.85773,0.02726,1.7899,1.06774,0.04291,0.08528,0.00244,0.00993,0.525
