Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.0,3.91931,1.07691,0.28548,1.29405,0.77271,0.6674,,0.02675,0.07402,0.75
1,42,hsic,HSIC,0.0,1.0,50,0.0,3.91931,1.07691,0.28548,1.53395,0.8896,0.40044,,0.01174,0.04658,0.65
1,42,hsic,HSIC,0.0,1.0,100,1.0,4.7906,1.07248,0.39843,1.13174,0.83433,0.33388,,0.00426,0.15958,0.825
1,42,hsic,HSIC,0.0,1.0,100,0.0,4.7906,1.07248,0.39843,1.39419,0.95609,0.10516,,0.0,0.10622,0.75
1,42,hsic,HSIC,0.0,1.0,300,1.0,2.67723,0.99411,0.13617,1.50682,0.86023,0.28598,,0.00579,0.19169,0.825
1,42,hsic,HSIC,0.0,1.0,300,0.0,2.67723,0.99411,0.13617,1.70241,0.98941,0.18995,,0.00036,0.14076,0.825
1,42,hsic,HSIC,0.0,1.0,500,1.0,2.43723,0.89612,0.16554,1.51673,1.10588,0.13644,,0.0,0.16011,0.825
1,42,hsic,HSIC,0.0,1.0,500,0.0,2.43723,0.89612,0.16554,1.57252,1.05968,0.0708,,0.00023,0.11762,0.775
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,3.01735,0.84379,0.30921,0.68812,0.69135,0.35209,,0.02657,0.10539,0.775
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,3.61441,0.91073,0.3353,0.32427,0.44695,0.20307,,0.01512,0.06126,0.8
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,3.58031,0.92247,0.35996,0.25395,0.39434,0.15153,,0.01199,0.05598,0.8
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,3.58056,0.91062,0.35238,0.26667,0.40822,0.15919,,0.01296,0.05895,0.775
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,3.4275,0.90417,0.36366,0.26129,0.40838,0.15421,,0.01229,0.05699,0.75
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,2.96723,0.84731,0.36674,0.25672,0.39953,0.17601,,0.01207,0.05123,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.0,2.96333,0.84913,0.36272,0.26841,0.40384,0.19217,,0.01266,0.04972,0.65
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.0,3.0072,0.86259,0.3854,0.29363,0.41632,0.1565,,0.009,0.05066,0.625
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.0,2.96907,0.85651,0.38173,0.29016,0.41287,0.1598,,0.00919,0.05105,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,3.01735,0.84379,0.30921,1.02123,0.78294,0.14781,,0.00934,0.05104,0.775
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,3.61441,0.91073,0.3353,0.67064,0.64325,0.07141,,0.00588,0.04862,0.675
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,3.58031,0.92247,0.35996,0.69885,0.65396,0.11513,,0.00734,0.05093,0.675
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.0,3.58056,0.91062,0.35238,0.75802,0.68193,0.15979,,0.01007,0.05215,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.0,3.4275,0.90417,0.36366,0.79139,0.69601,0.17507,,0.00974,0.05331,0.625
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.0,2.96723,0.84731,0.36674,0.88287,0.74252,0.18292,,0.00868,0.05884,0.725
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.0,2.96333,0.84913,0.36272,1.27119,0.85325,0.23339,,0.01278,0.06039,0.725
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.0,3.0072,0.86259,0.3854,0.83975,0.71926,0.18282,,0.00954,0.05851,0.7
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.0,2.96907,0.85651,0.38173,0.82331,0.70994,0.16135,,0.00738,0.06007,0.7
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.0,4.37331,1.05174,0.39814,0.2793,0.38306,0.06287,,0.00143,0.05505,0.725
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.0,3.70498,1.01082,0.40039,0.26843,0.37589,0.06332,,0.00214,0.0547,0.7
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.0,1.30251,0.71723,0.33664,0.28563,0.40623,0.07067,,0.00258,0.05449,0.675
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.0,1.33582,0.70891,0.32604,0.32551,0.40281,0.07082,,0.00066,0.05054,0.7
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.0,1.31858,0.69532,0.3159,0.28712,0.37771,0.05363,,0.00112,0.04769,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.0,1.29111,0.69644,0.32125,0.26378,0.36543,0.04587,,0.00161,0.046,0.675
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.0,1.26914,0.69851,0.32651,0.25849,0.36534,0.04326,,0.00189,0.04584,0.675
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.0,1.24845,0.70057,0.33121,0.25277,0.36472,0.05067,,0.00288,0.04633,0.675
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.0,1.22866,0.70399,0.33687,0.25644,0.37257,0.07483,,0.00477,0.04785,0.625
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.0,4.37331,1.05174,0.39814,0.60882,0.61872,0.06056,,0.00358,0.03498,0.525
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.0,3.70498,1.01082,0.40039,0.6082,0.61613,0.06222,,0.0037,0.03459,0.525
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.0,1.30251,0.71723,0.33664,0.60096,0.61952,0.04577,,0.00303,0.03217,0.55
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.0,1.33582,0.70891,0.32604,0.63149,0.60504,0.02777,,0.00229,0.03065,0.575
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.0,1.31858,0.69532,0.3159,0.61969,0.61878,0.03956,,0.00299,0.03305,0.525
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.0,1.29111,0.69644,0.32125,0.62386,0.63285,0.0522,,0.0037,0.03498,0.575
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.0,1.26914,0.69851,0.32651,0.62761,0.63773,0.053,,0.00373,0.03516,0.55
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.0,1.24845,0.70057,0.33121,0.63351,0.6421,0.06047,,0.00412,0.03592,0.55
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.0,1.22866,0.70399,0.33687,0.64034,0.64506,0.0669,,0.00446,0.03629,0.525
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.0,1.9441,0.67713,0.23715,0.34056,0.4035,0.0914,,0.0001,0.05817,0.75
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.0,1.84959,0.66022,0.23414,0.28964,0.38743,0.05637,,0.00112,0.05502,0.75
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.0,1.83405,0.64948,0.23185,0.27728,0.38261,0.03759,,0.00172,0.05278,0.725
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.0,1.88209,0.64603,0.23032,0.26737,0.38687,0.03213,,0.00223,0.05193,0.725
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.0,1.87769,0.646,0.23299,0.2561,0.38969,0.02189,,0.00213,0.05248,0.725
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.0,1.85167,0.64353,0.23569,0.25257,0.39376,0.01577,,0.00194,0.05295,0.7
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.0,1.82506,0.64325,0.24078,0.32038,0.43441,0.0145,,0.00126,0.05676,0.725
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.0,1.78177,0.64098,0.24741,0.34459,0.43604,0.0213,,0.00172,0.05436,0.75
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.0,1.88155,0.63761,0.24224,0.37478,0.43934,0.03665,,0.00266,0.05291,0.725
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.0,1.9441,0.67713,0.23715,0.65542,0.58787,0.0174,,0.00126,0.02767,0.675
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.0,1.84959,0.66022,0.23414,0.60364,0.59065,0.01251,,0.00159,0.02827,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.0,1.83405,0.64948,0.23185,0.59855,0.60004,0.01303,,0.00169,0.02892,0.625
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.0,1.88209,0.64603,0.23032,0.5904,0.6091,0.01741,,0.00187,0.02931,0.675
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.0,1.87769,0.646,0.23299,0.58612,0.61051,0.01989,,0.0019,0.02942,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.0,1.85167,0.64353,0.23569,0.58636,0.61235,0.02236,,0.00192,0.02954,0.675
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.0,1.82506,0.64325,0.24078,0.63709,0.62156,0.01155,,0.0015,0.02882,0.675
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.0,1.78177,0.64098,0.24741,0.6817,0.64131,0.01562,,0.00184,0.0307,0.725
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.0,1.88155,0.63761,0.24224,0.73405,0.6598,0.02229,,0.00232,0.03316,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.0,1.11777,0.61189,0.07283,0.23192,0.35233,0.04298,,0.00113,0.04376,0.625
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.0,0.98182,0.53503,0.12463,0.36672,0.4209,0.07354,,0.0,0.04704,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.0,1.04942,0.54169,0.12674,0.32233,0.41029,0.05695,,0.0,0.04631,0.675
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.0,1.06596,0.54919,0.13405,0.31064,0.40507,0.04998,,0.0,0.04561,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.0,1.02916,0.54601,0.13736,0.28655,0.39526,0.03757,,0.00037,0.04517,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.0,0.92672,0.5307,0.1344,0.26968,0.3894,0.02787,,0.00076,0.0447,0.625
