Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.0,18.74384,1.33504,0.17454,1.22676,0.89739,0.5513,,0.03372,0.04927,0.675
1,42,hsic,HSIC,0.0,1.0,50,0.0,18.74384,1.33504,0.17454,1.94665,1.1847,0.31676,,0.01886,0.06276,0.775
1,42,hsic,HSIC,0.0,1.0,100,1.0,1.83179,0.90226,0.25202,1.11794,0.86381,0.51638,,0.03174,0.05456,0.675
1,42,hsic,HSIC,0.0,1.0,100,0.0,1.83179,0.90226,0.25202,1.77019,1.13521,0.27951,,0.01728,0.04056,0.65
1,42,hsic,HSIC,0.0,1.0,300,1.0,1.75653,0.98028,0.10354,0.75706,0.64823,0.03941,,0.00079,0.08868,0.7
1,42,hsic,HSIC,0.0,1.0,300,0.0,1.75653,0.98028,0.10354,1.65846,1.03381,0.06538,,0.0049,0.03668,0.675
1,42,hsic,HSIC,0.0,1.0,500,1.0,1.38519,0.91899,0.0668,1.0761,0.85474,0.50939,,0.03212,0.06872,0.675
1,42,hsic,HSIC,0.0,1.0,500,0.0,1.38519,0.91899,0.0668,1.74578,1.13011,0.27842,,0.01768,0.03649,0.6
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,53.13116,1.8603,0.2206,1.0505,0.84554,0.51086,,0.03184,0.04677,0.65
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,23.94781,1.45869,0.21495,0.48804,0.58394,0.21122,,0.01302,0.02945,0.6
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,18.06677,1.27726,0.22243,0.45197,0.55886,0.16753,,0.01053,0.02734,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,1.1891,0.69503,0.15127,0.5267,0.61556,0.25547,,0.01658,0.03465,0.7
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,0.98382,0.66403,0.13669,0.71971,0.71868,0.38527,,0.0255,0.04518,0.7
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,0.9604,0.66813,0.13908,0.85634,0.77701,0.41797,,0.02699,0.04644,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.0,1.06842,0.70991,0.17854,0.88259,0.79257,0.4481,,0.02937,0.04814,0.7
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.0,1.07121,0.71972,0.18043,0.86774,0.78631,0.44317,,0.02886,0.04665,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.0,1.0207,0.69714,0.16923,0.84466,0.77627,0.43265,,0.0279,0.04674,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,53.13116,1.8603,0.2206,1.8119,1.14881,0.293,,0.01842,0.06439,0.75
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,23.94781,1.45869,0.21495,1.50311,1.00169,0.15539,,0.01169,0.07274,0.55
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,18.06677,1.27726,0.22243,1.45367,0.98014,0.13548,,0.00997,0.07125,0.625
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.0,1.1891,0.69503,0.15127,1.33103,0.9424,0.08347,,0.00794,0.04711,0.575
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.0,0.98382,0.66403,0.13669,1.77639,1.12161,0.25237,,0.01593,0.08171,0.7
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.0,0.9604,0.66813,0.13908,1.81839,1.14576,0.287,,0.01792,0.07707,0.675
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.0,1.06842,0.70991,0.17854,1.81512,1.14469,0.28201,,0.01749,0.0794,0.7
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.0,1.07121,0.71972,0.18043,1.82169,1.14587,0.28494,,0.01773,0.07855,0.75
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.0,1.0207,0.69714,0.16923,1.80391,1.13831,0.27845,,0.01752,0.07977,0.7
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.0,1.28865,0.74263,0.2272,1.04005,0.84088,0.50262,,0.03124,0.05237,0.725
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.0,1.04372,0.69954,0.2236,0.84919,0.62456,0.12447,,0.00885,0.02691,0.625
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.0,1.37458,0.76632,0.24046,0.76015,0.61547,0.12616,,0.00887,0.02693,0.625
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.0,1.32098,0.76393,0.23453,0.71811,0.61029,0.12706,,0.00863,0.02694,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.0,1.30946,0.76093,0.23241,0.67095,0.60262,0.12704,,0.00832,0.02702,0.625
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.0,1.3141,0.76325,0.23234,0.60331,0.58669,0.12461,,0.00802,0.02804,0.575
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.0,1.3022,0.76222,0.23031,0.59119,0.58367,0.12504,,0.00811,0.02879,0.575
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.0,1.28835,0.75974,0.22733,0.70393,0.59326,0.12162,,0.00711,0.02571,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.0,1.2721,0.75503,0.22267,0.55275,0.55528,0.10145,,0.00696,0.0232,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.0,1.28865,0.74263,0.2272,1.75396,1.13114,0.27709,,0.01729,0.04246,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.0,1.04372,0.69954,0.2236,1.54841,0.9815,0.09199,,0.00731,0.05442,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.0,1.37458,0.76632,0.24046,1.49364,0.97989,0.09525,,0.00749,0.0566,0.575
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.0,1.32098,0.76393,0.23453,1.47752,0.98204,0.09814,,0.0076,0.05828,0.6
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.0,1.30946,0.76093,0.23241,1.43781,0.97978,0.10311,,0.00798,0.05956,0.625
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.0,1.3141,0.76325,0.23234,1.37318,0.97295,0.10958,,0.00882,0.05965,0.675
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.0,1.3022,0.76222,0.23031,1.36099,0.97205,0.11274,,0.00922,0.05994,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.0,1.28835,0.75974,0.22733,1.40878,0.98858,0.12715,,0.01137,0.07422,0.7
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.0,1.2721,0.75503,0.22267,1.66326,1.039,0.13095,,0.00981,0.07837,0.625
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.0,0.77301,0.62044,0.14174,0.5346,0.59701,0.17324,,0.01291,0.02565,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.0,0.74798,0.61736,0.13958,0.47474,0.56531,0.15568,,0.01203,0.02382,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.0,0.7355,0.61003,0.14028,0.44611,0.54703,0.14777,,0.0121,0.02244,0.7
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.0,0.72233,0.60348,0.13695,0.43155,0.53857,0.14002,,0.01183,0.02159,0.675
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.0,0.70122,0.59352,0.13156,0.42082,0.52671,0.109,,0.00919,0.02056,0.7
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.0,0.67438,0.57706,0.12412,0.40482,0.51752,0.10127,,0.00925,0.02017,0.725
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.0,0.66849,0.57442,0.12216,0.39252,0.51096,0.09704,,0.00939,0.01965,0.75
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.0,0.66451,0.57348,0.12,0.38894,0.51295,0.10214,,0.00969,0.01987,0.7
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.0,0.69049,0.59305,0.12929,0.39302,0.52039,0.11382,,0.0101,0.0211,0.725
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.0,0.77301,0.62044,0.14174,1.39033,0.97321,0.13536,,0.01182,0.04843,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.0,0.74798,0.61736,0.13958,1.31066,0.94976,0.1245,,0.01122,0.0474,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.0,0.7355,0.61003,0.14028,1.28233,0.94322,0.12301,,0.01109,0.04721,0.75
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.0,0.72233,0.60348,0.13695,1.26883,0.9407,0.12122,,0.01096,0.04757,0.75
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.0,0.70122,0.59352,0.13156,1.20279,0.90319,0.07377,,0.00863,0.0393,0.625
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.0,0.67438,0.57706,0.12412,1.19081,0.89924,0.07407,,0.0087,0.04042,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.0,0.66849,0.57442,0.12216,1.18697,0.90236,0.07812,,0.00891,0.04182,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.0,0.66451,0.57348,0.12,1.19335,0.9084,0.08588,,0.00922,0.04397,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.0,0.69049,0.59305,0.12929,1.19983,0.9121,0.09193,,0.00942,0.04581,0.725
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.0,0.79612,0.66395,0.13931,0.49091,0.56689,0.11639,,0.00763,0.02207,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.0,0.69067,0.60166,0.11409,0.43684,0.53545,0.09849,,0.00792,0.02129,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.0,0.66039,0.57324,0.11305,0.3796,0.49252,0.04902,,0.00674,0.01458,0.7
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.0,0.6537,0.56553,0.11431,0.36494,0.48426,0.04614,,0.00702,0.01469,0.7
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.0,0.65402,0.5654,0.11534,0.35532,0.47979,0.04405,,0.0071,0.01473,0.725
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.0,0.65341,0.5646,0.11556,0.34948,0.47789,0.04385,,0.00715,0.01488,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.0,0.65414,0.56463,0.11594,0.342,0.46945,0.03323,,0.00689,0.01325,0.6
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.0,0.65803,0.56734,0.11745,0.33812,0.46702,0.03279,,0.00696,0.01337,0.55
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.0,0.66888,0.57304,0.12507,0.33778,0.4666,0.03236,,0.00691,0.01353,0.5
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,0.0,0.79612,0.66395,0.13931,1.3214,0.93646,0.07031,,0.00793,0.037,0.625
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.0,0.69067,0.60166,0.11409,1.24223,0.91203,0.06681,,0.00812,0.0388,0.6
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.0,0.66039,0.57324,0.11305,1.14435,0.87086,0.0439,,0.00736,0.03763,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.0,0.6537,0.56553,0.11431,1.13032,0.86959,0.04348,,0.00741,0.03827,0.6
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.0,0.65402,0.5654,0.11534,1.12056,0.8684,0.0431,,0.00742,0.03883,0.6
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.0,0.65341,0.5646,0.11556,1.11498,0.86812,0.04364,,0.00744,0.03948,0.6
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.0,0.65414,0.56463,0.11594,1.09259,0.85783,0.02908,,0.00701,0.03793,0.575
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.0,0.65803,0.56734,0.11745,1.08761,0.85796,0.02774,,0.00696,0.03807,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.0,0.66888,0.57304,0.12507,1.08573,0.85904,0.02629,,0.00685,0.03829,0.65
1,42,mse,MSE,1.0,0.0,50,1.0,0.98707,0.68917,0.1677,0.9343,0.80492,0.47236,,0.0295,0.0473,0.675
1,42,mse,MSE,1.0,0.0,50,0.0,0.98707,0.68917,0.1677,1.85524,1.15848,0.29316,,0.01787,0.07707,0.75
