Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.0,0.82973,0.73196,0.12879,0.78175,0.74748,0.50912,,0.04413,0.05422,0.65
1,42,hsic,HSIC,0.0,1.0,50,0.0,0.82973,0.73196,0.12879,1.445,0.99934,0.23882,,0.02144,0.04308,0.625
1,42,hsic,HSIC,0.0,1.0,100,1.0,0.89797,0.73504,0.06943,0.59052,0.61757,0.12611,,0.00947,0.03172,0.65
1,42,hsic,HSIC,0.0,1.0,100,0.0,0.89797,0.73504,0.06943,1.17529,0.91336,0.08922,,0.00949,0.02075,0.6
1,42,hsic,HSIC,0.0,1.0,300,1.0,0.78908,0.64086,0.17688,0.87211,0.772,0.15012,,0.01814,0.04855,0.575
1,42,hsic,HSIC,0.0,1.0,300,0.0,0.78908,0.64086,0.17688,1.13097,0.8797,0.06987,,0.00956,0.0164,0.65
1,42,hsic,HSIC,0.0,1.0,500,1.0,0.715,0.72788,0.02812,0.7753,0.74453,0.49888,,0.04314,0.05384,0.575
1,42,hsic,HSIC,0.0,1.0,500,0.0,0.715,0.72788,0.02812,1.41922,0.99258,0.23132,,0.02088,0.03431,0.525
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,0.48663,0.53538,0.12778,0.32593,0.48293,0.07979,,0.00867,0.02242,0.575
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,0.49783,0.5577,0.11356,0.30469,0.45855,0.02673,,0.00416,0.02716,0.55
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,0.4868,0.55542,0.11167,0.30908,0.46908,0.01887,,0.00329,0.02483,0.575
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,0.51158,0.56636,0.11252,0.30335,0.46066,0.02111,,0.00353,0.02367,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,0.49391,0.55862,0.11025,0.30472,0.46251,0.01951,,0.0038,0.02681,0.5
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,0.51004,0.56554,0.11225,0.29588,0.46518,0.02433,,0.00439,0.02535,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.0,0.52324,0.57148,0.11345,0.36414,0.49292,0.06022,,0.00806,0.0454,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.0,0.52954,0.57526,0.11365,0.4108,0.51688,0.06272,,0.00785,0.05044,0.625
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.0,0.50637,0.5667,0.11192,0.3979,0.49533,0.02149,,0.00428,0.04669,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,0.48663,0.53538,0.12778,1.16279,0.92335,0.04328,,0.0066,0.02951,0.55
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,0.49783,0.5577,0.11356,1.10106,0.91382,0.00872,,0.0025,0.02516,0.625
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,0.4868,0.55542,0.11167,1.0734,0.90501,0.0132,,0.00308,0.02856,0.55
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.0,0.51158,0.56636,0.11252,1.02651,0.88795,0.01144,,0.0032,0.02959,0.6
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.0,0.49391,0.55862,0.11025,0.9896,0.87176,0.01085,,0.00336,0.02729,0.65
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.0,0.51004,0.56554,0.11225,0.98603,0.8689,0.01808,,0.00429,0.03112,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.0,0.52324,0.57148,0.11345,1.02291,0.86431,0.02292,,0.00551,0.02666,0.65
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.0,0.52954,0.57526,0.11365,1.01052,0.85805,0.0214,,0.00541,0.02383,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.0,0.50637,0.5667,0.11192,1.0065,0.84125,0.02593,,0.00602,0.01918,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.0,0.5625,0.58467,0.16457,0.41806,0.54331,0.2147,,0.02013,0.03207,0.5
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.0,0.46258,0.51749,0.11411,0.43803,0.55915,0.22207,,0.02127,0.03723,0.6
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.0,0.44938,0.5081,0.11305,0.45524,0.57016,0.24138,,0.02242,0.0374,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.0,0.47344,0.54356,0.11751,0.41843,0.54471,0.17212,,0.01826,0.03408,0.525
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.0,0.46879,0.53775,0.11566,0.42507,0.54708,0.17594,,0.01898,0.03569,0.5
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.0,0.45752,0.52581,0.11632,0.41508,0.54155,0.162,,0.01802,0.03459,0.5
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.0,0.47339,0.55628,0.13084,0.40781,0.5365,0.15172,,0.01716,0.03322,0.6
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.0,0.47563,0.55548,0.12906,0.40944,0.53674,0.15243,,0.01716,0.03281,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.0,0.47336,0.55027,0.1247,0.42132,0.5435,0.16651,,0.01821,0.03428,0.55
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.0,0.5625,0.58467,0.16457,1.14746,0.92072,0.10683,,0.01234,0.03429,0.6
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.0,0.46258,0.51749,0.11411,1.19133,0.92398,0.13573,,0.01438,0.04414,0.575
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.0,0.44938,0.5081,0.11305,1.19542,0.92611,0.13933,,0.01479,0.04387,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.0,0.47344,0.54356,0.11751,1.13501,0.91098,0.10543,,0.01231,0.04233,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.0,0.46879,0.53775,0.11566,1.14611,0.9144,0.11206,,0.01295,0.04264,0.55
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.0,0.45752,0.52581,0.11632,1.14434,0.91368,0.10822,,0.01274,0.04354,0.55
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.0,0.47339,0.55628,0.13084,1.14652,0.91459,0.10745,,0.01272,0.0441,0.55
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.0,0.47563,0.55548,0.12906,1.15312,0.91667,0.11091,,0.01299,0.04422,0.625
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.0,0.47336,0.55027,0.1247,1.16191,0.9182,0.11819,,0.01355,0.04397,0.575
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.0,0.60306,0.58721,0.17304,0.38217,0.53103,0.07415,,0.00907,0.02014,0.55
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.0,0.55748,0.58638,0.16913,0.34061,0.51209,0.04929,,0.00633,0.01745,0.525
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.0,0.53121,0.59037,0.16784,0.31681,0.49471,0.02668,,0.00366,0.01457,0.525
