Experiment,Seed,N,Best_val_nll,MMD,RF Acc
1,42,50,4.90859,0.02849,0.725
1,42,100,4.03528,0.03242,0.7
1,42,300,12.05333,0.031,0.675
1,42,500,3.62863,0.02559,0.725
2,43,50,5.18661,0.03133,0.775
2,43,100,4.03528,0.03242,0.7
2,43,300,12.05333,0.031,0.675
2,43,500,3.62863,0.02559,0.725
3,44,50,5.18661,0.03133,0.775
3,44,100,4.03528,0.03242,0.7
3,44,300,12.05333,0.031,0.675
3,44,500,3.62863,0.02559,0.725
4,45,50,5.18661,0.03133,0.775
4,45,100,4.03528,0.03242,0.7
4,45,300,12.05333,0.031,0.675
4,45,500,3.62863,0.02559,0.725
5,46,50,5.18661,0.03133,0.775
5,46,100,4.03528,0.03242,0.7
5,46,300,12.05333,0.031,0.675
5,46,500,3.62863,0.02559,0.725
6,47,50,5.18661,0.03133,0.775
6,47,100,4.03528,0.03242,0.7
6,47,300,12.05333,0.031,0.675
6,47,500,3.62863,0.02559,0.725
7,48,50,5.18661,0.03133,0.775
7,48,100,4.03528,0.03242,0.7
7,48,300,12.05333,0.031,0.675
7,48,500,3.62863,0.02559,0.725
8,49,50,5.18661,0.03133,0.775
8,49,100,4.03528,0.03242,0.7
8,49,300,12.05333,0.031,0.675
8,49,500,3.62863,0.02559,0.725
9,50,50,5.18661,0.03133,0.775
9,50,100,4.03528,0.03242,0.7
9,50,300,12.05333,0.031,0.675
9,50,500,3.62863,0.02559,0.725
10,51,50,5.18661,0.03133,0.775
10,51,100,4.03528,0.03242,0.7
10,51,300,12.05333,0.031,0.675
10,51,500,3.62863,0.02559,0.725
11,52,50,5.18661,0.03133,0.775
11,52,100,4.03528,0.03242,0.7
11,52,300,12.05333,0.031,0.675
11,52,500,3.62863,0.02559,0.725
12,53,50,5.18661,0.03133,0.775
12,53,100,4.03528,0.03242,0.7
12,53,300,12.05333,0.031,0.675
12,53,500,3.62863,0.02559,0.725
13,54,50,5.18661,0.03133,0.775
13,54,100,4.03528,0.03242,0.7
13,54,300,12.05333,0.031,0.675
13,54,500,3.62863,0.02559,0.725
14,55,50,5.18661,0.03133,0.775
14,55,100,4.03528,0.03242,0.7
14,55,300,12.05333,0.031,0.675
14,55,500,3.62863,0.02559,0.725
15,56,50,5.18661,0.03133,0.775
15,56,100,4.03528,0.03242,0.7
15,56,300,12.05333,0.031,0.675
15,56,500,3.62863,0.02559,0.725
16,57,50,5.18661,0.03133,0.775
16,57,100,4.03528,0.03242,0.7
16,57,300,12.05333,0.031,0.675
16,57,500,3.62863,0.02559,0.725
17,58,50,5.18661,0.03133,0.775
17,58,100,4.03528,0.03242,0.7
17,58,300,12.05333,0.031,0.675
17,58,500,3.62863,0.02559,0.725
18,59,50,5.18661,0.03133,0.775
18,59,100,4.03528,0.03242,0.7
18,59,300,12.05333,0.031,0.675
18,59,500,3.62863,0.02559,0.725
19,60,50,5.18661,0.03133,0.775
19,60,100,4.03528,0.03242,0.7
19,60,300,12.05333,0.031,0.675
19,60,500,3.62863,0.02559,0.725
20,61,50,5.18661,0.03133,0.775
20,61,100,4.03528,0.03242,0.7
20,61,300,12.05333,0.031,0.675
20,61,500,3.62863,0.02559,0.725
