Experiment,Seed,N,Best_val_nll,MMD,RF Acc
1,42,50,3.08823,0.02219,0.575
1,42,100,3.07867,0.01059,0.525
1,42,300,4.62677,0.00969,0.525
1,42,500,4.3823,0.00829,0.5
2,43,50,5.2719,0.01942,0.625
2,43,100,3.75062,0.01628,0.75
2,43,300,3.44059,0.01497,0.625
2,43,500,4.50503,0.00713,0.625
3,44,50,4.10997,0.02466,0.675
3,44,100,3.40199,0.01294,0.625
3,44,300,3.28159,0.01128,0.625
3,44,500,3.97583,0.01135,0.6
4,45,50,3.6046,0.03003,0.7
4,45,100,4.24764,0.00948,0.575
4,45,300,5.51273,0.01288,0.6
4,45,500,3.6667,0.00653,0.65
5,46,50,5.84458,0.02432,0.675
5,46,100,3.20557,0.00912,0.55
5,46,300,3.7288,0.00839,0.55
5,46,500,4.25463,0.00748,0.625
6,47,50,3.96772,0.01551,0.725
6,47,100,3.10792,0.02545,0.525
6,47,300,3.53413,0.01362,0.525
6,47,500,3.95232,0.01263,0.525
7,48,50,3.65114,0.02982,0.675
7,48,100,3.33168,0.01131,0.7
7,48,300,13.17786,0.00722,0.575
7,48,500,3.63473,0.00683,0.525
8,49,50,3.86135,0.02606,0.625
8,49,100,3.87664,0.01817,0.6
8,49,300,3.56111,0.01144,0.575
8,49,500,4.43713,0.01127,0.55
9,50,50,3.71283,0.03126,0.65
9,50,100,9.03182,0.01104,0.6
9,50,300,4.19825,0.01017,0.6
9,50,500,3.79095,0.00803,0.6
10,51,50,3.31543,0.0202,0.625
10,51,100,4.17123,0.01871,0.675
10,51,300,3.29873,0.00696,0.525
10,51,500,4.84513,0.01166,0.5
11,52,50,7.38723,0.02401,0.65
11,52,100,6.10736,0.01552,0.625
11,52,300,3.54393,0.01463,0.525
11,52,500,4.11112,0.01594,0.55
12,53,50,3.82196,0.01732,0.725
12,53,100,4.64746,0.04104,0.575
12,53,300,4.3021,0.01407,0.625
12,53,500,6.04476,0.01065,0.5
13,54,50,4.23309,0.01377,0.525
13,54,100,3.90645,0.01669,0.575
13,54,300,3.30059,0.01003,0.525
13,54,500,3.16076,0.0088,0.55
14,55,50,3.58176,0.0365,0.675
14,55,100,9.15818,0.01479,0.6
14,55,300,4.97767,0.00776,0.6
14,55,500,4.24609,0.01033,0.55
15,56,50,3.22063,0.02426,0.525
15,56,100,3.85737,0.0117,0.5
15,56,300,4.41867,0.01097,0.6
15,56,500,3.61663,0.00819,0.525
16,57,50,3.29082,0.02174,0.575
16,57,100,3.90063,0.01496,0.575
16,57,300,4.52535,0.00849,0.5
16,57,500,4.29462,0.00676,0.625
17,58,50,4.51951,0.02893,0.8
17,58,100,3.01289,0.03313,0.7
17,58,300,3.26342,0.01661,0.5
17,58,500,4.38164,0.01312,0.5
18,59,50,3.81746,0.0222,0.7
18,59,100,3.53682,0.02067,0.55
18,59,300,3.55903,0.01175,0.6
18,59,500,4.13412,0.00899,0.575
19,60,50,3.96279,0.05439,0.675
19,60,100,3.22622,0.02183,0.55
19,60,300,3.96587,0.01102,0.575
19,60,500,3.97938,0.01102,0.6
20,61,50,3.87781,0.01206,0.775
20,61,100,4.22274,0.01087,0.575
20,61,300,5.41261,0.00757,0.6
20,61,500,3.48245,0.01021,0.6
