Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,4.6626,1.11291,0.17264,4.3125,1.36744,0.27455,0.13298,0.00381,0.03171,0.6
1,42,hsic,HSIC,0.0,1.0,100,1.82937,0.90152,0.25225,4.33066,1.3681,0.24399,0.14396,0.00552,0.01606,0.6
1,42,hsic,HSIC,0.0,1.0,300,1.73401,0.97157,0.10371,4.38807,1.20699,0.05302,0.07037,0.0043,0.05637,0.675
1,42,hsic,HSIC,0.0,1.0,500,1.33947,0.90658,0.06699,4.12804,1.35641,0.24492,0.14451,0.00435,0.0284,0.675
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,51.29452,1.84191,0.22031,3.93046,1.33176,0.24052,0.15276,0.00283,0.03095,0.65
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,23.68631,1.45197,0.21508,1.40027,0.85059,0.09125,0.0902,0.00181,0.03264,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,17.79406,1.27968,0.22362,1.72386,0.87805,0.11552,0.09647,0.00164,0.03206,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.13571,0.68725,0.15179,11.26103,1.38486,0.13993,0.09852,0.00212,0.03602,0.625
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.95163,0.65952,0.13928,2.41039,1.12536,0.27436,0.08102,0.00226,0.03699,0.7
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.92843,0.66286,0.14086,2.73635,1.16932,0.27629,0.07456,0.00204,0.03698,0.675
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.03566,0.7046,0.18125,166.313,2.46797,0.29405,0.0819,0.00222,0.03862,0.65
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.04084,0.71425,0.1816,315.67583,2.94205,0.29107,0.08401,0.00211,0.03943,0.725
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.00524,0.69433,0.17439,223.9081,2.65383,0.29881,0.07681,0.00198,0.0396,0.7
