Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,0.83389,0.73418,0.12878,1.25805,0.9216,0.27327,0.03754,0.00489,0.0272,0.65
1,42,hsic,HSIC,0.0,1.0,100,0.89981,0.73522,0.06947,1.14447,0.88359,0.15987,0.02368,0.00473,0.01359,0.675
1,42,hsic,HSIC,0.0,1.0,300,0.79113,0.64175,0.17689,1.09447,0.85808,0.03232,0.05895,0.00314,0.01037,0.625
1,42,hsic,HSIC,0.0,1.0,500,0.71513,0.72784,0.0283,1.23916,0.91513,0.27095,0.03577,0.00404,0.03271,0.675
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.48204,0.53442,0.12627,0.83197,0.75926,0.05897,0.08296,0.00271,0.01423,0.575
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.49746,0.55678,0.11354,0.7658,0.72081,0.02407,0.10644,0.00261,0.00899,0.7
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.48661,0.55554,0.11174,0.73918,0.71131,0.022,0.09646,0.0028,0.00905,0.725
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.51027,0.56733,0.11183,0.74197,0.71016,0.02261,0.10724,0.00318,0.0094,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.4968,0.56214,0.11037,0.7524,0.70461,0.0278,0.11292,0.00315,0.00946,0.65
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.511,0.56899,0.11168,0.737,0.69716,0.03329,0.11611,0.00305,0.01057,0.675
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.50848,0.56533,0.11255,0.75925,0.69345,0.04846,0.1428,0.00225,0.01074,0.675
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.49588,0.56305,0.11241,0.76901,0.69152,0.0452,0.13861,0.00252,0.01036,0.675
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.53194,0.57664,0.1167,0.80241,0.69565,0.0433,0.14959,0.0025,0.01006,0.65
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.56276,0.58379,0.16448,0.82566,0.75804,0.14236,0.06421,0.0029,0.01103,0.575
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.46435,0.52032,0.1144,0.84698,0.75187,0.15199,0.0907,0.00277,0.01152,0.55
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.44456,0.51634,0.11463,0.8684,0.76666,0.17756,0.07991,0.00307,0.01143,0.55
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.47292,0.54287,0.11758,0.82269,0.7323,0.11592,0.10547,0.00261,0.01082,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.46667,0.53483,0.11539,0.82443,0.73329,0.11576,0.1081,0.00273,0.01123,0.575
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.46023,0.52849,0.11587,0.8235,0.7291,0.11587,0.11315,0.00276,0.01145,0.575
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.47113,0.55432,0.13041,0.82607,0.72878,0.11667,0.11504,0.00272,0.01104,0.55
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.47559,0.55573,0.12918,0.83215,0.73123,0.11891,0.11525,0.00274,0.01139,0.5
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.47405,0.55139,0.12505,0.83707,0.73744,0.12603,0.10991,0.00288,0.01168,0.55
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.59846,0.58714,0.17284,0.77085,0.72922,0.04548,0.08563,0.00226,0.00866,0.5
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.5528,0.58774,0.16912,0.72553,0.70996,0.03337,0.08125,0.00245,0.00736,0.525
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.52823,0.59031,0.16724,0.70216,0.69398,0.03395,0.08414,0.00233,0.00729,0.55
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.51583,0.5914,0.16752,0.67853,0.68244,0.03499,0.08626,0.00232,0.00764,0.6
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.51255,0.59372,0.16772,0.66086,0.67197,0.03637,0.08737,0.0022,0.00817,0.625
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.52219,0.55588,0.11122,0.66487,0.6725,0.03437,0.08706,0.00223,0.00893,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.52459,0.55418,0.10955,0.65692,0.66464,0.03508,0.08836,0.00209,0.00925,0.575
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.52154,0.55071,0.11013,0.65784,0.66155,0.03577,0.08988,0.00202,0.00981,0.55
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.51329,0.55028,0.11162,0.66396,0.66229,0.03671,0.09085,0.00199,0.00958,0.55
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,0.42393,0.49856,0.1101,0.75089,0.7139,0.05833,0.06254,0.00238,0.01229,0.5
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.4329,0.50676,0.11226,0.73601,0.70993,0.05363,0.08685,0.00278,0.00828,0.525
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.43179,0.50991,0.1135,0.71277,0.69722,0.05028,0.08754,0.00255,0.00781,0.55
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.43145,0.5028,0.11136,0.71589,0.68844,0.05153,0.08286,0.00225,0.00984,0.6
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.4277,0.50284,0.11115,0.70745,0.6807,0.05203,0.08664,0.00225,0.00958,0.525
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.4271,0.50876,0.11257,0.70697,0.67729,0.0524,0.0908,0.00222,0.0094,0.575
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.43368,0.51567,0.11528,0.70965,0.67637,0.05306,0.0935,0.00226,0.0097,0.65
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.42863,0.51668,0.11826,0.72152,0.67882,0.05297,0.09251,0.00235,0.00754,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.43691,0.51236,0.11369,0.72187,0.67758,0.05426,0.09253,0.00238,0.00804,0.575
1,42,mse,MSE,1.0,0.0,50,0.50584,0.57721,0.11254,0.76951,0.69061,0.0444,0.13639,0.00268,0.01091,0.675
1,42,mse,MSE,1.0,0.0,100,0.52771,0.59055,0.17093,0.83084,0.72003,0.0921,0.12271,0.00261,0.01194,0.575
1,42,mse,MSE,1.0,0.0,300,0.51262,0.5418,0.10997,0.66358,0.6612,0.03785,0.09171,0.002,0.0097,0.55
1,42,mse,MSE,1.0,0.0,500,0.43708,0.51086,0.11355,0.71644,0.67648,0.05514,0.09357,0.00237,0.00951,0.6
