N,Beta,Metrica,mean,std
50,0.0,RF Acc,0.76159,0.14552
50,0.0,MMD,0.07309,0.04244
50,0.0,MAE x3,0.62954,0.58748
50,0.1,RF Acc,0.75659,0.14493
50,0.1,MMD,0.07044,0.04394
50,0.1,MAE x3,0.678,0.85722
50,0.2,RF Acc,0.75545,0.14626
50,0.2,MMD,0.0698,0.04273
50,0.2,MAE x3,0.61727,0.55986
50,0.3,RF Acc,0.75591,0.15026
50,0.3,MMD,0.07044,0.04464
50,0.3,MAE x3,0.58259,0.43191
50,0.4,RF Acc,0.75841,0.15016
50,0.4,MMD,0.07047,0.04423
50,0.4,MAE x3,0.56598,0.40621
50,0.5,RF Acc,0.76568,0.14663
50,0.5,MMD,0.07313,0.04932
50,0.5,MAE x3,0.57408,0.39395
50,0.6,RF Acc,0.765,0.1513
50,0.6,MMD,0.07406,0.04865
50,0.6,MAE x3,0.5673,0.36542
50,0.7,RF Acc,0.76773,0.15157
50,0.7,MMD,0.07697,0.05178
50,0.7,MAE x3,0.59249,0.3481
50,0.8,RF Acc,0.77773,0.1507
50,0.8,MMD,0.07797,0.05309
50,0.8,MAE x3,0.64005,0.51696
100,0.0,RF Acc,0.74409,0.15193
100,0.0,MMD,0.06761,0.0562
100,0.0,MAE x3,0.50255,0.3017
100,0.1,RF Acc,0.74614,0.15285
100,0.1,MMD,0.06742,0.05584
100,0.1,MAE x3,0.51366,0.39634
100,0.2,RF Acc,0.74955,0.14792
100,0.2,MMD,0.06606,0.05563
100,0.2,MAE x3,0.52288,0.40769
100,0.3,RF Acc,0.74682,0.14924
100,0.3,MMD,0.06694,0.05561
100,0.3,MAE x3,0.54428,0.54055
100,0.4,RF Acc,0.75182,0.15253
100,0.4,MMD,0.06797,0.0568
100,0.4,MAE x3,0.53701,0.48591
100,0.5,RF Acc,0.74909,0.154
100,0.5,MMD,0.06892,0.0578
100,0.5,MAE x3,0.53851,0.50964
100,0.6,RF Acc,0.74841,0.15345
100,0.6,MMD,0.07032,0.06009
100,0.6,MAE x3,0.58697,0.59904
100,0.7,RF Acc,0.7525,0.15178
100,0.7,MMD,0.07015,0.05801
100,0.7,MAE x3,0.53364,0.34783
100,0.8,RF Acc,0.75977,0.14684
100,0.8,MMD,0.07173,0.05871
100,0.8,MAE x3,0.53516,0.27775
