Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
3-chain-linear,50,0.0,1.0,mse,10,0.55,0.03727,0.02275,0.00497,0.7766,0.0161
3-chain-linear,50,0.1,0.9,hybrid,10,0.555,0.03689,0.02268,0.00496,0.77624,0.01507
3-chain-linear,50,0.2,0.8,hybrid,10,0.5475,0.04322,0.02263,0.00496,0.77586,0.0144
3-chain-linear,50,0.3,0.7,hybrid,10,0.5475,0.03988,0.02253,0.00497,0.77549,0.0136
3-chain-linear,50,0.4,0.6,hybrid,10,0.545,0.04216,0.02255,0.00502,0.77585,0.01275
3-chain-linear,50,0.5,0.5,hybrid,10,0.55,0.04249,0.02249,0.00505,0.7752,0.01197
3-chain-linear,50,0.6,0.4,hybrid,10,0.545,0.04216,0.02242,0.00511,0.77466,0.01129
3-chain-linear,50,0.7,0.3,hybrid,10,0.5525,0.03988,0.02242,0.00509,0.77435,0.01267
3-chain-linear,50,0.8,0.2,hybrid,10,0.5525,0.03426,0.02234,0.00509,0.77358,0.01173
3-chain-linear,100,0.0,1.0,mse,10,0.565,0.02934,0.02298,0.0085,0.78605,0.02861
3-chain-linear,100,0.1,0.9,hybrid,10,0.585,0.05297,0.02452,0.01242,0.79069,0.04248
3-chain-linear,100,0.2,0.8,hybrid,10,0.565,0.03764,0.02056,0.00275,0.77729,0.00901
3-chain-linear,100,0.3,0.7,hybrid,10,0.565,0.03764,0.02032,0.00302,0.77639,0.0092
3-chain-linear,100,0.4,0.6,hybrid,10,0.5675,0.03736,0.02023,0.00324,0.77649,0.00942
3-chain-linear,100,0.5,0.5,hybrid,10,0.5475,0.0478,0.02016,0.00323,0.777,0.00922
3-chain-linear,100,0.6,0.4,hybrid,10,0.545,0.04048,0.02011,0.00322,0.77785,0.01065
3-chain-linear,100,0.7,0.3,hybrid,10,0.54,0.04282,0.01996,0.00316,0.77736,0.01028
3-chain-linear,100,0.8,0.2,hybrid,10,0.5575,0.03736,0.02008,0.00347,0.7771,0.01182
3-chain-non-linear,50,0.0,1.0,mse,10,0.985,0.01748,0.05972,0.01576,0.11008,0.06784
3-chain-non-linear,50,0.1,0.9,hybrid,10,0.9925,0.01208,0.05697,0.01669,0.10526,0.07945
3-chain-non-linear,50,0.2,0.8,hybrid,10,0.9925,0.01208,0.05362,0.01574,0.0911,0.08615
3-chain-non-linear,50,0.3,0.7,hybrid,10,0.9925,0.01208,0.0531,0.01527,0.08829,0.09428
3-chain-non-linear,50,0.4,0.6,hybrid,10,0.9925,0.01208,0.05454,0.01505,0.1285,0.11789
3-chain-non-linear,50,0.5,0.5,hybrid,10,0.9875,0.01768,0.05984,0.02538,0.15628,0.1641
3-chain-non-linear,50,0.6,0.4,hybrid,10,0.9875,0.01768,0.06678,0.03307,0.14856,0.15684
3-chain-non-linear,50,0.7,0.3,hybrid,10,0.99,0.01748,0.07905,0.03809,0.19676,0.20972
3-chain-non-linear,50,0.8,0.2,hybrid,10,0.9975,0.00791,0.08559,0.04371,0.27492,0.2797
3-chain-non-linear,100,0.0,1.0,mse,10,0.985,0.01748,0.05322,0.01141,0.08956,0.0498
3-chain-non-linear,100,0.1,0.9,hybrid,10,0.9875,0.01768,0.05103,0.01225,0.06431,0.06017
3-chain-non-linear,100,0.2,0.8,hybrid,10,0.9825,0.01687,0.04899,0.00825,0.05997,0.03714
3-chain-non-linear,100,0.3,0.7,hybrid,10,0.9825,0.01208,0.05174,0.00805,0.08104,0.05343
3-chain-non-linear,100,0.4,0.6,hybrid,10,0.99,0.01291,0.05529,0.01043,0.10855,0.04672
3-chain-non-linear,100,0.5,0.5,hybrid,10,0.985,0.01748,0.06134,0.02106,0.1156,0.06892
3-chain-non-linear,100,0.6,0.4,hybrid,10,0.99,0.01748,0.07108,0.03322,0.16895,0.13565
3-chain-non-linear,100,0.7,0.3,hybrid,10,0.9875,0.01768,0.0837,0.03604,0.1902,0.12173
3-chain-non-linear,100,0.8,0.2,hybrid,10,0.985,0.01291,0.09353,0.04463,0.23773,0.17197
4-chain-linear,50,0.0,1.0,mse,10,1.0,0.0,0.14085,0.01174,0.02834,0.01844
4-chain-linear,50,0.1,0.9,hybrid,10,0.995,0.01581,0.14531,0.00704,0.03659,0.03017
4-chain-linear,50,0.2,0.8,hybrid,10,0.995,0.01581,0.14768,0.00842,0.0373,0.03064
4-chain-linear,50,0.3,0.7,hybrid,10,1.0,0.0,0.15054,0.01067,0.03908,0.01451
4-chain-linear,50,0.4,0.6,hybrid,10,0.9975,0.00791,0.15106,0.00967,0.03533,0.01426
4-chain-linear,50,0.5,0.5,hybrid,10,1.0,0.0,0.15181,0.01028,0.03738,0.01298
4-chain-linear,50,0.6,0.4,hybrid,10,1.0,0.0,0.15189,0.00999,0.03164,0.01699
4-chain-linear,50,0.7,0.3,hybrid,10,1.0,0.0,0.15363,0.00988,0.03322,0.01559
4-chain-linear,50,0.8,0.2,hybrid,10,1.0,0.0,0.15454,0.01118,0.03583,0.02218
4-chain-linear,100,0.0,1.0,mse,10,1.0,0.0,0.16981,0.10348,0.0561,0.03095
4-chain-linear,100,0.1,0.9,hybrid,10,1.0,0.0,0.17273,0.10203,0.05551,0.0319
4-chain-linear,100,0.2,0.8,hybrid,10,1.0,0.0,0.17318,0.10159,0.05407,0.03367
4-chain-linear,100,0.3,0.7,hybrid,10,1.0,0.0,0.17311,0.10148,0.05291,0.0366
4-chain-linear,100,0.4,0.6,hybrid,10,1.0,0.0,0.17336,0.10149,0.05212,0.03899
4-chain-linear,100,0.5,0.5,hybrid,10,0.9975,0.00791,0.17441,0.1013,0.04883,0.04254
4-chain-linear,100,0.6,0.4,hybrid,10,1.0,0.0,0.17506,0.10105,0.05679,0.0462
4-chain-linear,100,0.7,0.3,hybrid,10,1.0,0.0,0.17549,0.10075,0.0618,0.05008
4-chain-linear,100,0.8,0.2,hybrid,10,1.0,0.0,0.17653,0.1005,0.0593,0.04183
5-chain-linear,50,0.0,1.0,mse,10,0.625,0.04714,0.03034,0.00755,0.7766,0.0161
5-chain-linear,50,0.1,0.9,hybrid,10,0.6275,0.05584,0.02974,0.00714,0.77624,0.01507
5-chain-linear,50,0.2,0.8,hybrid,10,0.605,0.04216,0.02821,0.00693,0.77586,0.0144
5-chain-linear,50,0.3,0.7,hybrid,10,0.6075,0.0578,0.02838,0.00621,0.77549,0.0136
5-chain-linear,50,0.4,0.6,hybrid,10,0.605,0.0483,0.02738,0.00674,0.77585,0.01275
5-chain-linear,50,0.5,0.5,hybrid,10,0.595,0.0483,0.02734,0.00664,0.7752,0.01197
5-chain-linear,50,0.6,0.4,hybrid,10,0.5975,0.06609,0.02656,0.00606,0.77466,0.01129
5-chain-linear,50,0.7,0.3,hybrid,10,0.59,0.05676,0.02537,0.00488,0.77435,0.01267
5-chain-linear,50,0.8,0.2,hybrid,10,0.6125,0.04449,0.02476,0.00466,0.77358,0.01173
5-chain-linear,100,0.0,1.0,mse,10,0.57,0.04216,0.02271,0.00618,0.78605,0.02861
5-chain-linear,100,0.1,0.9,hybrid,10,0.57,0.04684,0.02309,0.00901,0.79069,0.04248
5-chain-linear,100,0.2,0.8,hybrid,10,0.565,0.05164,0.02029,0.0035,0.77729,0.00901
5-chain-linear,100,0.3,0.7,hybrid,10,0.5675,0.05144,0.01974,0.0039,0.77639,0.0092
5-chain-linear,100,0.4,0.6,hybrid,10,0.56,0.02415,0.01991,0.0033,0.77649,0.00942
5-chain-linear,100,0.5,0.5,hybrid,10,0.5575,0.03545,0.01987,0.00318,0.777,0.00922
5-chain-linear,100,0.6,0.4,hybrid,10,0.575,0.04249,0.01958,0.00324,0.77785,0.01065
5-chain-linear,100,0.7,0.3,hybrid,10,0.565,0.03764,0.01962,0.00312,0.77736,0.01028
5-chain-linear,100,0.8,0.2,hybrid,10,0.5575,0.03344,0.01919,0.004,0.7771,0.01182
collider-linear,50,0.0,1.0,mse,10,0.7225,0.05329,0.05622,0.01096,0.40618,0.09143
collider-linear,50,0.1,0.9,hybrid,10,0.7275,0.06396,0.05755,0.01071,0.42495,0.08954
collider-linear,50,0.2,0.8,hybrid,10,0.7225,0.06713,0.05538,0.01024,0.40897,0.08191
collider-linear,50,0.3,0.7,hybrid,10,0.7275,0.06175,0.0567,0.01057,0.42569,0.10285
collider-linear,50,0.4,0.6,hybrid,10,0.745,0.06101,0.05584,0.01254,0.42545,0.09232
collider-linear,50,0.5,0.5,hybrid,10,0.75,0.05893,0.05534,0.01233,0.44629,0.0815
collider-linear,50,0.6,0.4,hybrid,10,0.7375,0.06038,0.05915,0.01907,0.43557,0.09534
collider-linear,50,0.7,0.3,hybrid,10,0.76,0.05028,0.05896,0.01504,0.44953,0.08718
collider-linear,50,0.8,0.2,hybrid,10,0.7725,0.05062,0.05912,0.01494,0.46452,0.06736
collider-linear,100,0.0,1.0,mse,10,0.705,0.05749,0.05857,0.01465,0.3982,0.07855
collider-linear,100,0.1,0.9,hybrid,10,0.705,0.0654,0.05756,0.01588,0.40241,0.07669
collider-linear,100,0.2,0.8,hybrid,10,0.7325,0.03344,0.05532,0.0135,0.39519,0.07811
collider-linear,100,0.3,0.7,hybrid,10,0.71,0.04282,0.05468,0.01275,0.38368,0.08129
collider-linear,100,0.4,0.6,hybrid,10,0.7225,0.05329,0.05401,0.01261,0.38299,0.08057
collider-linear,100,0.5,0.5,hybrid,10,0.7425,0.05277,0.05345,0.01136,0.39474,0.07328
collider-linear,100,0.6,0.4,hybrid,10,0.7325,0.04866,0.05358,0.01355,0.39154,0.07864
collider-linear,100,0.7,0.3,hybrid,10,0.72,0.04684,0.0525,0.01111,0.38694,0.07188
