Dataset,Experiment,Seed,N,MMD,RF Acc
3-chain-linear,1,42,50,0.02172,0.8
3-chain-linear,2,43,50,0.02594,0.6
3-chain-linear,3,44,50,0.02867,0.5
3-chain-linear,4,45,50,0.03306,0.8
3-chain-linear,5,46,50,0.03721,0.8
3-chain-linear,6,47,50,0.0203,0.625
3-chain-linear,7,48,50,0.01887,0.675
3-chain-linear,8,49,50,0.0297,0.8
3-chain-linear,9,50,50,0.02167,0.725
3-chain-linear,10,51,50,0.03171,0.7
3-chain-linear,1,42,100,0.01939,0.575
3-chain-linear,2,43,100,0.01685,0.675
3-chain-linear,3,44,100,0.00474,0.6
3-chain-linear,4,45,100,0.03102,0.75
3-chain-linear,5,46,100,0.00929,0.55
3-chain-linear,6,47,100,0.02518,0.75
3-chain-linear,7,48,100,0.01243,0.525
3-chain-linear,8,49,100,0.00808,0.675
3-chain-linear,9,50,100,0.04603,0.675
3-chain-linear,10,51,100,0.00978,0.675
3-chain-non-linear,1,42,50,0.06966,0.8
3-chain-non-linear,2,43,50,0.02107,0.65
3-chain-non-linear,3,44,50,0.01665,0.55
3-chain-non-linear,4,45,50,0.11172,0.85
3-chain-non-linear,5,46,50,0.03172,0.675
3-chain-non-linear,6,47,50,0.0317,0.725
3-chain-non-linear,7,48,50,0.04223,0.675
3-chain-non-linear,8,49,50,0.04743,0.8
3-chain-non-linear,9,50,50,0.06321,0.8
3-chain-non-linear,10,51,50,0.02517,0.7
3-chain-non-linear,1,42,100,0.02188,0.675
3-chain-non-linear,2,43,100,0.01358,0.575
3-chain-non-linear,3,44,100,0.02213,0.65
3-chain-non-linear,4,45,100,0.01311,0.55
3-chain-non-linear,5,46,100,0.01884,0.625
3-chain-non-linear,6,47,100,0.03655,0.625
3-chain-non-linear,7,48,100,0.07062,0.75
3-chain-non-linear,8,49,100,0.01486,0.65
3-chain-non-linear,9,50,100,0.0883,0.75
3-chain-non-linear,10,51,100,0.02796,0.75
4-chain-linear,1,42,50,0.04082,0.825
4-chain-linear,2,43,50,0.02376,0.75
4-chain-linear,3,44,50,0.01167,0.5
4-chain-linear,4,45,50,0.04211,0.825
4-chain-linear,5,46,50,0.0385,0.725
4-chain-linear,6,47,50,0.0457,0.775
4-chain-linear,7,48,50,0.02406,0.775
4-chain-linear,8,49,50,0.03262,0.75
4-chain-linear,9,50,50,0.02762,0.75
