Dataset,Experiment,Seed,N,MMD,RF Acc
3-chain-linear,1,42,50,0.00883,0.675
3-chain-linear,2,43,50,0.01315,0.675
3-chain-linear,3,44,50,0.0138,0.6
3-chain-linear,4,45,50,0.01503,0.775
3-chain-linear,5,46,50,0.01085,0.675
3-chain-linear,6,47,50,0.03324,0.75
3-chain-linear,7,48,50,0.00984,0.7
3-chain-linear,8,49,50,0.01357,0.65
3-chain-linear,9,50,50,0.01991,0.55
3-chain-linear,10,51,50,0.01145,0.65
3-chain-linear,1,42,100,0.01966,0.625
3-chain-linear,2,43,100,0.01126,0.725
3-chain-linear,3,44,100,0.01173,0.7
3-chain-linear,4,45,100,0.01639,0.65
3-chain-linear,5,46,100,0.0063,0.675
3-chain-linear,6,47,100,0.01239,0.65
3-chain-linear,7,48,100,0.00968,0.65
3-chain-linear,8,49,100,0.02766,0.65
3-chain-linear,9,50,100,0.01811,0.575
3-chain-linear,10,51,100,0.01213,0.575
3-chain-non-linear,1,42,50,0.02431,0.575
3-chain-non-linear,2,43,50,0.01178,0.65
3-chain-non-linear,3,44,50,0.03019,0.65
3-chain-non-linear,4,45,50,0.03056,0.8
3-chain-non-linear,5,46,50,0.01448,0.725
3-chain-non-linear,6,47,50,0.04602,0.625
3-chain-non-linear,7,48,50,0.02746,0.65
3-chain-non-linear,8,49,50,0.05102,0.65
3-chain-non-linear,9,50,50,0.0154,0.525
3-chain-non-linear,10,51,50,0.01352,0.75
3-chain-non-linear,1,42,100,0.01977,0.725
3-chain-non-linear,2,43,100,0.01762,0.6
3-chain-non-linear,3,44,100,0.0226,0.725
3-chain-non-linear,4,45,100,0.02571,0.7
3-chain-non-linear,5,46,100,0.012,0.525
3-chain-non-linear,6,47,100,0.02387,0.675
3-chain-non-linear,7,48,100,0.01463,0.525
3-chain-non-linear,8,49,100,0.01967,0.675
3-chain-non-linear,9,50,100,0.00917,0.65
3-chain-non-linear,10,51,100,0.0101,0.575
4-chain-linear,1,42,50,0.0431,0.725
4-chain-linear,2,43,50,0.03162,0.625
4-chain-linear,3,44,50,0.0436,0.8
4-chain-linear,4,45,50,0.03965,0.675
4-chain-linear,5,46,50,0.01451,0.65
4-chain-linear,6,47,50,0.03636,0.725
4-chain-linear,7,48,50,0.03077,0.7
4-chain-linear,8,49,50,0.02432,0.6
4-chain-linear,9,50,50,0.03121,0.675
4-chain-linear,10,51,50,0.01585,0.7
4-chain-linear,1,42,100,0.01984,0.675
4-chain-linear,2,43,100,0.02647,0.55
4-chain-linear,3,44,100,0.0202,0.75
4-chain-linear,4,45,100,0.01537,0.725
4-chain-linear,5,46,100,0.01145,0.525
4-chain-linear,6,47,100,0.03125,0.7
4-chain-linear,7,48,100,0.02531,0.55
4-chain-linear,8,49,100,0.05121,0.625
4-chain-linear,9,50,100,0.02272,0.6
4-chain-linear,10,51,100,0.02791,0.625
5-chain-linear,1,42,50,0.01004,0.55
5-chain-linear,2,43,50,0.01271,0.675
5-chain-linear,3,44,50,0.00472,0.65
5-chain-linear,4,45,50,0.00807,0.575
5-chain-linear,5,46,50,0.01118,0.65
5-chain-linear,6,47,50,0.01829,0.675
5-chain-linear,7,48,50,0.0106,0.625
5-chain-linear,8,49,50,0.01152,0.6
5-chain-linear,9,50,50,0.01874,0.675
5-chain-linear,10,51,50,0.01672,0.625
5-chain-linear,1,42,100,0.01307,0.625
5-chain-linear,2,43,100,0.01029,0.575
5-chain-linear,3,44,100,0.01004,0.55
