Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,1.0,0.87567,0.83444,0.10829,0.66803,0.69412,0.31168,,0.01767,0.10579,0.725
1,42,hsic,HSIC,0.0,1.0,50,0.0,0.87567,0.83444,0.10829,1.43674,0.7986,0.2328,,0.01769,0.04679,0.7
1,42,hsic,HSIC,0.0,1.0,100,1.0,1.09725,0.94574,0.13459,0.55739,0.63216,0.35699,,0.02724,0.16978,0.775
1,42,hsic,HSIC,0.0,1.0,100,0.0,1.09725,0.94574,0.13459,0.91913,0.66612,0.05812,,0.01113,0.11066,0.775
1,42,hsic,HSIC,0.0,1.0,300,1.0,0.49895,0.57506,0.09994,0.4322,0.56419,0.12162,,0.01463,0.17473,0.85
1,42,hsic,HSIC,0.0,1.0,300,0.0,0.49895,0.57506,0.09994,0.86866,0.6894,0.05689,,0.011,0.11689,0.8
1,42,hsic,HSIC,0.0,1.0,500,1.0,0.41996,0.51471,0.07006,1.27566,1.06205,0.0535,,0.00818,0.21787,0.825
1,42,hsic,HSIC,0.0,1.0,500,0.0,0.41996,0.51471,0.07006,1.28689,0.98891,0.04345,,0.00782,0.15667,0.775
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,0.29495,0.35663,0.14637,0.64352,0.72067,0.08581,,0.01246,0.04826,0.625
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,0.29754,0.35841,0.14986,0.43589,0.56179,0.25438,,0.02209,0.07607,0.725
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,0.29514,0.35772,0.14951,0.41908,0.54184,0.29076,,0.02436,0.07283,0.675
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,0.29995,0.35545,0.14917,0.41277,0.5317,0.3136,,0.02558,0.07083,0.675
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,0.30166,0.35679,0.14695,0.41156,0.52794,0.32688,,0.02615,0.07028,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,0.30482,0.35718,0.14537,0.41499,0.52984,0.33358,,0.02647,0.06934,0.7
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.0,0.30648,0.35763,0.1459,0.40992,0.52776,0.32073,,0.02592,0.0688,0.7
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.0,0.30832,0.36099,0.15453,0.38111,0.51131,0.2611,,0.02276,0.06626,0.725
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.0,0.30954,0.3625,0.15747,0.36736,0.5137,0.15051,,0.01539,0.0745,0.775
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,0.29495,0.35663,0.14637,0.99011,0.81683,0.04666,,0.01028,0.02232,0.575
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,0.29754,0.35841,0.14986,1.05121,0.75517,0.20907,,0.01918,0.02874,0.75
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,0.29514,0.35772,0.14951,1.05883,0.75562,0.2154,,0.0195,0.02852,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.0,0.29995,0.35545,0.14917,1.06694,0.75384,0.21976,,0.01964,0.02915,0.675
