Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,3.29331,0.65882,0.33593,91.14439,2.34497,0.27325,0.1556,0.00455,0.02157,0.625
1,42,hsic,HSIC,0.0,1.0,100,3.10864,0.66485,0.3516,92.12136,2.23661,0.18108,0.12699,0.00534,0.02904,0.6
1,42,hsic,HSIC,0.0,1.0,300,3.58952,0.78196,0.27179,93.3185,2.60431,0.13895,0.18347,0.00639,0.25834,0.8
1,42,hsic,HSIC,0.0,1.0,500,3.27226,0.66243,0.34206,91.32263,2.48512,0.0953,0.08505,0.00462,0.16826,0.775
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,3.29347,0.65888,0.33618,92.06547,2.25553,0.27517,0.15645,0.00493,0.02229,0.55
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,3.29293,0.65895,0.33655,91.99813,2.24611,0.2703,0.14335,0.00475,0.02188,0.625
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,3.29294,0.65903,0.33679,91.74967,2.24933,0.21265,0.1342,0.00462,0.02258,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,3.29141,0.65903,0.3372,90.33873,2.11373,0.26628,0.12875,0.00514,0.02299,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,3.29141,0.65904,0.33721,90.60749,2.08849,0.20719,0.10983,0.00503,0.02295,0.6
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,3.29139,0.65904,0.33724,91.64317,2.1967,0.1747,0.09851,0.00472,0.02294,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,3.29139,0.65904,0.33724,91.42061,2.15551,0.29429,0.11967,0.00479,0.0228,0.55
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,3.29138,0.65904,0.33724,105.65366,2.69082,0.32656,0.1483,0.00566,0.02775,0.575
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,3.29137,0.65905,0.33727,98.3194,2.46166,0.29763,0.13733,0.00533,0.02888,0.6
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,5.35703,0.72976,0.35415,96.95417,2.36624,0.22963,0.14758,0.00522,0.03086,0.625
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,4.563,0.7115,0.35034,93.62216,2.29076,0.23926,0.14698,0.00517,0.02732,0.625
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,4.19239,0.70164,0.35044,59.62664,1.78378,0.07644,0.08176,0.0049,0.02394,0.6
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,4.19062,0.70249,0.35214,83.38952,1.92902,0.18304,0.08875,0.00438,0.02473,0.55
