Experiment,Seed,N,Best_val_nll,MMD,RF Acc
1,42,50,2.6362,0.01949,0.625
1,42,100,3.6207,0.01811,0.625
1,42,300,4.52913,0.02741,0.525
1,42,500,2.77949,0.01362,0.525
2,43,50,5.58862,0.04315,0.725
2,43,100,37.29309,0.02234,0.625
2,43,300,38.83568,0.01968,0.55
2,43,500,4.63669,0.02418,0.575
3,44,50,20.04298,0.02103,0.75
3,44,100,70.49998,0.03456,0.7
3,44,300,86.1116,0.0193,0.55
3,44,500,10.28888,0.02398,0.6
4,45,50,2.65893,0.0252,0.525
4,45,100,3.27433,0.02518,0.5
4,45,300,3.7412,0.01335,0.575
4,45,500,8.58388,0.01632,0.55
5,46,50,3.29091,0.04018,0.625
5,46,100,4.10429,0.03216,0.625
5,46,300,4.23978,0.0236,0.6
5,46,500,9.98157,0.01527,0.575
6,47,50,12.80958,0.05923,0.675
6,47,100,79.05721,0.03715,0.675
6,47,300,7.43257,0.02663,0.7
6,47,500,5.25347,0.01657,0.575
7,48,50,4.26484,0.04572,0.775
7,48,100,3.75599,0.03677,0.575
7,48,300,5.68131,0.02535,0.6
7,48,500,5.6594,0.02324,0.675
8,49,50,3.69039,0.04407,0.7
8,49,100,6.69603,0.03147,0.7
8,49,300,15.99457,0.0192,0.65
8,49,500,4.18134,0.01697,0.6
9,50,50,3.05672,0.02088,0.6
9,50,100,3.01654,0.02623,0.65
9,50,300,3.54795,0.01999,0.625
9,50,500,5.20443,0.01431,0.5
10,51,50,1.68927,0.01723,0.675
10,51,100,2.9836,0.02143,0.6
10,51,300,13.45904,0.02002,0.6
10,51,500,4.45674,0.01589,0.6
11,52,50,2.7033,0.02895,0.725
11,52,100,3.53163,0.02506,0.525
11,52,300,103.74545,0.02569,0.525
11,52,500,3.57601,0.02537,0.575
12,53,50,3.77786,0.07902,0.7
12,53,100,4.0115,0.04236,0.65
12,53,300,232.19315,0.02448,0.55
12,53,500,5.87986,0.01623,0.525
13,54,50,11.36214,0.03768,0.675
13,54,100,16.1583,0.02675,0.7
13,54,300,6.73278,0.01914,0.6
13,54,500,3.24571,0.02071,0.625
14,55,50,4.68987,0.02343,0.675
14,55,100,3.8841,0.03169,0.7
14,55,300,3.34873,0.01945,0.575
14,55,500,6.98428,0.01349,0.575
15,56,50,3.57843,0.04598,0.575
15,56,100,3.50783,0.03364,0.7
15,56,300,5.58776,0.02161,0.525
15,56,500,17.37206,0.01968,0.5
16,57,50,3.48204,0.05804,0.725
16,57,100,3.06646,0.0416,0.8
16,57,300,11.47493,0.02306,0.575
16,57,500,58.6245,0.02102,0.55
17,58,50,3.34425,0.06421,0.675
17,58,100,3.78503,0.04052,0.725
17,58,300,11.53982,0.02174,0.575
17,58,500,8.91363,0.01515,0.525
18,59,50,5.67218,0.0401,0.75
18,59,100,8.29568,0.02539,0.575
18,59,300,2.60657,0.02014,0.675
18,59,500,16.86381,0.01593,0.55
19,60,50,8.01776,0.04019,0.725
19,60,100,5.67999,0.02951,0.6
19,60,300,3.45285,0.01853,0.6
19,60,500,10.61135,0.01782,0.6
20,61,50,2.60012,0.04497,0.675
20,61,100,4.52501,0.03441,0.625
20,61,300,3.45861,0.02214,0.5
20,61,500,4.70552,0.01561,0.525
