Experiment,Seed,N,Best_val_nll,MMD,RF Acc
1,42,50,3.56316,0.03248,0.725
1,42,100,3.67612,0.02466,0.625
1,42,300,3.39771,0.01696,0.625
1,42,500,3.41329,0.02368,0.55
2,43,50,4.85721,0.01564,0.675
2,43,100,4.33317,0.03939,0.775
2,43,300,3.89685,0.01832,0.575
2,43,500,3.08197,0.01114,0.525
3,44,50,3.95769,0.02265,0.75
3,44,100,4.27648,0.02446,0.725
3,44,300,3.4683,0.01178,0.55
3,44,500,3.44459,0.01829,0.6
4,45,50,4.56615,0.03783,0.7
4,45,100,4.34978,0.01301,0.775
4,45,300,3.26065,0.02181,0.525
4,45,500,3.3289,0.02008,0.575
5,46,50,4.10749,0.02887,0.65
5,46,100,3.68588,0.01574,0.6
5,46,300,3.99742,0.00724,0.525
5,46,500,3.18141,0.01506,0.575
6,47,50,3.57303,0.01869,0.775
6,47,100,3.95035,0.02629,0.6
6,47,300,3.92608,0.0247,0.675
6,47,500,3.39974,0.0205,0.575
7,48,50,4.6139,0.02066,0.65
7,48,100,3.63653,0.01531,0.65
7,48,300,3.27565,0.01187,0.5
7,48,500,3.25032,0.00937,0.525
8,49,50,3.80371,0.03495,0.775
8,49,100,4.09891,0.05089,0.75
8,49,300,3.28058,0.01178,0.6
8,49,500,3.42649,0.01752,0.55
9,50,50,3.71233,0.03751,0.75
9,50,100,3.1755,0.02759,0.75
9,50,300,3.38728,0.01798,0.525
9,50,500,3.64759,0.01306,0.55
10,51,50,3.58493,0.01579,0.675
10,51,100,3.16453,0.00938,0.525
10,51,300,3.43432,0.01738,0.5
10,51,500,3.39515,0.00994,0.55
11,52,50,3.8305,0.04506,0.775
11,52,100,4.33262,0.01736,0.625
11,52,300,3.44751,0.02447,0.725
11,52,500,3.31518,0.02419,0.6
12,53,50,3.69229,0.0261,0.65
12,53,100,3.19736,0.01473,0.625
12,53,300,3.46895,0.01249,0.625
12,53,500,3.30079,0.01493,0.575
13,54,50,4.49651,0.02458,0.6
13,54,100,3.40551,0.01645,0.65
13,54,300,3.44328,0.01563,0.6
13,54,500,3.24243,0.01462,0.55
14,55,50,3.56349,0.02575,0.6
14,55,100,3.51631,0.01273,0.65
14,55,300,3.73517,0.03196,0.65
14,55,500,3.16413,0.00751,0.55
15,56,50,4.45856,0.02576,0.675
15,56,100,3.79219,0.02701,0.75
15,56,300,3.93832,0.01773,0.55
15,56,500,3.18908,0.00908,0.6
16,57,50,3.44399,0.02014,0.55
16,57,100,3.80713,0.01847,0.65
16,57,300,3.2096,0.00976,0.5
16,57,500,3.04028,0.01269,0.525
17,58,50,4.00214,0.025,0.725
17,58,100,4.28058,0.03865,0.725
17,58,300,3.20834,0.01087,0.55
17,58,500,3.42749,0.00845,0.55
18,59,50,3.40987,0.01958,0.7
18,59,100,3.70671,0.03305,0.65
18,59,300,3.77586,0.01456,0.625
18,59,500,3.25102,0.01326,0.6
19,60,50,3.59311,0.02951,0.725
19,60,100,3.23054,0.02756,0.575
19,60,300,3.50908,0.00987,0.525
19,60,500,3.2542,0.00866,0.6
20,61,50,3.71262,0.0283,0.6
20,61,100,3.91652,0.02772,0.675
20,61,300,3.60508,0.01066,0.575
20,61,500,3.2387,0.01097,0.5
