Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,0.89869,0.8462,0.106,1.48414,0.80192,0.20372,0.03459,0.00292,0.08784,0.625
1,42,hsic,HSIC,0.0,1.0,100,1.08283,0.93811,0.13429,1.42429,0.73621,0.0686,0.03358,0.00287,0.14247,0.75
1,42,hsic,HSIC,0.0,1.0,300,0.55366,0.60058,0.1077,1.18246,0.71939,0.04596,0.03379,0.00293,0.16223,0.75
1,42,hsic,HSIC,0.0,1.0,500,0.50752,0.58574,0.06692,1.80317,1.07082,0.04591,0.02058,0.00239,0.21212,0.775
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.29607,0.35702,0.1461,1.12283,0.85819,0.03459,0.0203,0.00197,0.05263,0.675
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.29675,0.35597,0.14976,0.86997,0.71075,0.19663,0.03796,0.00171,0.03633,0.675
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.29442,0.35667,0.14898,0.87089,0.70582,0.20912,0.04146,0.00177,0.03562,0.675
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.30174,0.35872,0.14939,0.88004,0.7038,0.21673,0.04244,0.002,0.03646,0.675
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.30323,0.36001,0.14346,0.88497,0.70241,0.21411,0.0417,0.00198,0.0363,0.7
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.30437,0.35951,0.14233,0.88549,0.7015,0.20773,0.03973,0.00203,0.03613,0.7
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.30907,0.36336,0.15224,0.86567,0.69129,0.1913,0.0344,0.0023,0.03526,0.675
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.31015,0.36181,0.15675,0.81059,0.66733,0.15374,0.02765,0.00205,0.0341,0.675
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.30369,0.35956,0.14132,0.74971,0.62063,0.05396,0.01986,0.00173,0.03215,0.625
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.27179,0.34199,0.16038,0.7907,0.69316,0.12105,0.03194,0.00098,0.03306,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.26451,0.33251,0.18451,0.74448,0.64513,0.0888,0.02239,0.00121,0.03027,0.675
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.26013,0.33781,0.19734,0.758,0.65831,0.10471,0.03126,0.00124,0.02512,0.725
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.26364,0.33499,0.19324,0.77924,0.68281,0.12023,0.0424,0.00108,0.02554,0.675
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.26294,0.33614,0.19751,0.78813,0.69435,0.10452,0.05564,0.00094,0.02582,0.7
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.26319,0.33876,0.20109,0.77002,0.68402,0.08958,0.05065,0.00105,0.02636,0.7
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.2641,0.34108,0.20532,0.76057,0.67853,0.08409,0.04724,0.00107,0.02652,0.725
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.27281,0.34986,0.21399,0.75085,0.67486,0.07702,0.04463,0.00103,0.02632,0.75
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.27784,0.35715,0.22195,0.75517,0.67767,0.08786,0.05002,0.00096,0.02639,0.675
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.366,0.47061,0.0729,0.70761,0.60005,0.06051,0.03142,0.00214,0.04392,0.675
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.24189,0.3179,0.16444,0.68946,0.59774,0.04703,0.03553,0.00104,0.04251,0.7
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.2771,0.35081,0.11165,0.69223,0.60053,0.05123,0.03772,0.0011,0.04405,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.26155,0.32706,0.14134,0.69692,0.59956,0.05218,0.0435,0.00094,0.04428,0.675
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.26033,0.32766,0.14291,0.76938,0.64382,0.10554,0.06528,0.00103,0.04473,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.28154,0.33029,0.15235,0.73448,0.62385,0.05895,0.05401,0.00141,0.04113,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.25118,0.32485,0.18036,0.72747,0.62238,0.0558,0.05323,0.00143,0.04146,0.675
