Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,50,3.91931,1.07691,0.28548,40.36106,1.68741,0.43783,0.21761,0.00664,0.02648,0.525
1,42,hsic,HSIC,0.0,1.0,100,4.7906,1.07248,0.39843,63.96063,2.10041,0.20666,0.20939,0.0075,0.13797,0.675
1,42,hsic,HSIC,0.0,1.0,300,2.67758,0.99921,0.12955,67.12199,2.2637,0.21622,0.23948,0.00439,0.1854,0.9
1,42,hsic,HSIC,0.0,1.0,500,2.4367,0.89643,0.16551,66.63864,2.34909,0.18065,0.18229,0.00479,0.15345,0.725
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,3.0194,0.84443,0.30992,21.43726,1.21193,0.25316,0.19311,0.00583,0.02741,0.5
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,3.61757,0.91081,0.33533,4.35586,0.73079,0.10619,0.09438,0.004,0.02605,0.55
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,3.57935,0.92208,0.35944,1.45329,0.62678,0.149,0.12318,0.00414,0.0259,0.525
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,3.58269,0.91136,0.35253,1.20434,0.5998,0.14834,0.10508,0.00495,0.02657,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,3.42681,0.90407,0.36357,8.33211,0.86125,0.14864,0.09532,0.00499,0.02648,0.5
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,2.96723,0.84731,0.36674,38.29873,1.80397,0.12944,0.09586,0.00424,0.02673,0.525
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,2.99147,0.85396,0.36736,23.6837,1.44021,0.1225,0.09647,0.00395,0.02511,0.525
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,2.98015,0.85507,0.38084,1.80977,0.62209,0.12115,0.0679,0.00453,0.02653,0.55
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,2.96907,0.85652,0.38171,2.23417,0.6534,0.0878,0.06743,0.00348,0.02604,0.575
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,4.37331,1.05174,0.39814,1.05331,0.64033,0.15303,0.1554,0.00588,0.03022,0.6
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,3.70498,1.01082,0.40039,1.46961,0.64848,0.14158,0.14217,0.00586,0.02779,0.6
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.30251,0.71723,0.33664,2.30623,0.66605,0.10933,0.11271,0.00545,0.02321,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.33582,0.70891,0.32604,2.07612,0.65862,0.12944,0.10947,0.00503,0.02358,0.625
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.31858,0.69532,0.3159,2.11847,0.65987,0.12971,0.11303,0.00524,0.02317,0.625
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.29111,0.69644,0.32125,2.06834,0.65622,0.12698,0.11224,0.0053,0.02277,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.26852,0.69851,0.32651,1.99061,0.65053,0.12603,0.11365,0.00532,0.02284,0.575
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.24845,0.70057,0.33121,1.8861,0.63876,0.12496,0.11675,0.00527,0.02297,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.22866,0.70399,0.33687,1.76177,0.63238,0.126,0.12312,0.00504,0.02307,0.575
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.9441,0.67713,0.23715,6.14525,0.70889,0.04134,0.03519,0.00275,0.03495,0.725
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.84959,0.66022,0.23414,5.45477,0.70346,0.04807,0.03993,0.00277,0.03343,0.675
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.83405,0.64948,0.23185,3.90677,0.66926,0.05773,0.04636,0.0028,0.03282,0.725
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.88209,0.64603,0.23032,3.85042,0.67857,0.06028,0.04806,0.00278,0.03261,0.725
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.87769,0.646,0.23299,3.65353,0.67132,0.05935,0.04992,0.00287,0.03227,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.85167,0.64353,0.23569,3.44944,0.66196,0.0565,0.05116,0.00294,0.03179,0.625
