Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,20,1.46824,0.1668,0.60484,0.01899,0.3324,0.01535,1.8791,1.67471,0.94211,0.16754,0.08327,0.05092,0.06886,0.02436,0.00219,0.00098,0.02702,0.04816,0.6875,0.07141
0.0,1.0,hsic,HSIC,20,1.43809,0.04043,0.62456,0.04348,0.33462,0.01556,6.18647,0.4423,1.38456,0.05541,0.08502,0.02857,0.09742,0.02076,0.00401,0.00024,0.04951,0.09572,0.6875,0.0559
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,20,1.46524,0.15638,0.6045,0.01823,0.33254,0.01518,1.9507,1.71096,0.95174,0.16855,0.08065,0.04996,0.06844,0.02461,0.0023,0.00094,0.03004,0.06036,0.69625,0.068
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,20,1.46887,0.18485,0.60664,0.02156,0.33411,0.01572,1.964,1.733,0.95447,0.16637,0.07737,0.0506,0.06789,0.02392,0.0024,0.0009,0.0316,0.06607,0.6875,0.06713
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,20,1.46534,0.18016,0.60674,0.01972,0.33435,0.01612,2.08638,1.8619,0.96928,0.17444,0.07329,0.03713,0.06827,0.02679,0.00253,0.00089,0.03576,0.08262,0.68125,0.06876
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,20,1.46482,0.17311,0.60522,0.01603,0.33321,0.01556,2.15423,1.86227,0.97717,0.17386,0.07119,0.03537,0.06851,0.0262,0.00258,0.00088,0.03527,0.08185,0.68625,0.06095
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,20,1.46284,0.15046,0.60534,0.01787,0.33294,0.0148,2.2464,1.83005,0.99653,0.17165,0.07171,0.03258,0.07019,0.02516,0.00272,0.00086,0.03647,0.08366,0.6825,0.0634
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,20,1.43033,0.05182,0.60388,0.01252,0.33247,0.01513,2.26858,1.84062,1.00639,0.17555,0.0718,0.03392,0.07213,0.02418,0.00276,0.00081,0.03659,0.08294,0.67625,0.06663
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,20,1.43301,0.0469,0.60324,0.01347,0.33178,0.01471,2.27782,1.8619,1.01563,0.16978,0.06978,0.03395,0.07508,0.02357,0.0029,0.00074,0.03815,0.08241,0.69,0.05982
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,20,1.4364,0.04202,0.60316,0.01462,0.33112,0.01462,3.05999,1.93606,1.10463,0.17513,0.08314,0.04679,0.0842,0.02891,0.00328,0.00068,0.03992,0.0819,0.695,0.06718
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,20,1.43784,0.0409,0.60621,0.01948,0.33107,0.01474,4.63781,1.73037,1.22799,0.16256,0.09558,0.0611,0.0951,0.02605,0.00367,0.00054,0.042,0.08056,0.6925,0.06021
