Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,100,2.00062,0.73333,0.30392,8.39849,1.31387,0.36157,0.11259,0.00686,0.03126,0.7
1,42,hsic,HSIC,0.0,1.0,300,1.7945,1.06042,0.18836,7.38714,1.27646,0.29844,0.09167,0.00454,0.07343,0.73333
1,42,hsic,HSIC,0.0,1.0,500,1.58853,0.99096,0.14441,5.77246,1.18167,0.06404,0.03288,0.00407,0.12251,0.77
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,2.07712,0.75076,0.31896,8.28753,1.30945,0.3616,0.11273,0.00629,0.03279,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,2.13826,0.74264,0.31172,8.27687,1.31097,0.3677,0.1154,0.00629,0.03289,0.7
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,2.095,0.73212,0.30994,7.64375,1.28604,0.38116,0.11787,0.00625,0.03294,0.7
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,2.36812,0.7574,0.30297,7.64299,1.28661,0.38068,0.11789,0.00616,0.03299,0.7
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,2.08999,0.72979,0.31706,7.63837,1.28609,0.37964,0.11806,0.00629,0.03305,0.75
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,2.23777,0.74545,0.32282,7.61797,1.28369,0.37907,0.11767,0.00632,0.03313,0.7
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.86026,0.70629,0.32909,7.60433,1.28191,0.37865,0.11763,0.00639,0.033,0.7
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,2.2346,0.75151,0.33705,7.58865,1.28076,0.37827,0.11735,0.00638,0.03317,0.7
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.98957,0.72772,0.33703,7.00688,1.25678,0.37949,0.11639,0.00635,0.03317,0.7
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.75903,0.51561,0.15242,1.39155,0.78098,0.05116,0.06339,0.00251,0.02037,0.61667
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.63276,0.47077,0.11231,1.49917,0.83992,0.06487,0.06883,0.00223,0.01813,0.66667
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.59443,0.45557,0.11665,1.5348,0.85014,0.06815,0.07405,0.00234,0.01789,0.56667
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.51021,0.4344,0.11137,1.6132,0.86159,0.05942,0.07837,0.00233,0.01661,0.61667
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.50528,0.43399,0.11594,1.60389,0.8552,0.06777,0.08602,0.00241,0.0165,0.55
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.50759,0.43697,0.11401,1.61526,0.85867,0.07103,0.08888,0.00246,0.01649,0.58333
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.50741,0.43815,0.11693,1.62058,0.86041,0.07531,0.0919,0.00247,0.01675,0.56667
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.50661,0.43888,0.12055,1.62225,0.85931,0.08027,0.09556,0.00248,0.01699,0.56667
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.50567,0.43969,0.12583,1.5705,0.84434,0.08342,0.09463,0.00213,0.01726,0.58333
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,0.48486,0.53619,0.03214,0.77186,0.62017,0.04017,0.01798,0.0015,0.02957,0.65
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.34244,0.39733,0.07389,0.78363,0.64912,0.05314,0.01375,0.00161,0.01956,0.64
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.34046,0.3978,0.0715,0.77899,0.64912,0.04943,0.01575,0.00168,0.01929,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.335,0.39387,0.07281,0.76341,0.64364,0.04791,0.01653,0.00162,0.01759,0.64
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.3224,0.38494,0.07006,0.75673,0.63758,0.04526,0.0199,0.0018,0.01666,0.68
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.32597,0.38498,0.06992,0.75306,0.63134,0.04228,0.02528,0.00206,0.01584,0.61
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.34899,0.4044,0.08404,0.75537,0.62533,0.03582,0.0349,0.00216,0.01758,0.64
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.32359,0.38544,0.07311,0.74514,0.6225,0.03478,0.03174,0.00226,0.01537,0.63
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.32324,0.38619,0.07704,0.73714,0.6171,0.02795,0.03422,0.00217,0.01506,0.63
1,42,mse,MSE,1.0,0.0,100,1.84367,0.70978,0.3384,6.84967,1.24933,0.379,0.11583,0.00632,0.03322,0.7
1,42,mse,MSE,1.0,0.0,300,0.4708,0.4323,0.12683,1.57232,0.84197,0.0855,0.09876,0.00188,0.01754,0.61667
1,42,mse,MSE,1.0,0.0,500,0.32315,0.38782,0.08293,0.72867,0.60845,0.01768,0.03974,0.00206,0.01521,0.62
2,43,hsic,HSIC,0.0,1.0,100,1.51225,0.81725,0.48908,3.94993,1.24617,0.52109,0.41121,0.00105,0.21552,0.8
2,43,hsic,HSIC,0.0,1.0,300,1.78152,0.83121,0.19214,5.76049,1.13231,0.0811,0.09986,0.00481,0.23817,0.83333
2,43,hsic,HSIC,0.0,1.0,500,1.36977,0.80627,0.15632,7.32426,1.12921,0.11668,0.04663,0.00436,0.19889,0.83
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.7216,0.6054,0.13218,2.27714,1.06857,0.51016,0.37532,0.00406,0.1538,0.7
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.61938,0.58331,0.21703,0.72559,0.67321,0.14827,0.08914,0.0024,0.07002,0.55
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.59587,0.55134,0.23176,0.77424,0.70156,0.16857,0.09764,0.00243,0.06863,0.55
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.37092,0.3936,0.16114,0.81261,0.72308,0.18543,0.10326,0.00266,0.07004,0.6
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.48098,0.45844,0.23404,0.84274,0.73548,0.19919,0.1076,0.00213,0.07349,0.5
