Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,1.01352,1.2124,0.49839,0.07502,0.1639,0.04109,2.66315,3.22763,0.80202,0.0666,0.12905,0.09736,0.06108,0.02807,0.00228,0.00066,0.05468,0.09156,0.64833,0.09921
0.0,1.0,hsic,HSIC,10,2.43638,1.40121,0.8817,0.19716,0.18313,0.05933,41.56524,73.01632,1.44826,0.38738,0.09585,0.07467,0.08809,0.01749,0.00484,0.00067,0.19137,0.1062,0.82833,0.0766
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,1.01595,1.21953,0.49866,0.0759,0.15811,0.03962,2.46091,3.58984,0.7748,0.07192,0.09835,0.07985,0.06013,0.02642,0.00232,0.00043,0.05103,0.09413,0.62833,0.11333
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,1.0327,1.22608,0.49606,0.07809,0.15284,0.03477,2.59679,4.16823,0.75361,0.08564,0.07247,0.06787,0.06251,0.02689,0.00209,0.00055,0.05175,0.09601,0.62166,0.10659
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,1.04586,1.24188,0.49884,0.07942,0.14485,0.03567,2.6371,4.15124,0.76369,0.07746,0.07174,0.06437,0.06285,0.0266,0.0023,0.00045,0.05045,0.09631,0.64,0.1022
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,1.02265,1.13185,0.50049,0.0781,0.14084,0.03437,2.7237,4.41764,0.76694,0.07703,0.07042,0.06376,0.06224,0.02626,0.0023,0.00043,0.0506,0.09695,0.63667,0.10025
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,0.96136,0.94337,0.50376,0.08107,0.13372,0.03623,2.68436,4.30969,0.75892,0.08375,0.06256,0.0582,0.06239,0.02736,0.002,0.0004,0.0523,0.09629,0.63167,0.11068
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,0.80524,0.43423,0.4986,0.06516,0.13589,0.0383,2.7821,4.41291,0.76224,0.07529,0.05404,0.03991,0.05926,0.02548,0.00222,0.0006,0.05331,0.10018,0.66333,0.10937
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,0.87222,0.41418,0.51841,0.0655,0.1379,0.04332,3.93711,5.47391,0.7801,0.09873,0.05233,0.03392,0.06174,0.02467,0.00201,0.00053,0.05589,0.09912,0.655,0.11441
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.35611,1.6094,0.56239,0.1409,0.14345,0.05551,2.82449,4.09221,0.76927,0.0626,0.06175,0.0394,0.06251,0.02244,0.00211,0.00033,0.05773,0.10613,0.66667,0.1144
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.57469,1.58296,0.61146,0.14336,0.15771,0.05324,2.86701,4.07324,0.79551,0.10377,0.04882,0.02857,0.06033,0.02638,0.00243,0.00104,0.06917,0.10071,0.685,0.1104
