Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,0.50269,0.12379,0.49881,0.07243,0.1294,0.03575,0.95336,0.27982,0.73679,0.10425,0.07607,0.07657,0.04915,0.0157,0.00156,0.00048,0.04071,0.07455,0.60333,0.10767
0.0,1.0,hsic,HSIC,10,1.24692,0.24437,0.84111,0.09997,0.13417,0.07326,3.14122,0.82155,1.11993,0.1285,0.12578,0.10129,0.08051,0.03745,0.00346,0.00076,0.07131,0.10672,0.68333,0.12497
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,0.50536,0.13002,0.49717,0.0708,0.12914,0.03324,0.96076,0.29827,0.73378,0.10326,0.07207,0.07426,0.04952,0.0154,0.0016,0.00046,0.04014,0.07449,0.615,0.10347
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,0.49788,0.12154,0.49372,0.06708,0.12586,0.03135,0.97951,0.37679,0.73148,0.09804,0.06548,0.0752,0.04882,0.0154,0.00159,0.00053,0.03955,0.07487,0.6,0.10715
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,0.50221,0.13365,0.49528,0.07229,0.12393,0.03356,1.01911,0.4664,0.7338,0.09853,0.06499,0.07564,0.0485,0.01508,0.00159,0.00049,0.03962,0.07563,0.605,0.10831
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,0.50705,0.1357,0.49854,0.07384,0.12482,0.03497,1.01438,0.56395,0.71686,0.05682,0.04278,0.03485,0.04854,0.0154,0.00184,0.00057,0.01858,0.01199,0.59,0.06045
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,0.50862,0.13522,0.49953,0.07276,0.12499,0.03561,0.97826,0.49252,0.71548,0.06136,0.03949,0.03789,0.04634,0.01602,0.00183,0.00057,0.01904,0.01395,0.575,0.05458
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,0.49198,0.13348,0.49368,0.07291,0.12397,0.03522,0.8223,0.14081,0.70513,0.05514,0.0423,0.03662,0.04722,0.01429,0.00188,0.00053,0.02208,0.02282,0.59833,0.07347
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,0.50657,0.12879,0.49794,0.07001,0.12192,0.03252,0.82716,0.13489,0.70953,0.05249,0.03697,0.03707,0.0471,0.01521,0.00198,0.00053,0.02475,0.03183,0.60667,0.07036
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,0.51096,0.12115,0.51055,0.06128,0.11414,0.03986,0.85548,0.12449,0.7149,0.05198,0.03437,0.03681,0.05043,0.01542,0.00211,0.00039,0.02667,0.03816,0.585,0.06452
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,0.56788,0.13356,0.53819,0.07536,0.11568,0.04422,1.09864,0.62755,0.75115,0.05939,0.03547,0.03675,0.04857,0.01833,0.00223,0.0004,0.02781,0.03642,0.60333,0.08985
