Dataset,Experiment,Seed,Loss,Conf,Alpha,Beta,N,Do,RF Acc,MMD,MAE x3
3-chain-linear,1,42,mse,MSE,1.0,0.0,50,x2=0.0,0.6,0.02562,0.83093
3-chain-linear,2,43,mse,MSE,1.0,0.0,50,x2=0.0,0.55,0.01756,0.83318
3-chain-linear,3,44,mse,MSE,1.0,0.0,50,x2=0.0,0.525,0.01034,0.83322
3-chain-linear,4,45,mse,MSE,1.0,0.0,50,x2=0.0,0.625,0.02805,0.83063
3-chain-linear,5,46,mse,MSE,1.0,0.0,50,x2=0.0,0.65,0.01889,0.83267
3-chain-linear,6,47,mse,MSE,1.0,0.0,50,x2=0.0,0.525,0.01888,0.83325
3-chain-linear,7,48,mse,MSE,1.0,0.0,50,x2=0.0,0.575,0.01552,0.83266
3-chain-linear,8,49,mse,MSE,1.0,0.0,50,x2=0.0,0.575,0.01401,0.83313
3-chain-linear,9,50,mse,MSE,1.0,0.0,50,x2=0.0,0.6,0.01497,0.8342
3-chain-linear,10,51,mse,MSE,1.0,0.0,50,x2=0.0,0.675,0.06913,0.89742
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.6,0.02009,0.83034
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.55,0.01755,0.83321
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.55,0.01034,0.83323
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.625,0.02624,0.83009
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.65,0.01889,0.83268
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.525,0.0195,0.83321
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,x2=0.0,0.525,0.01683,0.83978
