Dataset,Experiment,Seed,N,Do,MMD,RF Acc
3-chain-linear,1,42,50,x2=0.0,0.01001,0.6
3-chain-linear,2,43,50,x2=0.0,0.00683,0.625
3-chain-linear,3,44,50,x2=0.0,0.03845,0.575
3-chain-linear,4,45,50,x2=0.0,0.01634,0.575
3-chain-linear,5,46,50,x2=0.0,0.03317,0.625
3-chain-linear,6,47,50,x2=0.0,0.0125,0.725
3-chain-linear,7,48,50,x2=0.0,0.02642,0.775
3-chain-linear,8,49,50,x2=0.0,0.04806,0.775
3-chain-linear,9,50,50,x2=0.0,0.02958,0.7
3-chain-linear,10,51,50,x2=0.0,0.04261,0.675
3-chain-linear,1,42,100,x2=0.0,0.04968,0.725
3-chain-linear,2,43,100,x2=0.0,0.02844,0.625
3-chain-linear,3,44,100,x2=0.0,0.01274,0.6
3-chain-linear,4,45,100,x2=0.0,0.01809,0.55
3-chain-linear,5,46,100,x2=0.0,0.02353,0.525
3-chain-linear,6,47,100,x2=0.0,0.0107,0.7
3-chain-linear,7,48,100,x2=0.0,0.01264,0.575
3-chain-linear,8,49,100,x2=0.0,0.01494,0.575
3-chain-linear,9,50,100,x2=0.0,0.0228,0.525
3-chain-linear,10,51,100,x2=0.0,0.02156,0.775
3-chain-non-linear,1,42,50,x2=0.0,0.01161,0.975
3-chain-non-linear,2,43,50,x2=0.0,0.01674,1.0
3-chain-non-linear,3,44,50,x2=0.0,0.01745,1.0
3-chain-non-linear,4,45,50,x2=0.0,0.017,1.0
3-chain-non-linear,5,46,50,x2=0.0,0.04508,0.975
3-chain-non-linear,6,47,50,x2=0.0,0.01743,0.975
3-chain-non-linear,7,48,50,x2=0.0,0.01887,1.0
3-chain-non-linear,8,49,50,x2=0.0,0.0653,1.0
3-chain-non-linear,9,50,50,x2=0.0,0.01962,1.0
3-chain-non-linear,10,51,50,x2=0.0,0.02372,1.0
3-chain-non-linear,1,42,100,x2=0.0,0.03727,1.0
3-chain-non-linear,2,43,100,x2=0.0,0.0192,1.0
3-chain-non-linear,3,44,100,x2=0.0,0.03358,0.975
3-chain-non-linear,4,45,100,x2=0.0,0.00747,0.975
3-chain-non-linear,5,46,100,x2=0.0,0.04077,0.975
3-chain-non-linear,6,47,100,x2=0.0,0.0251,0.975
3-chain-non-linear,7,48,100,x2=0.0,0.01044,0.975
3-chain-non-linear,8,49,100,x2=0.0,0.02951,1.0
3-chain-non-linear,9,50,100,x2=0.0,0.01797,1.0
3-chain-non-linear,10,51,100,x2=0.0,0.02801,0.975
4-chain-linear,1,42,50,x2=0.0,0.05158,0.975
4-chain-linear,2,43,50,x2=0.0,0.07516,0.95
4-chain-linear,3,44,50,x2=0.0,0.07129,1.0
4-chain-linear,4,45,50,x2=0.0,0.06046,0.975
4-chain-linear,5,46,50,x2=0.0,0.029,1.0
4-chain-linear,6,47,50,x2=0.0,0.03428,1.0
4-chain-linear,7,48,50,x2=0.0,0.05764,1.0
4-chain-linear,8,49,50,x2=0.0,0.06923,1.0
4-chain-linear,9,50,50,x2=0.0,0.05512,1.0
4-chain-linear,10,51,50,x2=0.0,0.06676,1.0
4-chain-linear,1,42,100,x2=0.0,0.08319,1.0
4-chain-linear,2,43,100,x2=0.0,0.0534,0.975
4-chain-linear,3,44,100,x2=0.0,0.03929,1.0
4-chain-linear,4,45,100,x2=0.0,0.07902,1.0
4-chain-linear,5,46,100,x2=0.0,0.03373,1.0
4-chain-linear,6,47,100,x2=0.0,0.04677,1.0
4-chain-linear,7,48,100,x2=0.0,0.04166,1.0
4-chain-linear,8,49,100,x2=0.0,0.06152,0.95
4-chain-linear,9,50,100,x2=0.0,0.04755,0.975
4-chain-linear,10,51,100,x2=0.0,0.10879,1.0
5-chain-linear,1,42,50,x2=0.0,0.02819,0.6
5-chain-linear,2,43,50,x2=0.0,0.01924,0.6
5-chain-linear,3,44,50,x2=0.0,0.00716,0.625
5-chain-linear,4,45,50,x2=0.0,0.03817,0.7
5-chain-linear,5,46,50,x2=0.0,0.01755,0.6
5-chain-linear,6,47,50,x2=0.0,0.01379,0.5
5-chain-linear,7,48,50,x2=0.0,0.03416,0.775
5-chain-linear,8,49,50,x2=0.0,0.03214,0.775
5-chain-linear,9,50,50,x2=0.0,0.02765,0.65
5-chain-linear,10,51,50,x2=0.0,0.01858,0.7
5-chain-linear,1,42,100,x2=0.0,0.01542,0.575
5-chain-linear,2,43,100,x2=0.0,0.01881,0.65
5-chain-linear,3,44,100,x2=0.0,0.02079,0.675
5-chain-linear,4,45,100,x2=0.0,0.01471,0.55
5-chain-linear,5,46,100,x2=0.0,0.01847,0.575
5-chain-linear,6,47,100,x2=0.0,0.01336,0.65
5-chain-linear,7,48,100,x2=0.0,0.01969,0.7
5-chain-linear,8,49,100,x2=0.0,0.02438,0.55
