Dataset,Experiment,Seed,N,Do,MMD,RF Acc
3-chain-linear,1,42,50,x2=0.0,0.03522,0.7
3-chain-linear,2,43,50,x2=0.0,0.01042,0.55
3-chain-linear,3,44,50,x2=0.0,0.02234,0.625
3-chain-linear,4,45,50,x2=0.0,0.0245,0.65
3-chain-linear,5,46,50,x2=0.0,0.0874,0.625
3-chain-linear,6,47,50,x2=0.0,0.02969,0.775
3-chain-linear,7,48,50,x2=0.0,0.04001,0.775
3-chain-linear,8,49,50,x2=0.0,0.02071,0.65
3-chain-linear,9,50,50,x2=0.0,0.05155,0.65
3-chain-linear,10,51,50,x2=0.0,0.04221,0.675
3-chain-linear,1,42,100,x2=0.0,0.01903,0.625
3-chain-linear,2,43,100,x2=0.0,0.01201,0.675
3-chain-linear,3,44,100,x2=0.0,0.006,0.575
3-chain-linear,4,45,100,x2=0.0,0.01657,0.675
3-chain-linear,5,46,100,x2=0.0,0.01938,0.55
3-chain-linear,6,47,100,x2=0.0,0.01731,0.525
3-chain-linear,7,48,100,x2=0.0,0.02316,0.6
3-chain-linear,8,49,100,x2=0.0,0.00816,0.55
3-chain-linear,9,50,100,x2=0.0,0.02112,0.55
3-chain-linear,10,51,100,x2=0.0,0.00723,0.575
3-chain-non-linear,1,42,50,x2=0.0,0.03592,1.0
3-chain-non-linear,2,43,50,x2=0.0,0.02535,1.0
3-chain-non-linear,3,44,50,x2=0.0,0.00641,1.0
3-chain-non-linear,4,45,50,x2=0.0,0.05055,1.0
3-chain-non-linear,5,46,50,x2=0.0,0.05411,1.0
3-chain-non-linear,6,47,50,x2=0.0,0.04532,1.0
3-chain-non-linear,7,48,50,x2=0.0,0.01899,0.975
3-chain-non-linear,8,49,50,x2=0.0,0.04724,0.975
3-chain-non-linear,9,50,50,x2=0.0,0.04425,0.95
3-chain-non-linear,10,51,50,x2=0.0,0.03281,1.0
3-chain-non-linear,1,42,100,x2=0.0,0.03676,1.0
3-chain-non-linear,2,43,100,x2=0.0,0.02695,1.0
3-chain-non-linear,3,44,100,x2=0.0,0.00932,0.95
3-chain-non-linear,4,45,100,x2=0.0,0.02902,1.0
3-chain-non-linear,5,46,100,x2=0.0,0.06934,1.0
3-chain-non-linear,6,47,100,x2=0.0,0.0716,1.0
3-chain-non-linear,7,48,100,x2=0.0,0.01631,1.0
3-chain-non-linear,8,49,100,x2=0.0,0.05632,1.0
3-chain-non-linear,9,50,100,x2=0.0,0.048,1.0
3-chain-non-linear,10,51,100,x2=0.0,0.02569,0.975
4-chain-linear,1,42,50,x2=0.0,0.12251,1.0
4-chain-linear,2,43,50,x2=0.0,0.07527,0.95
4-chain-linear,3,44,50,x2=0.0,0.0317,1.0
4-chain-linear,4,45,50,x2=0.0,0.06689,0.975
4-chain-linear,5,46,50,x2=0.0,0.04202,0.975
4-chain-linear,6,47,50,x2=0.0,0.06465,0.975
4-chain-linear,7,48,50,x2=0.0,0.05222,1.0
4-chain-linear,8,49,50,x2=0.0,0.05803,1.0
4-chain-linear,9,50,50,x2=0.0,0.05318,0.975
4-chain-linear,10,51,50,x2=0.0,0.05393,1.0
4-chain-linear,1,42,100,x2=0.0,0.05228,0.975
4-chain-linear,2,43,100,x2=0.0,0.02914,1.0
4-chain-linear,3,44,100,x2=0.0,0.04368,0.975
4-chain-linear,4,45,100,x2=0.0,0.13968,0.975
4-chain-linear,5,46,100,x2=0.0,0.03607,1.0
4-chain-linear,6,47,100,x2=0.0,0.04655,0.975
4-chain-linear,7,48,100,x2=0.0,0.04682,1.0
4-chain-linear,8,49,100,x2=0.0,0.04239,0.975
4-chain-linear,9,50,100,x2=0.0,0.03514,1.0
4-chain-linear,10,51,100,x2=0.0,0.0955,1.0
5-chain-linear,1,42,50,x2=0.0,0.02823,0.725
5-chain-linear,2,43,50,x2=0.0,0.02348,0.575
5-chain-linear,3,44,50,x2=0.0,0.04182,0.6
5-chain-linear,4,45,50,x2=0.0,0.03151,0.65
5-chain-linear,5,46,50,x2=0.0,0.02699,0.6
5-chain-linear,6,47,50,x2=0.0,0.03947,0.675
5-chain-linear,7,48,50,x2=0.0,0.03358,0.75
5-chain-linear,8,49,50,x2=0.0,0.02452,0.725
5-chain-linear,9,50,50,x2=0.0,0.05227,0.725
5-chain-linear,10,51,50,x2=0.0,0.04477,0.675
5-chain-linear,1,42,100,x2=0.0,0.01332,0.6
5-chain-linear,2,43,100,x2=0.0,0.01255,0.5
5-chain-linear,3,44,100,x2=0.0,0.01027,0.55
5-chain-linear,4,45,100,x2=0.0,0.04925,0.55
5-chain-linear,5,46,100,x2=0.0,0.0321,0.725
5-chain-linear,6,47,100,x2=0.0,0.00855,0.5
5-chain-linear,7,48,100,x2=0.0,0.03116,0.675
5-chain-linear,8,49,100,x2=0.0,0.02447,0.55
5-chain-linear,9,50,100,x2=0.0,0.00665,0.55
5-chain-linear,10,51,100,x2=0.0,0.04363,0.65
collider-linear,1,42,50,x2=0.0,0.01424,0.7
collider-linear,2,43,50,x2=0.0,0.01813,0.65
collider-linear,3,44,50,x2=0.0,0.00497,0.625
collider-linear,4,45,50,x2=0.0,0.02703,0.8
collider-linear,5,46,50,x2=0.0,0.04313,0.7
collider-linear,6,47,50,x2=0.0,0.03586,0.775
collider-linear,7,48,50,x2=0.0,0.02003,0.7
collider-linear,8,49,50,x2=0.0,0.03398,0.6
collider-linear,9,50,50,x2=0.0,0.03418,0.625
collider-linear,10,51,50,x2=0.0,0.02961,0.8
collider-linear,1,42,100,x2=0.0,0.02495,0.575
collider-linear,2,43,100,x2=0.0,0.04719,0.825
collider-linear,3,44,100,x2=0.0,0.02356,0.55
collider-linear,4,45,100,x2=0.0,0.03544,0.8
collider-linear,5,46,100,x2=0.0,0.01478,0.525
collider-linear,6,47,100,x2=0.0,0.037,0.65
collider-linear,7,48,100,x2=0.0,0.01163,0.7
collider-linear,8,49,100,x2=0.0,0.02628,0.675
collider-linear,9,50,100,x2=0.0,0.03053,0.7
collider-linear,10,51,100,x2=0.0,0.01434,0.725
fork-linear,1,42,50,x2=0.0,0.02624,0.75
fork-linear,2,43,50,x2=0.0,0.0078,0.65
fork-linear,3,44,50,x2=0.0,0.00731,0.6
fork-linear,4,45,50,x2=0.0,0.04405,0.675
fork-linear,5,46,50,x2=0.0,0.01402,0.625
fork-linear,6,47,50,x2=0.0,0.05043,0.7
fork-linear,7,48,50,x2=0.0,0.02926,0.775
fork-linear,8,49,50,x2=0.0,0.03048,0.65
fork-linear,9,50,50,x2=0.0,0.06584,0.725
fork-linear,10,51,50,x2=0.0,0.02062,0.75
fork-linear,1,42,100,x2=0.0,0.02273,0.65
fork-linear,2,43,100,x2=0.0,0.01187,0.7
fork-linear,3,44,100,x2=0.0,0.02159,0.7
fork-linear,4,45,100,x2=0.0,0.01891,0.65
fork-linear,5,46,100,x2=0.0,0.01047,0.5
fork-linear,6,47,100,x2=0.0,0.02689,0.775
fork-linear,7,48,100,x2=0.0,0.03226,0.675
fork-linear,8,49,100,x2=0.0,0.00612,0.75
fork-linear,9,50,100,x2=0.0,0.02245,0.625
fork-linear,10,51,100,x2=0.0,0.04026,0.6
fork-non-linear,1,42,50,x2=0.0,0.0417,0.775
fork-non-linear,2,43,50,x2=0.0,0.02254,0.775
fork-non-linear,3,44,50,x2=0.0,0.0499,0.825
fork-non-linear,4,45,50,x2=0.0,0.0959,0.85
fork-non-linear,5,46,50,x2=0.0,0.04042,0.65
fork-non-linear,6,47,50,x2=0.0,0.14439,0.875
fork-non-linear,7,48,50,x2=0.0,0.02632,0.75
fork-non-linear,8,49,50,x2=0.0,0.10702,0.975
fork-non-linear,9,50,50,x2=0.0,0.07059,0.875
fork-non-linear,10,51,50,x2=0.0,0.04459,0.8
fork-non-linear,1,42,100,x2=0.0,0.03634,0.625
fork-non-linear,2,43,100,x2=0.0,0.05791,0.775
fork-non-linear,3,44,100,x2=0.0,0.04416,0.775
fork-non-linear,4,45,100,x2=0.0,0.05774,0.775
fork-non-linear,5,46,100,x2=0.0,0.05355,0.7
fork-non-linear,6,47,100,x2=0.0,0.05375,0.725
fork-non-linear,7,48,100,x2=0.0,0.09769,0.825
fork-non-linear,8,49,100,x2=0.0,0.10357,0.9
fork-non-linear,9,50,100,x2=0.0,0.07456,0.8
fork-non-linear,10,51,100,x2=0.0,0.04414,0.7
simpson-non-linear,1,42,50,x2=0.0,0.01837,0.7
simpson-non-linear,2,43,50,x2=0.0,0.01198,0.65
simpson-non-linear,3,44,50,x2=0.0,0.01559,0.55
simpson-non-linear,4,45,50,x2=0.0,0.02242,0.725
simpson-non-linear,5,46,50,x2=0.0,0.02554,0.675
simpson-non-linear,6,47,50,x2=0.0,0.03381,0.65
simpson-non-linear,7,48,50,x2=0.0,0.05151,0.775
simpson-non-linear,8,49,50,x2=0.0,0.0696,0.775
simpson-non-linear,9,50,50,x2=0.0,0.03452,0.75
simpson-non-linear,10,51,50,x2=0.0,0.02376,0.75
simpson-non-linear,1,42,100,x2=0.0,0.04588,0.625
simpson-non-linear,2,43,100,x2=0.0,0.02728,0.675
simpson-non-linear,3,44,100,x2=0.0,0.02815,0.75
simpson-non-linear,4,45,100,x2=0.0,0.02714,0.625
simpson-non-linear,5,46,100,x2=0.0,0.01432,0.65
simpson-non-linear,6,47,100,x2=0.0,0.03169,0.725
simpson-non-linear,7,48,100,x2=0.0,0.02253,0.725
simpson-non-linear,8,49,100,x2=0.0,0.02664,0.825
simpson-non-linear,9,50,100,x2=0.0,0.03154,0.75
simpson-non-linear,10,51,100,x2=0.0,0.05242,0.7
simpson-symprod,1,42,50,x2=0.0,0.01885,0.75
simpson-symprod,2,43,50,x2=0.0,0.01289,0.6
simpson-symprod,3,44,50,x2=0.0,0.02112,0.55
simpson-symprod,4,45,50,x2=0.0,0.06018,0.6
simpson-symprod,5,46,50,x2=0.0,0.02535,0.725
simpson-symprod,6,47,50,x2=0.0,0.05612,0.775
simpson-symprod,7,48,50,x2=0.0,0.13635,0.85
simpson-symprod,8,49,50,x2=0.0,0.07604,0.7
simpson-symprod,9,50,50,x2=0.0,0.01984,0.75
simpson-symprod,10,51,50,x2=0.0,0.05264,0.775
simpson-symprod,1,42,100,x2=0.0,0.02898,0.575
