Dataset,Experiment,Seed,N,Do,MMD,RF Acc
3-chain-linear,1,42,50,x2=0.0,0.02601,0.825
3-chain-linear,2,43,50,x2=0.0,0.02516,0.825
3-chain-linear,3,44,50,x2=0.0,0.01046,0.725
3-chain-linear,4,45,50,x2=0.0,0.01373,0.675
3-chain-linear,5,46,50,x2=0.0,0.0234,0.675
3-chain-linear,6,47,50,x2=0.0,0.0098,0.7
3-chain-linear,7,48,50,x2=0.0,0.0107,0.825
3-chain-linear,8,49,50,x2=0.0,0.01893,0.825
3-chain-linear,9,50,50,x2=0.0,0.02484,0.675
3-chain-linear,10,51,50,x2=0.0,0.01009,0.725
3-chain-linear,1,42,100,x2=0.0,0.02025,0.825
3-chain-linear,2,43,100,x2=0.0,0.01229,0.8
3-chain-linear,3,44,100,x2=0.0,0.01014,0.725
3-chain-linear,4,45,100,x2=0.0,0.02128,0.675
3-chain-linear,5,46,100,x2=0.0,0.01163,0.725
3-chain-linear,6,47,100,x2=0.0,0.01153,0.775
3-chain-linear,7,48,100,x2=0.0,0.03526,0.75
3-chain-linear,8,49,100,x2=0.0,0.02274,0.65
3-chain-linear,9,50,100,x2=0.0,0.02402,0.7
3-chain-linear,10,51,100,x2=0.0,0.01936,0.8
3-chain-non-linear,1,42,50,x2=0.0,0.01508,0.7
3-chain-non-linear,2,43,50,x2=0.0,0.00983,0.7
3-chain-non-linear,3,44,50,x2=0.0,0.01359,0.675
3-chain-non-linear,4,45,50,x2=0.0,0.03094,0.6
3-chain-non-linear,5,46,50,x2=0.0,0.00881,0.7
3-chain-non-linear,6,47,50,x2=0.0,0.01645,0.675
3-chain-non-linear,7,48,50,x2=0.0,0.00805,0.725
3-chain-non-linear,8,49,50,x2=0.0,0.01416,0.775
3-chain-non-linear,9,50,50,x2=0.0,0.02108,0.65
3-chain-non-linear,10,51,50,x2=0.0,0.00673,0.65
3-chain-non-linear,1,42,100,x2=0.0,0.00989,0.7
3-chain-non-linear,2,43,100,x2=0.0,0.00615,0.7
3-chain-non-linear,3,44,100,x2=0.0,0.02008,0.65
3-chain-non-linear,4,45,100,x2=0.0,0.00914,0.65
3-chain-non-linear,5,46,100,x2=0.0,0.00939,0.55
3-chain-non-linear,6,47,100,x2=0.0,0.01759,0.65
3-chain-non-linear,7,48,100,x2=0.0,0.00625,0.525
3-chain-non-linear,8,49,100,x2=0.0,0.03096,0.675
3-chain-non-linear,9,50,100,x2=0.0,0.02208,0.575
3-chain-non-linear,10,51,100,x2=0.0,0.01311,0.6
4-chain-linear,1,42,50,x2=0.0,0.01289,0.625
4-chain-linear,2,43,50,x2=0.0,0.02668,0.675
4-chain-linear,3,44,50,x2=0.0,0.02137,0.65
4-chain-linear,4,45,50,x2=0.0,0.0128,0.625
4-chain-linear,5,46,50,x2=0.0,0.01772,0.6
