Dataset,Experiment,Seed,N,Do,MMD,RF Acc
3-chain-linear,1,42,50,x2=0.0,0.05992,0.775
3-chain-linear,2,43,50,x2=0.0,0.01168,0.65
3-chain-linear,3,44,50,x2=0.0,0.01655,0.675
3-chain-linear,4,45,50,x2=0.0,0.01951,0.55
3-chain-linear,5,46,50,x2=0.0,0.02427,0.775
3-chain-linear,6,47,50,x2=0.0,0.0136,0.775
3-chain-linear,7,48,50,x2=0.0,0.02309,0.775
3-chain-linear,8,49,50,x2=0.0,0.03151,0.775
3-chain-linear,9,50,50,x2=0.0,0.03814,0.675
3-chain-linear,10,51,50,x2=0.0,0.02488,0.775
3-chain-linear,1,42,100,x2=0.0,0.01935,0.8
3-chain-linear,2,43,100,x2=0.0,0.01088,0.75
3-chain-linear,3,44,100,x2=0.0,0.02268,0.675
3-chain-linear,4,45,100,x2=0.0,0.04086,0.775
3-chain-linear,5,46,100,x2=0.0,0.00645,0.85
3-chain-linear,6,47,100,x2=0.0,0.04206,0.65
3-chain-linear,7,48,100,x2=0.0,0.01192,0.775
3-chain-linear,8,49,100,x2=0.0,0.01811,0.75
3-chain-linear,9,50,100,x2=0.0,0.01325,0.7
3-chain-linear,10,51,100,x2=0.0,0.01261,0.675
3-chain-non-linear,1,42,50,x2=0.0,0.02876,0.95
3-chain-non-linear,2,43,50,x2=0.0,0.01761,1.0
3-chain-non-linear,3,44,50,x2=0.0,0.08022,0.875
3-chain-non-linear,4,45,50,x2=0.0,0.01964,1.0
3-chain-non-linear,5,46,50,x2=0.0,0.02285,0.975
3-chain-non-linear,6,47,50,x2=0.0,0.02872,1.0
3-chain-non-linear,7,48,50,x2=0.0,0.01993,1.0
3-chain-non-linear,8,49,50,x2=0.0,0.07234,0.95
3-chain-non-linear,9,50,50,x2=0.0,0.03943,0.975
3-chain-non-linear,10,51,50,x2=0.0,0.0225,1.0
3-chain-non-linear,1,42,100,x2=0.0,0.02062,0.975
3-chain-non-linear,2,43,100,x2=0.0,0.02783,0.975
3-chain-non-linear,3,44,100,x2=0.0,0.01223,1.0
3-chain-non-linear,4,45,100,x2=0.0,0.02802,0.95
3-chain-non-linear,5,46,100,x2=0.0,0.02031,0.975
3-chain-non-linear,6,47,100,x2=0.0,0.03589,1.0
3-chain-non-linear,7,48,100,x2=0.0,0.02998,1.0
3-chain-non-linear,8,49,100,x2=0.0,0.05354,0.975
3-chain-non-linear,9,50,100,x2=0.0,0.02466,0.975
3-chain-non-linear,10,51,100,x2=0.0,0.02443,1.0
4-chain-linear,1,42,50,x2=0.0,0.07499,0.975
4-chain-linear,2,43,50,x2=0.0,0.08031,0.975
4-chain-linear,3,44,50,x2=0.0,0.076,1.0
4-chain-linear,4,45,50,x2=0.0,0.07812,1.0
4-chain-linear,5,46,50,x2=0.0,0.04789,0.95
4-chain-linear,6,47,50,x2=0.0,0.05471,0.95
4-chain-linear,7,48,50,x2=0.0,0.0731,1.0
4-chain-linear,8,49,50,x2=0.0,0.09925,1.0
4-chain-linear,9,50,50,x2=0.0,0.0329,1.0
4-chain-linear,10,51,50,x2=0.0,0.0579,1.0
4-chain-linear,1,42,100,x2=0.0,0.04204,1.0
4-chain-linear,2,43,100,x2=0.0,0.05444,1.0
4-chain-linear,3,44,100,x2=0.0,0.03279,1.0
4-chain-linear,4,45,100,x2=0.0,0.03639,0.975
4-chain-linear,5,46,100,x2=0.0,0.04883,1.0
4-chain-linear,6,47,100,x2=0.0,0.06762,0.975
4-chain-linear,7,48,100,x2=0.0,0.05236,1.0
4-chain-linear,8,49,100,x2=0.0,0.04881,0.975
4-chain-linear,9,50,100,x2=0.0,0.06225,1.0
4-chain-linear,10,51,100,x2=0.0,0.04324,0.95
5-chain-linear,1,42,50,x2=0.0,0.02744,0.625
5-chain-linear,2,43,50,x2=0.0,0.01712,0.725
5-chain-linear,3,44,50,x2=0.0,0.01762,0.7
5-chain-linear,4,45,50,x2=0.0,0.01222,0.525
5-chain-linear,5,46,50,x2=0.0,0.04173,0.675
5-chain-linear,6,47,50,x2=0.0,0.01492,0.775
5-chain-linear,7,48,50,x2=0.0,0.04268,0.65
5-chain-linear,8,49,50,x2=0.0,0.04877,0.775
5-chain-linear,9,50,50,x2=0.0,0.0487,0.825
5-chain-linear,10,51,50,x2=0.0,0.01607,0.75
5-chain-linear,1,42,100,x2=0.0,0.0112,0.7
5-chain-linear,2,43,100,x2=0.0,0.00994,0.625
5-chain-linear,3,44,100,x2=0.0,0.00729,0.625
5-chain-linear,4,45,100,x2=0.0,0.04579,0.625
5-chain-linear,5,46,100,x2=0.0,0.00884,0.575
5-chain-linear,6,47,100,x2=0.0,0.01441,0.7
5-chain-linear,7,48,100,x2=0.0,0.02443,0.625
5-chain-linear,8,49,100,x2=0.0,0.02671,0.725
5-chain-linear,9,50,100,x2=0.0,0.01322,0.6
5-chain-linear,10,51,100,x2=0.0,0.01566,0.725
collider-linear,1,42,50,x2=0.0,0.02918,1.0
collider-linear,2,43,50,x2=0.0,0.0329,0.725
collider-linear,3,44,50,x2=0.0,0.04943,0.7
collider-linear,4,45,50,x2=0.0,0.03502,0.825
collider-linear,5,46,50,x2=0.0,0.01993,0.6
collider-linear,6,47,50,x2=0.0,0.04575,0.675
collider-linear,7,48,50,x2=0.0,0.03031,0.825
collider-linear,8,49,50,x2=0.0,0.05847,0.825
collider-linear,9,50,50,x2=0.0,0.03798,0.825
collider-linear,10,51,50,x2=0.0,0.04698,0.65
collider-linear,1,42,100,x2=0.0,0.03548,0.625
collider-linear,2,43,100,x2=0.0,0.04131,0.625
collider-linear,3,44,100,x2=0.0,0.0183,0.65
collider-linear,4,45,100,x2=0.0,0.05208,0.825
collider-linear,5,46,100,x2=0.0,0.02012,0.55
collider-linear,6,47,100,x2=0.0,0.0393,0.625
collider-linear,7,48,100,x2=0.0,0.03678,0.8
collider-linear,8,49,100,x2=0.0,0.05847,0.725
collider-linear,9,50,100,x2=0.0,0.03721,0.775
collider-linear,10,51,100,x2=0.0,0.0419,0.7
fork-linear,1,42,50,x2=0.0,0.03858,1.0
fork-linear,2,43,50,x2=0.0,0.03815,0.6
fork-linear,3,44,50,x2=0.0,0.06003,0.65
fork-linear,4,45,50,x2=0.0,0.06793,0.775
fork-linear,5,46,50,x2=0.0,0.04223,0.65
fork-linear,6,47,50,x2=0.0,0.05734,0.725
fork-linear,7,48,50,x2=0.0,0.06374,0.575
fork-linear,8,49,50,x2=0.0,0.05655,0.65
fork-linear,9,50,50,x2=0.0,0.05844,0.7
fork-linear,10,51,50,x2=0.0,0.02883,0.625
fork-linear,1,42,100,x2=0.0,0.02094,0.625
fork-linear,2,43,100,x2=0.0,0.01837,0.5
fork-linear,3,44,100,x2=0.0,0.01985,0.525
fork-linear,4,45,100,x2=0.0,0.02453,0.6
fork-linear,5,46,100,x2=0.0,0.02857,0.6
fork-linear,6,47,100,x2=0.0,0.03931,0.575
fork-linear,7,48,100,x2=0.0,0.05525,0.725
fork-linear,8,49,100,x2=0.0,0.04838,0.7
fork-linear,9,50,100,x2=0.0,0.03398,0.675
fork-linear,10,51,100,x2=0.0,0.02465,0.55
fork-non-linear,1,42,50,x2=0.0,0.04306,0.725
fork-non-linear,2,43,50,x2=0.0,0.05393,0.725
fork-non-linear,3,44,50,x2=0.0,0.06584,0.775
fork-non-linear,4,45,50,x2=0.0,0.08691,0.825
fork-non-linear,5,46,50,x2=0.0,0.016,0.675
fork-non-linear,6,47,50,x2=0.0,0.15476,0.9
fork-non-linear,7,48,50,x2=0.0,0.05689,0.8
fork-non-linear,8,49,50,x2=0.0,0.14734,0.825
fork-non-linear,9,50,50,x2=0.0,0.04684,0.825
fork-non-linear,10,51,50,x2=0.0,0.03237,0.7
fork-non-linear,1,42,100,x2=0.0,0.04193,0.8
fork-non-linear,2,43,100,x2=0.0,0.05735,0.8
fork-non-linear,3,44,100,x2=0.0,0.02787,0.675
fork-non-linear,4,45,100,x2=0.0,0.03048,0.675
fork-non-linear,5,46,100,x2=0.0,0.05836,0.7
fork-non-linear,6,47,100,x2=0.0,0.04567,1.0
fork-non-linear,7,48,100,x2=0.0,0.17277,1.0
fork-non-linear,8,49,100,x2=0.0,0.10203,0.875
fork-non-linear,9,50,100,x2=0.0,0.05181,0.775
fork-non-linear,10,51,100,x2=0.0,0.05076,0.65
simpson-non-linear,1,42,50,x2=0.0,0.0279,0.625
simpson-non-linear,2,43,50,x2=0.0,0.01958,0.575
simpson-non-linear,3,44,50,x2=0.0,0.0262,0.775
simpson-non-linear,4,45,50,x2=0.0,0.03126,0.625
simpson-non-linear,5,46,50,x2=0.0,0.01498,0.75
simpson-non-linear,6,47,50,x2=0.0,0.02581,0.575
simpson-non-linear,7,48,50,x2=0.0,0.01826,0.625
simpson-non-linear,8,49,50,x2=0.0,0.04933,0.75
simpson-non-linear,9,50,50,x2=0.0,0.01659,0.65
simpson-non-linear,10,51,50,x2=0.0,0.01836,0.6
simpson-non-linear,1,42,100,x2=0.0,0.022,0.675
simpson-non-linear,2,43,100,x2=0.0,0.01107,0.5
