N,Beta,Metrica,mean,std
50,0.0,RF Acc,0.63318,0.07303
50,0.0,MMD,0.04001,0.02973
50,0.0,MAE x3,0.9083,0.71066
50,0.1,RF Acc,0.62773,0.08038
50,0.1,MMD,0.03939,0.03023
50,0.1,MAE x3,1.02088,1.59291
50,0.2,RF Acc,0.62455,0.07999
50,0.2,MMD,0.03883,0.03001
50,0.2,MAE x3,0.99242,1.65979
50,0.3,RF Acc,0.62955,0.07892
50,0.3,MMD,0.04026,0.03214
50,0.3,MAE x3,0.97307,1.22806
50,0.4,RF Acc,0.63068,0.0823
50,0.4,MMD,0.03912,0.0319
50,0.4,MAE x3,0.92608,1.45359
50,0.5,RF Acc,0.63114,0.08171
50,0.5,MMD,0.0391,0.03034
50,0.5,MAE x3,0.81241,0.5856
50,0.6,RF Acc,0.63614,0.08841
50,0.6,MMD,0.04408,0.03921
50,0.6,MAE x3,0.84703,0.69279
50,0.7,RF Acc,0.63977,0.07966
50,0.7,MMD,0.04237,0.04044
50,0.7,MAE x3,0.90659,0.90027
50,0.8,RF Acc,0.63273,0.08665
50,0.8,MMD,0.04421,0.04258
50,0.8,MAE x3,0.83479,0.48318
100,0.0,RF Acc,0.60591,0.06451
100,0.0,MMD,0.02746,0.02554
100,0.0,MAE x3,0.87388,1.63637
100,0.1,RF Acc,0.60159,0.06934
100,0.1,MMD,0.02627,0.02483
100,0.1,MAE x3,0.83292,1.46983
100,0.2,RF Acc,0.60568,0.06978
100,0.2,MMD,0.02646,0.02488
100,0.2,MAE x3,0.79695,1.15568
100,0.3,RF Acc,0.59955,0.06452
100,0.3,MMD,0.02645,0.02507
100,0.3,MAE x3,0.73172,1.04899
100,0.4,RF Acc,0.60136,0.06914
100,0.4,MMD,0.02676,0.02454
100,0.4,MAE x3,0.98629,3.4798
100,0.5,RF Acc,0.61,0.07679
100,0.5,MMD,0.02839,0.02969
100,0.5,MAE x3,1.07575,4.38029
100,0.6,RF Acc,0.60545,0.0633
100,0.6,MMD,0.02725,0.02686
100,0.6,MAE x3,0.98074,2.98572
100,0.7,RF Acc,0.60227,0.06709
100,0.7,MMD,0.02819,0.02961
100,0.7,MAE x3,0.90493,2.09893
100,0.8,RF Acc,0.61045,0.07545
100,0.8,MMD,0.03147,0.03398
100,0.8,MAE x3,0.70383,0.55634
