Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
3-chain-linear,50,0.0,1.0,mse,10,0.59,0.04888,0.02299,0.01724,0.83914,0.02016
3-chain-linear,50,0.1,0.9,hybrid,10,0.5925,0.05534,0.02286,0.01712,0.83991,0.02069
3-chain-linear,50,0.2,0.8,hybrid,10,0.59,0.04595,0.0235,0.02046,0.84128,0.02783
3-chain-linear,50,0.3,0.7,hybrid,10,0.59,0.03944,0.02201,0.01596,0.83843,0.01843
3-chain-linear,50,0.4,0.6,hybrid,10,0.5875,0.03773,0.02237,0.01859,0.83788,0.01697
3-chain-linear,50,0.5,0.5,hybrid,10,0.5875,0.0429,0.02253,0.0197,0.83947,0.02208
3-chain-linear,50,0.6,0.4,hybrid,10,0.6,0.04249,0.02232,0.01931,0.84074,0.02594
3-chain-linear,50,0.7,0.3,hybrid,10,0.5975,0.05062,0.01669,0.00422,0.8327,0.00145
3-chain-linear,50,0.8,0.2,hybrid,10,0.5875,0.04449,0.01656,0.0041,0.83238,0.00134
3-chain-linear,100,0.0,1.0,mse,10,0.6025,0.04158,0.01515,0.00388,0.83475,0.00425
3-chain-linear,100,0.1,0.9,hybrid,10,0.62,0.05503,0.01543,0.00429,0.83503,0.00431
3-chain-linear,100,0.2,0.8,hybrid,10,0.6075,0.05007,0.0155,0.00429,0.83544,0.00424
3-chain-linear,100,0.3,0.7,hybrid,10,0.6125,0.05171,0.01583,0.00487,0.83568,0.00431
3-chain-linear,100,0.4,0.6,hybrid,10,0.6025,0.0478,0.01541,0.0043,0.83531,0.00477
3-chain-linear,100,0.5,0.5,hybrid,10,0.625,0.05528,0.01502,0.00417,0.83445,0.00462
3-chain-linear,100,0.6,0.4,hybrid,10,0.605,0.05986,0.01422,0.00346,0.83395,0.00287
3-chain-linear,100,0.7,0.3,hybrid,10,0.61,0.05028,0.01414,0.00338,0.83375,0.00285
3-chain-linear,100,0.8,0.2,hybrid,10,0.6375,0.04751,0.01406,0.00335,0.83328,0.00322
3-chain-non-linear,50,0.0,1.0,mse,10,0.9975,0.00791,0.02367,0.01651,0.0733,0.07259
3-chain-non-linear,50,0.1,0.9,hybrid,10,0.9925,0.02372,0.02686,0.01898,0.07838,0.07758
3-chain-non-linear,50,0.2,0.8,hybrid,10,0.985,0.01748,0.02815,0.02108,0.09302,0.08934
3-chain-non-linear,50,0.3,0.7,hybrid,10,0.995,0.01054,0.02561,0.01687,0.09704,0.09461
3-chain-non-linear,50,0.4,0.6,hybrid,10,0.9875,0.01768,0.02816,0.02279,0.11682,0.10225
3-chain-non-linear,50,0.5,0.5,hybrid,10,0.975,0.01179,0.02979,0.01781,0.13164,0.09438
3-chain-non-linear,50,0.6,0.4,hybrid,10,0.97,0.01972,0.04121,0.02498,0.18499,0.11547
3-chain-non-linear,50,0.7,0.3,hybrid,10,0.985,0.01748,0.05074,0.03226,0.22455,0.16599
3-chain-non-linear,50,0.8,0.2,hybrid,10,0.975,0.02635,0.05914,0.03483,0.31735,0.22788
3-chain-non-linear,100,0.0,1.0,mse,10,0.995,0.01054,0.03459,0.02903,0.06377,0.08186
3-chain-non-linear,100,0.1,0.9,hybrid,10,0.9875,0.01768,0.0365,0.02939,0.07339,0.08765
3-chain-non-linear,100,0.2,0.8,hybrid,10,0.99,0.01748,0.03379,0.02886,0.09406,0.09701
3-chain-non-linear,100,0.3,0.7,hybrid,10,0.9925,0.01208,0.03419,0.02782,0.10002,0.10054
3-chain-non-linear,100,0.4,0.6,hybrid,10,0.9925,0.01208,0.03482,0.02493,0.08367,0.07629
3-chain-non-linear,100,0.5,0.5,hybrid,10,0.9925,0.01687,0.03378,0.0262,0.08224,0.07298
3-chain-non-linear,100,0.6,0.4,hybrid,10,0.99,0.01748,0.03422,0.02712,0.11175,0.08055
3-chain-non-linear,100,0.7,0.3,hybrid,10,0.995,0.01054,0.02994,0.02661,0.12891,0.06939
3-chain-non-linear,100,0.8,0.2,hybrid,10,0.995,0.01054,0.03117,0.02993,0.1189,0.09678
4-chain-linear,50,0.0,1.0,mse,10,0.995,0.01054,0.12063,0.01608,0.07262,0.06393
4-chain-linear,50,0.1,0.9,hybrid,10,0.9975,0.00791,0.13041,0.01855,0.06788,0.06216
4-chain-linear,50,0.2,0.8,hybrid,10,0.9975,0.00791,0.12726,0.02094,0.05548,0.06828
4-chain-linear,50,0.3,0.7,hybrid,10,1.0,0.0,0.12552,0.01672,0.05888,0.06579
4-chain-linear,50,0.4,0.6,hybrid,10,0.995,0.01054,0.13078,0.01681,0.06892,0.06686
4-chain-linear,50,0.5,0.5,hybrid,10,0.9975,0.00791,0.13087,0.01884,0.0847,0.09719
4-chain-linear,50,0.6,0.4,hybrid,10,0.9975,0.00791,0.14049,0.01774,0.13469,0.17578
4-chain-linear,50,0.7,0.3,hybrid,10,1.0,0.0,0.14035,0.01778,0.10339,0.13671
4-chain-linear,50,0.8,0.2,hybrid,10,1.0,0.0,0.14085,0.01715,0.11725,0.1279
4-chain-linear,100,0.0,1.0,mse,10,0.9975,0.00791,0.13987,0.06078,0.07458,0.0504
4-chain-linear,100,0.1,0.9,hybrid,10,0.9975,0.00791,0.14671,0.05733,0.08395,0.05916
4-chain-linear,100,0.2,0.8,hybrid,10,0.9975,0.00791,0.15107,0.05631,0.0802,0.05776
4-chain-linear,100,0.3,0.7,hybrid,10,0.9975,0.00791,0.1518,0.05617,0.07429,0.05369
4-chain-linear,100,0.4,0.6,hybrid,10,0.9975,0.00791,0.15087,0.05674,0.06179,0.0382
4-chain-linear,100,0.5,0.5,hybrid,10,0.9975,0.00791,0.15495,0.05498,0.05261,0.04625
4-chain-linear,100,0.6,0.4,hybrid,10,1.0,0.0,0.15371,0.05586,0.03838,0.02684
4-chain-linear,100,0.7,0.3,hybrid,10,1.0,0.0,0.15395,0.05493,0.05561,0.03947
4-chain-linear,100,0.8,0.2,hybrid,10,1.0,0.0,0.15566,0.0547,0.0475,0.02359
5-chain-linear,50,0.0,1.0,mse,10,0.6275,0.05197,0.02482,0.00618,0.83914,0.02016
5-chain-linear,50,0.1,0.9,hybrid,10,0.625,0.06562,0.02491,0.00571,0.83991,0.02069
5-chain-linear,50,0.2,0.8,hybrid,10,0.615,0.06791,0.02445,0.00757,0.84128,0.02783
5-chain-linear,50,0.3,0.7,hybrid,10,0.6225,0.04923,0.02369,0.00545,0.83843,0.01843
5-chain-linear,50,0.4,0.6,hybrid,10,0.615,0.06146,0.0231,0.00649,0.83788,0.01697
5-chain-linear,50,0.5,0.5,hybrid,10,0.6175,0.06015,0.02265,0.00592,0.83947,0.02208
5-chain-linear,50,0.6,0.4,hybrid,10,0.6025,0.0448,0.02184,0.00537,0.84074,0.02594
5-chain-linear,50,0.7,0.3,hybrid,10,0.6125,0.05035,0.0198,0.00381,0.8327,0.00145
5-chain-linear,50,0.8,0.2,hybrid,10,0.5825,0.05898,0.01923,0.00383,0.83238,0.00134
5-chain-linear,100,0.0,1.0,mse,10,0.61,0.05028,0.01642,0.0041,0.83475,0.00425
5-chain-linear,100,0.1,0.9,hybrid,10,0.5825,0.06977,0.01629,0.00353,0.83503,0.00431
5-chain-linear,100,0.2,0.8,hybrid,10,0.5675,0.03736,0.01589,0.00325,0.83544,0.00424
