Dataset,Experiment,Seed,Loss,Conf,Alpha,Beta,N,RF Acc,MMD,MAE x3
3-chain-linear,1,42,mse,MSE,1.0,0.0,50,0.675,0.01784,0.88226
3-chain-linear,2,43,mse,MSE,1.0,0.0,50,0.7,0.02085,0.85137
3-chain-linear,3,44,mse,MSE,1.0,0.0,50,0.55,0.01424,0.84343
3-chain-linear,4,45,mse,MSE,1.0,0.0,50,0.75,0.03903,0.89296
3-chain-linear,5,46,mse,MSE,1.0,0.0,50,0.525,0.01487,0.83966
3-chain-linear,6,47,mse,MSE,1.0,0.0,50,0.7,0.02947,0.83444
3-chain-linear,7,48,mse,MSE,1.0,0.0,50,0.675,0.01162,0.88481
3-chain-linear,8,49,mse,MSE,1.0,0.0,50,0.65,0.01485,0.87023
3-chain-linear,9,50,mse,MSE,1.0,0.0,50,0.575,0.01372,0.83135
3-chain-linear,10,51,mse,MSE,1.0,0.0,50,0.6,0.01468,0.96324
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.65,0.01506,0.82392
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.625,0.02034,0.85142
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.525,0.01199,0.84337
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.75,0.03726,0.86685
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.575,0.01341,0.83965
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.75,0.02927,0.83786
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.675,0.00976,0.91442
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.65,0.01292,0.87012
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.5,0.01305,0.83128
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.575,0.01433,0.97377
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.675,0.01522,0.81726
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.65,0.02016,0.85145
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.525,0.01033,0.8437
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.7,0.02051,0.84975
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.625,0.01292,0.83966
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.7,0.02984,0.8383
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.55,0.00819,0.82967
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.65,0.01372,0.87025
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.575,0.01317,0.83102
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.6,0.01375,0.97226
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.675,0.01539,0.81661
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.675,0.0146,0.85136
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.55,0.0103,0.84378
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.675,0.02134,0.84615
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.575,0.01293,0.83965
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.65,0.02939,0.8384
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.525,0.00817,0.82779
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.65,0.01272,0.87006
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.675,0.013,0.83089
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.625,0.01447,0.95722
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.65,0.01514,0.82475
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.675,0.02041,0.8514
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.575,0.01048,0.84367
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.625,0.02032,0.83997
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.55,0.01272,0.83964
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.8,0.03,0.83885
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.6,0.00979,0.82745
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.625,0.01314,0.87005
