Dataset,Experiment,Seed,N,MMD,RF Acc
3-chain-linear,1,42,50,0.02055,0.75
3-chain-linear,2,43,50,0.02731,0.9
3-chain-linear,3,44,50,0.00877,0.525
3-chain-linear,4,45,50,0.04333,0.725
3-chain-linear,5,46,50,0.03437,0.825
3-chain-linear,6,47,50,0.03593,0.8
3-chain-linear,7,48,50,0.01443,0.7
3-chain-linear,8,49,50,0.04251,0.675
3-chain-linear,9,50,50,0.01419,0.75
3-chain-linear,10,51,50,0.0152,0.7
3-chain-linear,1,42,100,0.03248,0.625
3-chain-linear,2,43,100,0.01319,0.525
3-chain-linear,3,44,100,0.03314,0.7
3-chain-linear,4,45,100,0.02599,0.55
3-chain-linear,5,46,100,0.02762,0.7
3-chain-linear,6,47,100,0.02149,0.7
3-chain-linear,7,48,100,0.02137,0.725
3-chain-linear,8,49,100,0.01223,0.575
3-chain-linear,9,50,100,0.01188,0.575
3-chain-linear,10,51,100,0.02882,0.7
3-chain-non-linear,1,42,50,0.0162,0.675
3-chain-non-linear,2,43,50,0.01969,0.75
3-chain-non-linear,3,44,50,0.02033,0.6
3-chain-non-linear,4,45,50,0.02174,0.6
3-chain-non-linear,5,46,50,0.02461,0.7
3-chain-non-linear,6,47,50,0.02809,0.8
3-chain-non-linear,7,48,50,0.02208,0.575
3-chain-non-linear,8,49,50,0.03972,0.675
3-chain-non-linear,9,50,50,0.01804,0.725
3-chain-non-linear,10,51,50,0.01622,0.65
3-chain-non-linear,1,42,100,0.01351,0.575
3-chain-non-linear,2,43,100,0.02241,0.55
3-chain-non-linear,3,44,100,0.0324,0.775
3-chain-non-linear,4,45,100,0.00971,0.6
3-chain-non-linear,5,46,100,0.01525,0.6
3-chain-non-linear,6,47,100,0.02592,0.65
3-chain-non-linear,7,48,100,0.01441,0.65
3-chain-non-linear,8,49,100,0.01664,0.55
3-chain-non-linear,9,50,100,0.01389,0.55
3-chain-non-linear,10,51,100,0.02973,0.7
4-chain-linear,1,42,50,0.01705,0.65
4-chain-linear,2,43,50,0.03601,0.7
4-chain-linear,3,44,50,0.01964,0.6
4-chain-linear,4,45,50,0.01023,0.575
4-chain-linear,5,46,50,0.01401,0.575
4-chain-linear,6,47,50,0.01897,0.75
4-chain-linear,7,48,50,0.01275,0.625
4-chain-linear,8,49,50,0.01774,0.6
4-chain-linear,9,50,50,0.03582,0.625
4-chain-linear,10,51,50,0.00958,0.7
4-chain-linear,1,42,100,0.02222,0.75
4-chain-linear,2,43,100,0.02748,0.5
4-chain-linear,3,44,100,0.01111,0.525
4-chain-linear,4,45,100,0.03119,0.575
4-chain-linear,5,46,100,0.01216,0.7
4-chain-linear,6,47,100,0.01007,0.675
4-chain-linear,7,48,100,0.00649,0.6
4-chain-linear,8,49,100,0.01791,0.5
4-chain-linear,9,50,100,0.02164,0.75
4-chain-linear,10,51,100,0.00716,0.525
5-chain-linear,1,42,50,0.02513,0.7
5-chain-linear,2,43,50,0.01873,0.725
5-chain-linear,3,44,50,0.01904,0.65
5-chain-linear,4,45,50,0.02214,0.625
5-chain-linear,5,46,50,0.02473,0.7
5-chain-linear,6,47,50,0.03226,0.675
5-chain-linear,7,48,50,0.02424,0.625
5-chain-linear,8,49,50,0.03913,0.7
5-chain-linear,9,50,50,0.02621,0.725
5-chain-linear,10,51,50,0.01815,0.55
5-chain-linear,1,42,100,0.02412,0.775
5-chain-linear,2,43,100,0.02911,0.675
5-chain-linear,3,44,100,0.01103,0.6
5-chain-linear,4,45,100,0.01953,0.675
5-chain-linear,5,46,100,0.01577,0.8
5-chain-linear,6,47,100,0.00667,0.525
5-chain-linear,7,48,100,0.00929,0.7
5-chain-linear,8,49,100,0.0203,0.675
5-chain-linear,9,50,100,0.01701,0.7
5-chain-linear,10,51,100,0.02042,0.7
collider-linear,1,42,50,0.02857,0.675
collider-linear,2,43,50,0.01252,0.7
collider-linear,3,44,50,0.00799,0.75
collider-linear,4,45,50,0.0247,0.8
collider-linear,5,46,50,0.03739,0.65
collider-linear,6,47,50,0.01307,0.75
collider-linear,7,48,50,0.01224,0.675
collider-linear,8,49,50,0.03085,0.575
collider-linear,9,50,50,0.01173,0.75
collider-linear,10,51,50,0.0252,0.65
collider-linear,1,42,100,0.02507,0.65
collider-linear,2,43,100,0.01369,0.6
collider-linear,3,44,100,0.01341,0.525
collider-linear,4,45,100,0.01394,0.6
collider-linear,5,46,100,0.02692,0.525
collider-linear,6,47,100,0.01217,0.7
collider-linear,7,48,100,0.01231,0.625
collider-linear,8,49,100,0.0188,0.65
collider-linear,9,50,100,0.01183,0.675
collider-linear,10,51,100,0.01049,0.525
fork-linear,1,42,50,0.02353,0.675
fork-linear,2,43,50,0.01909,0.575
fork-linear,3,44,50,0.01075,0.625
fork-linear,4,45,50,0.01807,0.725
fork-linear,5,46,50,0.01303,0.725
fork-linear,6,47,50,0.01038,0.575
fork-linear,7,48,50,0.00789,0.675
fork-linear,8,49,50,0.00553,0.625
fork-linear,9,50,50,0.01066,0.575
fork-linear,10,51,50,0.01795,0.7
fork-linear,1,42,100,0.00864,0.65
fork-linear,2,43,100,0.01503,0.525
fork-linear,3,44,100,0.01001,0.5
fork-linear,4,45,100,0.01076,0.525
fork-linear,5,46,100,0.00722,0.675
fork-linear,6,47,100,0.01057,0.625
fork-linear,7,48,100,0.00832,0.525
fork-linear,8,49,100,0.02008,0.625
fork-linear,9,50,100,0.02259,0.65
fork-linear,10,51,100,0.00723,0.625
fork-non-linear,1,42,50,0.03808,0.75
fork-non-linear,2,43,50,0.02422,0.675
fork-non-linear,3,44,50,0.01407,0.725
fork-non-linear,4,45,50,0.01942,0.775
fork-non-linear,5,46,50,0.0189,0.775
fork-non-linear,6,47,50,0.0227,0.675
fork-non-linear,7,48,50,0.01798,0.75
fork-non-linear,8,49,50,0.0132,0.775
fork-non-linear,9,50,50,0.01557,0.7
fork-non-linear,10,51,50,0.02108,0.775
fork-non-linear,1,42,100,0.01004,0.825
fork-non-linear,2,43,100,0.01445,0.7
fork-non-linear,3,44,100,0.0105,0.525
fork-non-linear,4,45,100,0.01105,0.6
fork-non-linear,5,46,100,0.01271,0.75
fork-non-linear,6,47,100,0.01214,0.775
fork-non-linear,7,48,100,0.02663,0.625
fork-non-linear,8,49,100,0.01963,0.625
fork-non-linear,9,50,100,0.02899,0.75
fork-non-linear,10,51,100,0.01266,0.625
simpson-non-linear,1,42,50,0.01689,0.6
simpson-non-linear,2,43,50,0.04682,0.65
simpson-non-linear,3,44,50,0.04405,0.7
simpson-non-linear,4,45,50,0.01516,0.75
simpson-non-linear,5,46,50,0.01398,0.725
simpson-non-linear,6,47,50,0.04373,0.725
simpson-non-linear,7,48,50,0.01578,0.65
simpson-non-linear,8,49,50,0.0144,0.7
simpson-non-linear,9,50,50,0.01238,0.6
simpson-non-linear,10,51,50,0.0183,0.725
simpson-non-linear,1,42,100,0.01348,0.7
simpson-non-linear,2,43,100,0.04355,0.775
simpson-non-linear,3,44,100,0.01687,0.55
simpson-non-linear,4,45,100,0.02738,0.6
simpson-non-linear,5,46,100,0.01099,0.575
simpson-non-linear,6,47,100,0.01333,0.7
simpson-non-linear,7,48,100,0.01918,0.675
simpson-non-linear,8,49,100,0.01472,0.725
