Dataset,Experiment,Seed,N,MMD,RF Acc
3-chain-linear,1,42,50,0.02826,0.775
3-chain-linear,2,43,50,0.02236,0.7
3-chain-linear,3,44,50,0.02004,0.75
3-chain-linear,4,45,50,0.05067,0.8
3-chain-linear,5,46,50,0.01744,0.825
3-chain-linear,6,47,50,0.02,0.65
3-chain-linear,7,48,50,0.02183,0.75
3-chain-linear,8,49,50,0.03364,0.7
3-chain-linear,9,50,50,0.02056,0.825
3-chain-linear,10,51,50,0.01788,0.55
3-chain-linear,1,42,100,0.01989,0.625
3-chain-linear,2,43,100,0.0105,0.675
3-chain-linear,3,44,100,0.01537,0.65
3-chain-linear,4,45,100,0.01138,0.775
3-chain-linear,5,46,100,0.00768,0.625
3-chain-linear,6,47,100,0.02885,0.65
3-chain-linear,7,48,100,0.01804,0.725
3-chain-linear,8,49,100,0.01603,0.725
3-chain-linear,9,50,100,0.01926,0.575
3-chain-linear,10,51,100,0.01244,0.55
3-chain-non-linear,1,42,50,0.0432,0.8
3-chain-non-linear,2,43,50,0.02201,0.775
3-chain-non-linear,3,44,50,0.12141,0.775
3-chain-non-linear,4,45,50,0.16622,0.875
3-chain-non-linear,5,46,50,0.06214,0.775
3-chain-non-linear,6,47,50,0.04193,0.725
3-chain-non-linear,7,48,50,0.0503,0.825
3-chain-non-linear,8,49,50,0.0619,0.75
3-chain-non-linear,9,50,50,0.06692,0.9
3-chain-non-linear,10,51,50,0.0268,0.7
3-chain-non-linear,1,42,100,0.02617,0.65
3-chain-non-linear,2,43,100,0.01555,0.625
3-chain-non-linear,3,44,100,0.01703,0.575
3-chain-non-linear,4,45,100,0.02584,0.825
3-chain-non-linear,5,46,100,0.01569,0.675
3-chain-non-linear,6,47,100,0.03199,0.725
3-chain-non-linear,7,48,100,0.04611,0.925
3-chain-non-linear,8,49,100,0.02309,0.675
3-chain-non-linear,9,50,100,0.04371,0.725
3-chain-non-linear,10,51,100,0.01731,0.675
4-chain-linear,1,42,50,0.03446,0.75
4-chain-linear,2,43,50,0.04279,0.775
4-chain-linear,3,44,50,0.01867,0.6
4-chain-linear,4,45,50,0.0401,0.725
4-chain-linear,5,46,50,0.03023,0.775
4-chain-linear,6,47,50,0.0259,0.775
4-chain-linear,7,48,50,0.04844,0.75
4-chain-linear,8,49,50,0.04804,0.725
4-chain-linear,9,50,50,0.01792,0.7
