N,Beta,Metrica,mean,std
50,0.0,RF Acc,0.615,0.07312
50,0.0,MMD,0.02302,0.00871
50,0.0,MAE x3,1.0274,1.80728
50,0.1,RF Acc,0.62727,0.07346
50,0.1,MMD,0.02152,0.00828
50,0.1,MAE x3,1.02845,1.86919
50,0.2,RF Acc,0.62068,0.07214
50,0.2,MMD,0.02055,0.00836
50,0.2,MAE x3,0.83499,0.91333
50,0.3,RF Acc,0.625,0.0761
50,0.3,MMD,0.02059,0.00876
50,0.3,MAE x3,0.87761,0.88329
50,0.4,RF Acc,0.63409,0.0754
50,0.4,MMD,0.02073,0.00873
50,0.4,MAE x3,0.77125,0.55137
50,0.5,RF Acc,0.63795,0.08033
50,0.5,MMD,0.02022,0.00842
50,0.5,MAE x3,0.75562,0.47144
50,0.6,RF Acc,0.63386,0.08544
50,0.6,MMD,0.02111,0.00955
50,0.6,MAE x3,0.94348,1.53653
50,0.7,RF Acc,0.63682,0.076
50,0.7,MMD,0.0209,0.00975
50,0.7,MAE x3,0.81751,0.56549
50,0.8,RF Acc,0.63773,0.08293
50,0.8,MMD,0.02081,0.00861
50,0.8,MAE x3,1.12155,2.50673
100,0.0,RF Acc,0.59205,0.06225
100,0.0,MMD,0.01498,0.00504
100,0.0,MAE x3,0.58573,0.23067
100,0.1,RF Acc,0.59068,0.06521
100,0.1,MMD,0.0139,0.00503
100,0.1,MAE x3,0.58021,0.22593
100,0.2,RF Acc,0.59205,0.06789
100,0.2,MMD,0.01401,0.00533
100,0.2,MAE x3,0.5906,0.22602
100,0.3,RF Acc,0.58864,0.06563
100,0.3,MMD,0.01361,0.00512
100,0.3,MAE x3,0.60934,0.42297
100,0.4,RF Acc,0.58773,0.06788
100,0.4,MMD,0.01331,0.00496
100,0.4,MAE x3,0.59393,0.26898
100,0.5,RF Acc,0.59432,0.07068
100,0.5,MMD,0.01325,0.00499
100,0.5,MAE x3,0.58367,0.21327
100,0.6,RF Acc,0.6,0.06487
100,0.6,MMD,0.01322,0.00504
100,0.6,MAE x3,0.58442,0.21116
100,0.7,RF Acc,0.59477,0.06453
100,0.7,MMD,0.01329,0.00535
100,0.7,MAE x3,0.59772,0.22625
100,0.8,RF Acc,0.60773,0.07028
100,0.8,MMD,0.01393,0.00575
100,0.8,MAE x3,0.61769,0.2258
