N,Beta,Metrica,mean,std
50,0.0,RF Acc,0.68977,0.09374
50,0.0,MMD,0.04754,0.02012
50,0.0,MAE x3,0.58442,0.24552
50,0.1,RF Acc,0.68727,0.09577
50,0.1,MMD,0.04661,0.0201
50,0.1,MAE x3,0.59939,0.30235
50,0.2,RF Acc,0.68977,0.09264
50,0.2,MMD,0.04619,0.02056
50,0.2,MAE x3,0.5795,0.24058
50,0.3,RF Acc,0.68341,0.09435
50,0.3,MMD,0.04612,0.02082
50,0.3,MAE x3,0.58807,0.28115
50,0.4,RF Acc,0.70068,0.08937
50,0.4,MMD,0.04646,0.02083
50,0.4,MAE x3,0.58448,0.26799
50,0.5,RF Acc,0.7075,0.08677
50,0.5,MMD,0.04666,0.021
50,0.5,MAE x3,0.58742,0.26776
50,0.6,RF Acc,0.70864,0.09007
50,0.6,MMD,0.04677,0.02123
50,0.6,MAE x3,0.58851,0.26602
50,0.7,RF Acc,0.71773,0.08755
50,0.7,MMD,0.04646,0.01959
50,0.7,MAE x3,0.6091,0.26982
50,0.8,RF Acc,0.72455,0.09023
50,0.8,MMD,0.04847,0.02428
50,0.8,MAE x3,0.6169,0.29706
100,0.0,RF Acc,0.66136,0.09303
100,0.0,MMD,0.04379,0.03358
100,0.0,MAE x3,0.50601,0.21144
100,0.1,RF Acc,0.66818,0.08712
100,0.1,MMD,0.04391,0.03385
100,0.1,MAE x3,0.50664,0.2066
100,0.2,RF Acc,0.67341,0.09574
100,0.2,MMD,0.04575,0.03524
100,0.2,MAE x3,0.51118,0.21077
100,0.3,RF Acc,0.67386,0.09835
100,0.3,MMD,0.04585,0.03568
100,0.3,MAE x3,0.51101,0.20378
100,0.4,RF Acc,0.68023,0.09757
100,0.4,MMD,0.04665,0.03662
100,0.4,MAE x3,0.51584,0.201
100,0.5,RF Acc,0.68455,0.08921
100,0.5,MMD,0.04709,0.03732
100,0.5,MAE x3,0.51779,0.19647
100,0.6,RF Acc,0.68159,0.08396
100,0.6,MMD,0.0456,0.03657
100,0.6,MAE x3,0.52096,0.20328
100,0.7,RF Acc,0.69341,0.09053
100,0.7,MMD,0.04618,0.03908
100,0.7,MAE x3,0.52453,0.19513
100,0.8,RF Acc,0.70091,0.0826
100,0.8,MMD,0.04604,0.03877
100,0.8,MAE x3,0.5343,0.1917
