Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
3-chain-linear,50,0.0,1.0,mse,10,0.64,0.07379,0.01912,0.00865,0.86938,0.03989
3-chain-linear,50,0.1,0.9,hybrid,10,0.6275,0.08535,0.01774,0.00882,0.86527,0.04614
3-chain-linear,50,0.2,0.8,hybrid,10,0.625,0.06124,0.01578,0.00624,0.85433,0.04384
3-chain-linear,50,0.3,0.7,hybrid,10,0.6275,0.05707,0.01523,0.00605,0.85219,0.03961
3-chain-linear,50,0.4,0.6,hybrid,10,0.645,0.078,0.01634,0.00605,0.86123,0.0662
3-chain-linear,50,0.5,0.5,hybrid,10,0.6475,0.09163,0.01622,0.00669,0.86069,0.052
3-chain-linear,50,0.6,0.4,hybrid,10,0.63,0.084,0.01637,0.00664,0.85423,0.0478
3-chain-linear,50,0.7,0.3,hybrid,10,0.6325,0.08979,0.01635,0.00807,0.83901,0.01357
3-chain-linear,50,0.8,0.2,hybrid,10,0.6475,0.05945,0.01539,0.00586,0.83794,0.01356
3-chain-linear,100,0.0,1.0,mse,10,0.5525,0.0448,0.01255,0.00245,0.83669,0.00523
3-chain-linear,100,0.1,0.9,hybrid,10,0.565,0.05553,0.01139,0.00214,0.8352,0.00633
3-chain-linear,100,0.2,0.8,hybrid,10,0.585,0.03944,0.01171,0.00302,0.83793,0.01829
3-chain-linear,100,0.3,0.7,hybrid,10,0.5675,0.05007,0.01156,0.003,0.83833,0.01997
3-chain-linear,100,0.4,0.6,hybrid,10,0.545,0.03496,0.01136,0.00272,0.83825,0.01944
3-chain-linear,100,0.5,0.5,hybrid,10,0.565,0.05553,0.01124,0.00279,0.83852,0.02306
3-chain-linear,100,0.6,0.4,hybrid,10,0.61,0.03764,0.01098,0.00248,0.83773,0.02088
3-chain-linear,100,0.7,0.3,hybrid,10,0.5875,0.05683,0.011,0.00249,0.83327,0.00886
3-chain-linear,100,0.8,0.2,hybrid,10,0.6075,0.05277,0.01111,0.00244,0.83137,0.00856
3-chain-non-linear,50,0.0,1.0,mse,10,0.5725,0.05707,0.01841,0.00848,0.27439,0.037
3-chain-non-linear,50,0.1,0.9,hybrid,10,0.6,0.06009,0.01533,0.00629,0.26027,0.03228
3-chain-non-linear,50,0.2,0.8,hybrid,10,0.595,0.06101,0.01541,0.00583,0.27216,0.03943
3-chain-non-linear,50,0.3,0.7,hybrid,10,0.61,0.06583,0.01732,0.00837,0.28645,0.04389
3-chain-non-linear,50,0.4,0.6,hybrid,10,0.625,0.06346,0.01769,0.00896,0.28946,0.04674
3-chain-non-linear,50,0.5,0.5,hybrid,10,0.65,0.0527,0.01796,0.00973,0.29538,0.04903
3-chain-non-linear,50,0.6,0.4,hybrid,10,0.6175,0.05007,0.01946,0.01402,0.30278,0.05392
3-chain-non-linear,50,0.7,0.3,hybrid,10,0.6475,0.06061,0.01818,0.01456,0.28933,0.05491
3-chain-non-linear,50,0.8,0.2,hybrid,10,0.6425,0.06977,0.01904,0.00987,0.33638,0.10965
3-chain-non-linear,100,0.0,1.0,mse,10,0.56,0.04441,0.01021,0.00164,0.25424,0.03836
3-chain-non-linear,100,0.1,0.9,hybrid,10,0.5925,0.06015,0.0086,0.00163,0.24877,0.05404
3-chain-non-linear,100,0.2,0.8,hybrid,10,0.59,0.04888,0.00869,0.00172,0.24057,0.04157
3-chain-non-linear,100,0.3,0.7,hybrid,10,0.6025,0.05329,0.00821,0.00147,0.24612,0.03663
3-chain-non-linear,100,0.4,0.6,hybrid,10,0.605,0.05375,0.00849,0.00142,0.25333,0.03523
3-chain-non-linear,100,0.5,0.5,hybrid,10,0.6,0.06667,0.00876,0.00215,0.25759,0.03962
3-chain-non-linear,100,0.6,0.4,hybrid,10,0.61,0.06687,0.00909,0.00277,0.26178,0.03314
3-chain-non-linear,100,0.7,0.3,hybrid,10,0.5975,0.06396,0.0094,0.00349,0.26433,0.04491
3-chain-non-linear,100,0.8,0.2,hybrid,10,0.62,0.06852,0.01054,0.00386,0.27612,0.04514
4-chain-linear,50,0.0,1.0,mse,10,0.57,0.05749,0.01665,0.00504,0.81057,0.02334
4-chain-linear,50,0.1,0.9,hybrid,10,0.5825,0.07076,0.01556,0.00543,0.80387,0.01457
4-chain-linear,50,0.2,0.8,hybrid,10,0.58,0.07246,0.01452,0.00385,0.80337,0.01552
4-chain-linear,50,0.3,0.7,hybrid,10,0.585,0.07188,0.01386,0.00399,0.80454,0.016
4-chain-linear,50,0.4,0.6,hybrid,10,0.59,0.06032,0.01384,0.00389,0.80524,0.01608
4-chain-linear,50,0.5,0.5,hybrid,10,0.5925,0.07173,0.01377,0.0039,0.805,0.01715
4-chain-linear,50,0.6,0.4,hybrid,10,0.585,0.05553,0.01349,0.00405,0.80542,0.01852
4-chain-linear,50,0.7,0.3,hybrid,10,0.59,0.05916,0.01275,0.00341,0.80414,0.01585
4-chain-linear,50,0.8,0.2,hybrid,10,0.5875,0.05303,0.0128,0.00377,0.80499,0.02007
4-chain-linear,100,0.0,1.0,mse,10,0.57,0.05244,0.01073,0.00241,0.80698,0.01963
4-chain-linear,100,0.1,0.9,hybrid,10,0.5425,0.01687,0.00989,0.0021,0.80741,0.01806
4-chain-linear,100,0.2,0.8,hybrid,10,0.5375,0.027,0.00965,0.00203,0.80615,0.0176
4-chain-linear,100,0.3,0.7,hybrid,10,0.555,0.03073,0.00937,0.0019,0.80741,0.01799
4-chain-linear,100,0.4,0.6,hybrid,10,0.555,0.02297,0.00922,0.00189,0.80738,0.01669
4-chain-linear,100,0.5,0.5,hybrid,10,0.525,0.02635,0.00916,0.00204,0.80689,0.01571
4-chain-linear,100,0.6,0.4,hybrid,10,0.5575,0.04257,0.00903,0.00185,0.80621,0.01461
4-chain-linear,100,0.7,0.3,hybrid,10,0.54,0.03162,0.00908,0.00186,0.80276,0.01058
4-chain-linear,100,0.8,0.2,hybrid,10,0.5425,0.02372,0.00862,0.00171,0.80891,0.01533
5-chain-linear,50,0.0,1.0,mse,10,0.6125,0.06897,0.02091,0.00488,0.86992,0.04009
5-chain-linear,50,0.1,0.9,hybrid,10,0.635,0.06476,0.01978,0.0048,0.86473,0.04577
5-chain-linear,50,0.2,0.8,hybrid,10,0.63,0.0654,0.01822,0.00372,0.85434,0.04384
5-chain-linear,50,0.3,0.7,hybrid,10,0.605,0.0654,0.01752,0.00376,0.85223,0.03931
5-chain-linear,50,0.4,0.6,hybrid,10,0.6325,0.06242,0.01722,0.0031,0.86128,0.0664
5-chain-linear,50,0.5,0.5,hybrid,10,0.615,0.08596,0.01721,0.00341,0.86062,0.05178
5-chain-linear,50,0.6,0.4,hybrid,10,0.6325,0.07551,0.01628,0.0039,0.85397,0.04799
5-chain-linear,50,0.7,0.3,hybrid,10,0.6175,0.05898,0.01629,0.00455,0.83901,0.01356
5-chain-linear,50,0.8,0.2,hybrid,10,0.61,0.03764,0.01642,0.00317,0.83793,0.01356
5-chain-linear,100,0.0,1.0,mse,10,0.55,0.04714,0.01272,0.0015,0.83672,0.00523
5-chain-linear,100,0.1,0.9,hybrid,10,0.555,0.04048,0.01195,0.00121,0.8352,0.00633
5-chain-linear,100,0.2,0.8,hybrid,10,0.5475,0.0478,0.01178,0.00155,0.83795,0.01836
5-chain-linear,100,0.3,0.7,hybrid,10,0.5375,0.04602,0.01154,0.0016,0.83837,0.01993
5-chain-linear,100,0.4,0.6,hybrid,10,0.5425,0.04257,0.01113,0.00162,0.83833,0.01963
5-chain-linear,100,0.5,0.5,hybrid,10,0.5525,0.06396,0.01086,0.00187,0.83815,0.0224
5-chain-linear,100,0.6,0.4,hybrid,10,0.5825,0.05007,0.01055,0.00146,0.83398,0.01013
5-chain-linear,100,0.7,0.3,hybrid,10,0.55,0.04082,0.01025,0.0017,0.83327,0.00885
5-chain-linear,100,0.8,0.2,hybrid,10,0.57,0.05503,0.00995,0.00149,0.83137,0.00856
collider-linear,50,0.0,1.0,mse,10,0.59,0.03375,0.02582,0.00449,1.07012,0.76377
collider-linear,50,0.1,0.9,hybrid,10,0.5975,0.0448,0.02602,0.00441,1.00784,0.62682
collider-linear,50,0.2,0.8,hybrid,10,0.5975,0.04632,0.02595,0.00457,0.81282,0.22697
collider-linear,50,0.3,0.7,hybrid,10,0.605,0.03689,0.02708,0.00469,0.96808,0.57997
collider-linear,50,0.4,0.6,hybrid,10,0.5925,0.04257,0.02528,0.00555,0.79517,0.16851
collider-linear,50,0.5,0.5,hybrid,10,0.6075,0.05007,0.02377,0.00591,0.75307,0.21753
collider-linear,50,0.6,0.4,hybrid,10,0.5975,0.05584,0.02444,0.00538,0.75457,0.19575
collider-linear,50,0.7,0.3,hybrid,10,0.605,0.0483,0.025,0.00539,0.87549,0.25492
collider-linear,50,0.8,0.2,hybrid,10,0.585,0.04743,0.02479,0.00569,0.88229,0.33986
collider-linear,100,0.0,1.0,mse,10,0.5975,0.0381,0.02005,0.00545,0.62129,0.07561
collider-linear,100,0.1,0.9,hybrid,10,0.6075,0.05658,0.01911,0.00528,0.60953,0.06979
collider-linear,100,0.2,0.8,hybrid,10,0.6075,0.06352,0.0199,0.00508,0.62968,0.07051
collider-linear,100,0.3,0.7,hybrid,10,0.5975,0.07587,0.01958,0.00505,0.62387,0.07503
collider-linear,100,0.4,0.6,hybrid,10,0.59,0.06687,0.01924,0.00485,0.62218,0.06621
collider-linear,100,0.5,0.5,hybrid,10,0.5975,0.03623,0.01941,0.0046,0.62894,0.06034
collider-linear,100,0.6,0.4,hybrid,10,0.585,0.06583,0.01887,0.00447,0.63751,0.07662
collider-linear,100,0.7,0.3,hybrid,10,0.565,0.04282,0.02066,0.00575,0.6576,0.08422
collider-linear,100,0.8,0.2,hybrid,10,0.5875,0.06152,0.01898,0.00577,0.67997,0.17378
fork-linear,50,0.0,1.0,mse,10,0.665,0.07656,0.02918,0.00786,0.95075,0.99653
fork-linear,50,0.1,0.9,hybrid,10,0.66,0.06791,0.02641,0.0078,0.79345,0.61096
fork-linear,50,0.2,0.8,hybrid,10,0.6325,0.06977,0.02377,0.01094,0.62901,0.25854
fork-linear,50,0.3,0.7,hybrid,10,0.6625,0.09948,0.02412,0.0108,1.14158,1.45162
fork-linear,50,0.4,0.6,hybrid,10,0.665,0.07091,0.02534,0.01108,0.87294,0.96228
fork-linear,50,0.5,0.5,hybrid,10,0.675,0.0736,0.02559,0.01029,0.60263,0.29182
fork-linear,50,0.6,0.4,hybrid,10,0.6575,0.08502,0.02369,0.01044,1.35928,2.24821
fork-linear,50,0.7,0.3,hybrid,10,0.6525,0.06713,0.02518,0.01133,1.24219,1.31932
fork-linear,50,0.8,0.2,hybrid,10,0.645,0.09413,0.02242,0.00851,3.03635,5.23921
fork-linear,100,0.0,1.0,mse,10,0.57,0.05375,0.0157,0.00477,0.32234,0.09443
fork-linear,100,0.1,0.9,hybrid,10,0.545,0.03873,0.01279,0.0024,0.29209,0.02234
fork-linear,100,0.2,0.8,hybrid,10,0.56,0.05798,0.01388,0.0053,0.34237,0.08763
fork-linear,100,0.3,0.7,hybrid,10,0.56,0.04116,0.01317,0.00491,0.33019,0.08211
fork-linear,100,0.4,0.6,hybrid,10,0.57,0.03689,0.01174,0.00241,0.30918,0.02088
fork-linear,100,0.5,0.5,hybrid,10,0.5875,0.03584,0.01096,0.00229,0.31005,0.03585
fork-linear,100,0.6,0.4,hybrid,10,0.585,0.07565,0.01244,0.0054,0.35329,0.09305
fork-linear,100,0.7,0.3,hybrid,10,0.5825,0.05534,0.01051,0.00176,0.31559,0.03705
fork-linear,100,0.8,0.2,hybrid,10,0.57,0.06101,0.01329,0.00814,0.36404,0.14732
fork-non-linear,50,0.0,1.0,mse,10,0.6675,0.05534,0.02442,0.00406,2.04409,3.1863
fork-non-linear,50,0.1,0.9,hybrid,10,0.6725,0.07768,0.02392,0.00463,1.90306,3.01665
fork-non-linear,50,0.2,0.8,hybrid,10,0.6775,0.07587,0.02423,0.0056,1.66819,2.76384
fork-non-linear,50,0.3,0.7,hybrid,10,0.6625,0.05922,0.02348,0.00549,1.49418,2.1774
fork-non-linear,50,0.4,0.6,hybrid,10,0.665,0.06687,0.02395,0.00633,1.06166,1.37406
fork-non-linear,50,0.5,0.5,hybrid,10,0.6575,0.07642,0.02197,0.00569,0.89596,0.80551
fork-non-linear,50,0.6,0.4,hybrid,10,0.7225,0.05329,0.02651,0.00538,0.79762,0.34539
fork-non-linear,50,0.7,0.3,hybrid,10,0.71,0.05297,0.02672,0.00591,0.73011,0.09905
fork-non-linear,50,0.8,0.2,hybrid,10,0.71,0.0835,0.02694,0.00764,0.72091,0.15982
fork-non-linear,100,0.0,1.0,mse,10,0.685,0.06992,0.02197,0.00654,0.50659,0.15848
fork-non-linear,100,0.1,0.9,hybrid,10,0.68,0.05627,0.02096,0.00669,0.49419,0.1582
fork-non-linear,100,0.2,0.8,hybrid,10,0.6975,0.04322,0.02017,0.00738,0.50218,0.1725
fork-non-linear,100,0.3,0.7,hybrid,10,0.685,0.07284,0.01987,0.00703,0.5062,0.16078
fork-non-linear,100,0.4,0.6,hybrid,10,0.69,0.09516,0.01942,0.00662,0.52492,0.15417
fork-non-linear,100,0.5,0.5,hybrid,10,0.665,0.0835,0.01898,0.00716,0.56928,0.15751
fork-non-linear,100,0.6,0.4,hybrid,10,0.665,0.07746,0.01864,0.00633,0.54205,0.15453
fork-non-linear,100,0.7,0.3,hybrid,10,0.665,0.04743,0.01852,0.00684,0.6139,0.17769
fork-non-linear,100,0.8,0.2,hybrid,10,0.69,0.04743,0.02143,0.00685,0.6938,0.23404
simpson-non-linear,50,0.0,1.0,mse,10,0.575,0.03536,0.02316,0.00458,0.73343,0.09358
simpson-non-linear,50,0.1,0.9,hybrid,10,0.5975,0.0448,0.02255,0.0051,0.83343,0.29454
simpson-non-linear,50,0.2,0.8,hybrid,10,0.6125,0.06264,0.02226,0.00441,0.91825,0.61944
simpson-non-linear,50,0.3,0.7,hybrid,10,0.59,0.05553,0.02126,0.00414,0.83337,0.43998
simpson-non-linear,50,0.4,0.6,hybrid,10,0.605,0.05375,0.02133,0.00396,0.77029,0.25327
simpson-non-linear,50,0.5,0.5,hybrid,10,0.5975,0.06609,0.0209,0.00335,0.69387,0.07952
simpson-non-linear,50,0.6,0.4,hybrid,10,0.58,0.06214,0.0208,0.00322,0.66876,0.07866
simpson-non-linear,50,0.7,0.3,hybrid,10,0.6,0.0441,0.01957,0.00313,0.67451,0.07408
simpson-non-linear,50,0.8,0.2,hybrid,10,0.6,0.05652,0.01872,0.0029,0.68798,0.08818
simpson-non-linear,100,0.0,1.0,mse,10,0.5825,0.03736,0.01709,0.00283,0.58655,0.09566
simpson-non-linear,100,0.1,0.9,hybrid,10,0.565,0.04116,0.01674,0.00312,0.59839,0.09463
simpson-non-linear,100,0.2,0.8,hybrid,10,0.58,0.06325,0.01658,0.00294,0.60156,0.07697
simpson-non-linear,100,0.3,0.7,hybrid,10,0.57,0.04378,0.01617,0.00268,0.5781,0.07391
simpson-non-linear,100,0.4,0.6,hybrid,10,0.5725,0.05707,0.0161,0.00306,0.63329,0.11243
simpson-non-linear,100,0.5,0.5,hybrid,10,0.5575,0.03736,0.01558,0.00281,0.60554,0.09792
simpson-non-linear,100,0.6,0.4,hybrid,10,0.5625,0.0429,0.01614,0.00277,0.5905,0.09842
simpson-non-linear,100,0.7,0.3,hybrid,10,0.585,0.03162,0.01571,0.00266,0.57006,0.0642
simpson-non-linear,100,0.8,0.2,hybrid,10,0.5625,0.04449,0.01558,0.003,0.55522,0.04695
simpson-symprod,50,0.0,1.0,mse,10,0.5525,0.05329,0.02073,0.00783,2.35836,4.83293
simpson-symprod,50,0.1,0.9,hybrid,10,0.575,0.04082,0.02,0.0093,2.6034,5.22707
simpson-symprod,50,0.2,0.8,hybrid,10,0.555,0.05244,0.01973,0.00955,1.03175,0.64558
simpson-symprod,50,0.3,0.7,hybrid,10,0.57,0.04684,0.02001,0.00929,0.96445,0.58268
simpson-symprod,50,0.4,0.6,hybrid,10,0.565,0.05553,0.01968,0.00949,0.92562,0.48548
simpson-symprod,50,0.5,0.5,hybrid,10,0.565,0.03944,0.01937,0.00952,1.12538,1.1533
simpson-symprod,50,0.6,0.4,hybrid,10,0.55,0.06009,0.01953,0.00973,1.05783,0.93792
simpson-symprod,50,0.7,0.3,hybrid,10,0.5775,0.06713,0.02026,0.01031,0.96289,0.53749
simpson-symprod,50,0.8,0.2,hybrid,10,0.5625,0.06482,0.02171,0.01032,0.78971,0.04393
simpson-symprod,100,0.0,1.0,mse,10,0.5725,0.05329,0.01397,0.00289,0.71236,0.03274
simpson-symprod,100,0.1,0.9,hybrid,10,0.5775,0.03426,0.01327,0.00313,0.70589,0.03464
simpson-symprod,100,0.2,0.8,hybrid,10,0.56,0.03375,0.01341,0.00323,0.70238,0.03229
simpson-symprod,100,0.3,0.7,hybrid,10,0.5725,0.0478,0.01385,0.00406,0.70628,0.03103
simpson-symprod,100,0.4,0.6,hybrid,10,0.555,0.04048,0.0138,0.0043,0.7095,0.03128
simpson-symprod,100,0.5,0.5,hybrid,10,0.58,0.05749,0.01384,0.00397,0.71549,0.0317
simpson-symprod,100,0.6,0.4,hybrid,10,0.585,0.05164,0.01331,0.00398,0.71467,0.02516
simpson-symprod,100,0.7,0.3,hybrid,10,0.5825,0.04257,0.0142,0.00592,0.73207,0.03347
simpson-symprod,100,0.8,0.2,hybrid,10,0.61,0.07472,0.01452,0.00359,0.76368,0.04039
triangle-linear,50,0.0,1.0,mse,10,0.67,0.07051,0.02722,0.0162,0.69102,0.25925
triangle-linear,50,0.1,0.9,hybrid,10,0.685,0.07746,0.02109,0.01054,0.73575,0.37358
triangle-linear,50,0.2,0.8,hybrid,10,0.655,0.07888,0.01856,0.00963,0.66178,0.27182
triangle-linear,50,0.3,0.7,hybrid,10,0.665,0.08756,0.01843,0.00995,0.88614,0.82003
triangle-linear,50,0.4,0.6,hybrid,10,0.6925,0.07822,0.01884,0.00891,0.65378,0.18753
