Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
3-chain-linear,50,0.0,1.0,mse,10,0.64,0.07379,0.03341,0.00857,0.82109,0.03444
3-chain-linear,50,0.1,0.9,hybrid,10,0.655,0.06646,0.03249,0.00852,0.82,0.03282
3-chain-linear,50,0.2,0.8,hybrid,10,0.66,0.06583,0.03154,0.00887,0.81961,0.03233
3-chain-linear,50,0.3,0.7,hybrid,10,0.65,0.07071,0.03186,0.00879,0.81642,0.03082
3-chain-linear,50,0.4,0.6,hybrid,10,0.67,0.07528,0.03327,0.00839,0.81485,0.03072
3-chain-linear,50,0.5,0.5,hybrid,10,0.6825,0.06242,0.03175,0.00872,0.81438,0.0304
3-chain-linear,50,0.6,0.4,hybrid,10,0.6975,0.05827,0.03127,0.00896,0.81144,0.02678
3-chain-linear,50,0.7,0.3,hybrid,10,0.7075,0.0791,0.03213,0.00878,0.80636,0.02339
3-chain-linear,50,0.8,0.2,hybrid,10,0.685,0.07565,0.03214,0.00824,0.80496,0.02313
3-chain-linear,100,0.0,1.0,mse,10,0.615,0.02415,0.02987,0.00511,0.79437,0.01249
3-chain-linear,100,0.1,0.9,hybrid,10,0.6175,0.04721,0.02916,0.00327,0.79545,0.01198
3-chain-linear,100,0.2,0.8,hybrid,10,0.6025,0.05062,0.03003,0.00546,0.79166,0.01048
3-chain-linear,100,0.3,0.7,hybrid,10,0.585,0.05028,0.0294,0.00427,0.79098,0.01097
3-chain-linear,100,0.4,0.6,hybrid,10,0.6125,0.06796,0.03004,0.00396,0.79012,0.01144
3-chain-linear,100,0.5,0.5,hybrid,10,0.6475,0.06061,0.02955,0.00379,0.78804,0.01046
3-chain-linear,100,0.6,0.4,hybrid,10,0.6325,0.06672,0.02864,0.00452,0.78778,0.01054
3-chain-linear,100,0.7,0.3,hybrid,10,0.65,0.05774,0.02901,0.00449,0.78563,0.01122
3-chain-linear,100,0.8,0.2,hybrid,10,0.6625,0.04602,0.02713,0.00356,0.78504,0.01178
3-chain-non-linear,50,0.0,1.0,mse,10,0.785,0.07746,0.08202,0.0334,0.43018,0.43078
3-chain-non-linear,50,0.1,0.9,hybrid,10,0.7775,0.07402,0.0819,0.03144,0.44323,0.41035
3-chain-non-linear,50,0.2,0.8,hybrid,10,0.7825,0.07997,0.08229,0.03298,0.42679,0.43984
3-chain-non-linear,50,0.3,0.7,hybrid,10,0.7825,0.06672,0.08251,0.03331,0.50715,0.71881
3-chain-non-linear,50,0.4,0.6,hybrid,10,0.7725,0.06917,0.08216,0.03308,0.5012,0.67219
3-chain-non-linear,50,0.5,0.5,hybrid,10,0.765,0.06791,0.07709,0.03581,0.49514,0.65395
3-chain-non-linear,50,0.6,0.4,hybrid,10,0.7725,0.05945,0.08042,0.03538,0.53095,0.67389
3-chain-non-linear,50,0.7,0.3,hybrid,10,0.7575,0.06015,0.07506,0.02789,0.52703,0.62153
3-chain-non-linear,50,0.8,0.2,hybrid,10,0.8075,0.05898,0.09264,0.04017,0.49434,0.43539
3-chain-non-linear,100,0.0,1.0,mse,10,0.715,0.06258,0.0524,0.01417,0.20238,0.08416
3-chain-non-linear,100,0.1,0.9,hybrid,10,0.7275,0.06061,0.05579,0.01525,0.19662,0.0663
3-chain-non-linear,100,0.2,0.8,hybrid,10,0.7575,0.06877,0.06622,0.02601,0.20893,0.06416
3-chain-non-linear,100,0.3,0.7,hybrid,10,0.765,0.04116,0.06822,0.02905,0.21845,0.06224
3-chain-non-linear,100,0.4,0.6,hybrid,10,0.7625,0.04895,0.07642,0.036,0.22545,0.06318
3-chain-non-linear,100,0.5,0.5,hybrid,10,0.7525,0.06713,0.07772,0.038,0.2411,0.08477
3-chain-non-linear,100,0.6,0.4,hybrid,10,0.765,0.03764,0.07438,0.03412,0.23878,0.06913
3-chain-non-linear,100,0.7,0.3,hybrid,10,0.7675,0.09578,0.08812,0.05455,0.28673,0.1617
3-chain-non-linear,100,0.8,0.2,hybrid,10,0.775,0.06972,0.08871,0.05132,0.31822,0.14719
4-chain-linear,50,0.0,1.0,mse,10,0.795,0.06325,0.05087,0.01119,0.55946,0.00909
4-chain-linear,50,0.1,0.9,hybrid,10,0.8,0.06455,0.05181,0.01156,0.56014,0.01055
4-chain-linear,50,0.2,0.8,hybrid,10,0.7975,0.05458,0.05349,0.01376,0.55672,0.00657
4-chain-linear,50,0.3,0.7,hybrid,10,0.81,0.05297,0.05397,0.01402,0.55516,0.00605
4-chain-linear,50,0.4,0.6,hybrid,10,0.81,0.05916,0.05404,0.01316,0.55402,0.00681
4-chain-linear,50,0.5,0.5,hybrid,10,0.8275,0.06713,0.05536,0.01232,0.55248,0.01013
4-chain-linear,50,0.6,0.4,hybrid,10,0.8125,0.07096,0.05573,0.0108,0.55042,0.01251
4-chain-linear,50,0.7,0.3,hybrid,10,0.8275,0.05062,0.05736,0.01046,0.55176,0.01158
4-chain-linear,50,0.8,0.2,hybrid,10,0.825,0.06667,0.05862,0.01208,0.55345,0.0089
4-chain-linear,100,0.0,1.0,mse,10,0.7975,0.05707,0.07742,0.09725,0.59059,0.06123
4-chain-linear,100,0.1,0.9,hybrid,10,0.7875,0.06152,0.07888,0.09676,0.58869,0.05848
4-chain-linear,100,0.2,0.8,hybrid,10,0.7825,0.06015,0.07917,0.09694,0.58597,0.05374
4-chain-linear,100,0.3,0.7,hybrid,10,0.7975,0.06175,0.07914,0.09645,0.58417,0.05112
4-chain-linear,100,0.4,0.6,hybrid,10,0.79,0.05676,0.07848,0.09599,0.58189,0.04823
