Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hsic,HSIC,0.0,1.0,100,2.8675,1.39329,0.32934,9.44438,2.52208,0.35265,0.47828,0.00792,0.06939,0.85
1,42,hsic,HSIC,0.0,1.0,300,3.84509,1.52493,0.06386,12.98765,2.52864,0.31592,0.45545,0.00492,0.05678,0.6
1,42,hsic,HSIC,0.0,1.0,500,3.24704,1.3574,0.02494,19.92696,2.79286,0.35397,0.54695,0.00628,0.05243,0.81
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,2.83481,1.3875,0.32523,9.39728,2.51788,0.35259,0.47779,0.00796,0.069,0.85
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,2.69604,1.35148,0.31595,9.38316,2.51659,0.35252,0.47766,0.00806,0.06798,0.8
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,2.63104,1.33383,0.31056,9.38214,2.51645,0.35252,0.4776,0.00812,0.06728,0.8
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,2.52571,1.30464,0.3016,9.39769,2.51811,0.35204,0.47677,0.00821,0.06611,0.8
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,2.44748,1.28271,0.29596,9.38167,2.51637,0.35252,0.4776,0.00831,0.06577,0.8
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.23033,0.88931,0.10528,9.38162,2.51636,0.35251,0.47759,0.00788,0.04185,0.55
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.15998,0.87203,0.09367,9.39773,2.51811,0.35203,0.47675,0.00815,0.0416,0.55
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.14173,0.86345,0.08842,9.38122,2.5163,0.35251,0.47756,0.00826,0.0415,0.55
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.12274,0.8665,0.06494,9.38128,2.51631,0.3525,0.47755,0.00925,0.04288,0.6
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.32395,0.8988,0.05536,4.59993,1.6147,0.0653,0.16131,0.00559,0.02141,0.6
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.19782,0.86069,0.04972,1.23165,0.8348,0.02286,0.01411,0.00245,0.01605,0.51667
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.19559,0.86172,0.04995,1.98956,0.89765,0.01793,0.01372,0.00166,0.01665,0.5
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.19953,0.86309,0.05903,1.81852,0.86414,0.01801,0.01374,0.00227,0.01765,0.55
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.20043,0.86303,0.05978,1.85061,0.86619,0.01843,0.01374,0.00225,0.01788,0.56667
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.20546,0.86534,0.06136,1.75945,0.85725,0.02194,0.01561,0.002,0.01807,0.5
