Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,10.03511,25.62258,1.08365,0.37997,0.10845,0.06226,5.14156,6.72116,1.39682,0.53306,0.14663,0.11045,0.15791,0.13689,0.00531,0.00206,0.05812,0.03183,0.645,0.0896
0.0,1.0,hsic,HSIC,10,5.29878,4.96346,1.55343,0.24848,0.38244,0.19393,17.614,11.64573,2.79149,0.51092,0.37062,0.11066,0.519,0.11443,0.00696,0.00142,0.0729,0.01555,0.795,0.06852
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,2.24406,1.90164,0.99225,0.17369,0.09522,0.06289,4.67554,6.53186,1.28592,0.54704,0.12142,0.09712,0.13874,0.12417,0.0051,0.00219,0.05388,0.03409,0.605,0.10659
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,2.12883,1.99292,1.01585,0.24722,0.14849,0.15901,4.65419,6.06145,1.31454,0.52703,0.12425,0.0946,0.14959,0.12721,0.00527,0.00205,0.05784,0.03502,0.62,0.06749
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,2.42243,2.6661,1.03941,0.2404,0.14779,0.16258,3.95179,4.17066,1.27845,0.50619,0.12086,0.09325,0.14974,0.12789,0.00516,0.00203,0.05644,0.03464,0.62,0.07528
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,2.89844,4.05493,1.03723,0.26962,0.16518,0.15829,4.71092,6.16055,1.32418,0.53316,0.12578,0.09044,0.15774,0.12646,0.00522,0.00185,0.05654,0.03437,0.62,0.09189
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,3.44466,4.73376,1.13551,0.27267,0.22116,0.17081,5.02584,7.10378,1.33583,0.54995,0.12629,0.08781,0.15655,0.12685,0.00546,0.00179,0.06523,0.03151,0.66,0.09369
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,3.72752,6.5175,1.06057,0.23161,0.15586,0.08781,6.11499,8.21716,1.4866,0.52841,0.12608,0.08742,0.16736,0.12442,0.0057,0.00194,0.05611,0.03092,0.61,0.09369
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,5.31767,10.71306,1.14739,0.32484,0.18602,0.14367,7.19888,8.27814,1.68776,0.49868,0.154,0.10536,0.2113,0.13253,0.00611,0.00157,0.05811,0.02586,0.61,0.09944
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,5.8506,12.27134,1.17172,0.33762,0.17939,0.15281,7.17576,6.90473,1.74156,0.49979,0.16314,0.11798,0.22201,0.14617,0.00605,0.00149,0.05542,0.02122,0.61,0.08756
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,6.43295,10.62734,1.42202,0.33777,0.37423,0.19462,10.22707,6.96415,2.15422,0.60501,0.2415,0.11269,0.32541,0.17293,0.00673,0.00124,0.06904,0.01665,0.755,0.12572
