Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,1.45631,0.99147,0.81646,0.10114,119.96605,103.65267,4.9938,9.95143,0.89282,0.20028,76.0762,36.24586,118.29005,44.82169,0.00236,0.0009,0.05092,0.03314,0.62167,0.07579
0.0,1.0,hsic,HSIC,10,3.21225,1.94515,1.14341,0.13108,576.64634,102.82061,56.35445,142.72903,2.03983,0.71929,283.44531,53.4076,589.3147,161.69318,0.00365,0.00094,0.1764,0.08847,0.83833,0.07859
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,1.44743,0.98345,0.81497,0.10104,119.27861,102.9022,4.87419,9.68484,0.89628,0.19078,88.00527,39.49523,127.28682,55.88863,0.00247,0.00072,0.05352,0.03402,0.62833,0.06761
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,1.41528,0.97428,0.80914,0.09939,113.21077,96.94893,4.67326,9.20636,0.89723,0.18895,88.26095,38.10328,130.45925,56.40699,0.00253,0.00093,0.04934,0.02434,0.61,0.05837
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,1.50099,1.18201,0.81604,0.11154,117.06401,96.53906,4.60783,9.25578,0.89715,0.18981,88.40213,37.20422,128.34269,61.79674,0.00239,0.00114,0.04997,0.02342,0.625,0.06816
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,1.36094,0.90023,0.79919,0.08976,99.20217,59.99666,4.37694,8.93719,0.88964,0.1909,86.97657,34.75107,131.43711,63.29737,0.00235,0.001,0.04883,0.02314,0.61667,0.07857
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,1.36709,0.89829,0.80128,0.08771,100.07709,58.3399,5.65867,9.4793,0.90275,0.19906,85.48055,33.64343,129.70913,64.78738,0.0022,0.00095,0.04862,0.0237,0.61333,0.0684
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,1.35213,0.83953,0.80066,0.08461,94.30437,53.34427,6.26107,10.23509,0.91511,0.20557,95.04904,37.13308,142.23225,89.43025,0.00213,0.00091,0.04877,0.02389,0.615,0.07003
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,1.3305,0.85916,0.79496,0.08701,97.67074,49.19642,3.97224,7.82788,0.87147,0.19119,83.08908,31.80704,123.46151,64.85627,0.00217,0.00078,0.04709,0.02407,0.595,0.05668
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,1.36444,0.88102,0.81109,0.10319,128.27999,125.78699,5.55791,9.09422,0.89412,0.21254,105.43798,49.52973,124.3366,65.19182,0.00213,0.00092,0.0489,0.02777,0.61833,0.04612
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,1.65761,1.02489,0.87879,0.17383,186.35571,176.73703,3.4463,6.84137,0.88242,0.19161,110.88354,33.71497,174.15403,114.55688,0.00261,0.001,0.05015,0.03005,0.63333,0.08165
