Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,155,hsic,HSIC,0.0,1.0,50,2.72638,0.94353,15.24036,10.60895,1.57794,6.71859,15.82704,0.0092,0.05437,0.7
1,155,hsic,HSIC,0.0,1.0,100,1.79185,0.94294,36.43062,5.45732,1.51929,22.80444,44.11349,0.00509,0.07321,0.75
1,155,hsic,HSIC,0.0,1.0,300,2.50535,1.14117,647.09861,8.64491,1.85708,307.25693,559.90538,0.00448,0.20087,0.88333
1,155,hsic,HSIC,0.0,1.0,500,2.96481,1.20765,1858.21386,11.42498,1.92507,1023.66289,1889.19096,0.0029,0.11179,0.86
1,155,hsic,HSIC,0.0,1.0,700,4.88509,1.23855,3144.74056,133.93046,2.47024,1274.62883,2789.64525,0.00412,0.13796,0.82857
1,155,hsic,HSIC,0.0,1.0,1000,6.63955,1.26631,5587.89186,412.12732,3.0377,2848.37941,4775.93078,0.00305,0.17904,0.845
1,155,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,2.64396,0.93103,15.28779,10.87028,1.52127,6.68695,15.85819,0.00902,0.05444,0.7
1,155,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,2.53229,0.91636,15.25557,1.13492,0.85216,5.74234,14.40192,0.00557,0.07006,0.7
1,155,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,2.49868,0.91161,15.24934,1.45884,0.91143,5.41518,13.65251,0.00745,0.07039,0.7
1,155,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,2.46286,0.90308,15.40479,2.65648,1.05294,5.87074,14.70937,0.00769,0.06725,0.7
1,155,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,2.49158,0.90957,15.33872,2.61968,1.04967,5.88368,14.61099,0.00778,0.0607,0.7
1,155,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,2.52206,0.91188,15.30159,2.67869,1.04522,5.69721,13.64569,0.00775,0.06214,0.8
1,155,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,2.5232,0.91204,15.28962,1.97827,0.98188,5.50078,12.05995,0.00742,0.06131,0.7
1,155,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,2.52306,0.91245,15.21963,1.84361,0.96942,5.47473,11.67837,0.00726,0.05927,0.7
1,155,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,2.52241,0.91186,15.26251,2.15832,1.00376,5.49117,11.71319,0.00723,0.05591,0.7
1,155,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.13781,0.8303,14.55046,1.32576,0.80901,22.09474,12.76663,0.00266,0.057,0.55
1,155,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.99456,0.7738,11.93157,1.4245,0.87481,21.92293,17.37711,0.00268,0.06158,0.65
1,155,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.22425,0.84382,25.29265,1.86377,1.00405,23.11232,26.58583,0.00406,0.03189,0.65
1,155,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.27531,0.84806,23.30115,1.68868,0.92375,19.29086,33.00234,0.00285,0.02943,0.6
1,155,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.1818,0.82603,20.59246,1.66377,0.93391,19.92303,33.72823,0.00272,0.03108,0.6
1,155,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.1331,0.8078,17.15304,1.67404,0.94093,20.74974,34.56686,0.00271,0.02576,0.75
1,155,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.09449,0.79681,14.54769,1.65887,0.93788,22.78999,39.23796,0.00362,0.02197,0.7
1,155,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.05584,0.82692,19.56725,1.65473,0.94578,22.55414,38.50083,0.00456,0.02872,0.55
1,155,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.2179,0.81657,13.55794,1.64763,0.93599,22.17471,39.3675,0.00356,0.02991,0.55
1,155,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.87107,0.73599,57.97756,1.91304,0.88192,87.60298,82.36719,0.00101,0.0262,0.6
1,155,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.8437,0.72325,54.56574,1.88627,0.86248,111.04968,100.61756,0.00109,0.02807,0.58333
1,155,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.85167,0.72703,62.47443,1.90749,0.87249,94.61205,78.96853,0.00133,0.02741,0.53333
1,155,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.85134,0.72576,53.60034,1.87906,0.86127,79.82458,52.47649,0.00104,0.02735,0.56667
1,155,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.85266,0.7272,61.94398,1.87814,0.86324,70.91853,48.34033,0.00085,0.02835,0.55
