Alpha,Beta,Loss,Conf,Num_Seeds,MSE Y_mean,MSE Y_std,MAE Y_mean,MAE Y_std,"HSIC(Y,X)_mean","HSIC(Y,X)_std",MSE Z_mean,MSE Z_std,MAE Z_mean,MAE Z_std,"HSIC(Z,X)_mean","HSIC(Z,X)_std","HSIC(Z,Y)_mean","HSIC(Z,Y)_std",dHSIC Total_mean,dHSIC Total_std,MMD_mean,MMD_std,RF Acc_mean,RF Acc_std
1.0,0.0,mse,MSE,10,3.36787,3.75381,0.98107,0.20352,38.76366,16.15679,10.75337,25.79413,1.21878,0.3845,31.35402,12.78903,36.26239,10.90486,0.00465,0.00132,0.08186,0.05614,0.7,0.08498
0.0,1.0,hsic,HSIC,10,3.90563,4.24567,1.12909,0.23289,66.50497,18.07364,92.26972,255.49977,2.31686,1.29663,46.92944,15.28085,63.29325,26.11595,0.00551,0.00208,0.14026,0.08401,0.77,0.10593
0.9,0.1,hybrid,HYBRID_ALPHA0.9_BETA0.1,10,2.71575,3.31626,0.95144,0.18614,38.6936,15.91164,10.62865,25.30478,1.22734,0.37435,31.19752,12.97505,32.92394,12.15843,0.00475,0.00118,0.08464,0.05745,0.705,0.08644
0.8,0.2,hybrid,HYBRID_ALPHA0.8_BETA0.2,10,3.61387,4.02998,0.99538,0.20327,38.61896,15.51348,10.41412,24.82507,1.20469,0.40701,30.57504,13.3072,32.61881,12.62127,0.00474,0.0011,0.08257,0.05627,0.705,0.07976
0.7,0.3,hybrid,HYBRID_ALPHA0.7_BETA0.3,10,2.62721,3.08004,0.94595,0.18272,39.05034,16.61292,10.25745,24.29845,1.21048,0.37739,28.95243,12.80673,33.04309,13.99645,0.00465,0.00123,0.08282,0.0585,0.725,0.07546
0.6,0.4,hybrid,HYBRID_ALPHA0.6_BETA0.4,10,2.62395,3.076,0.94519,0.19363,40.72676,18.16302,10.22299,24.08158,1.20315,0.38015,27.34473,13.17754,30.31128,12.23206,0.00469,0.00157,0.08302,0.05987,0.75,0.06667
0.5,0.5,hybrid,HYBRID_ALPHA0.5_BETA0.5,10,2.60924,3.07714,0.93729,0.20122,39.95648,19.66144,10.07897,24.35862,1.16268,0.4138,27.03339,13.26514,28.3238,9.55515,0.00447,0.00145,0.08141,0.06122,0.735,0.10288
0.4,0.6,hybrid,HYBRID_ALPHA0.4_BETA0.6,10,2.64679,3.06214,0.94727,0.20633,41.61811,20.75635,9.52576,20.66131,1.23393,0.42161,30.99177,19.2086,39.4385,25.50865,0.00449,0.00163,0.07904,0.06021,0.715,0.06258
0.3,0.7,hybrid,HYBRID_ALPHA0.3_BETA0.7,10,2.66256,3.00765,0.96083,0.20294,43.66161,20.51805,9.01185,18.39043,1.24554,0.36115,32.58984,15.46926,38.3146,25.46138,0.00464,0.00158,0.08502,0.07214,0.705,0.07619
0.2,0.8,hybrid,HYBRID_ALPHA0.2_BETA0.8,10,2.56312,2.96666,0.94784,0.21394,41.39235,23.98232,7.86995,15.64529,1.14127,0.41513,27.41526,15.62676,29.25893,24.74049,0.00462,0.00174,0.08331,0.07043,0.695,0.10659
0.1,0.9,hybrid,HYBRID_ALPHA0.1_BETA0.9,10,2.75085,2.82704,1.00439,0.20656,45.20073,24.20375,5.10494,9.41915,1.05118,0.32518,30.92862,20.41416,29.90057,20.84204,0.00458,0.00164,0.08127,0.0694,0.685,0.10288
