model_name,node,node_type,beta,alpha,mmd,rf_acc,mmd_all,rf_acc_all,criterion,searched,selected
kan_mixed,bmi,continuous,0.1,0.9,0.009318198611488415,0.9332579185520362,0.007090818065647819,0.7771493212669683,1.7104072398190047,True,False
kan_mixed,bmi,continuous,0.2,0.8,0.009294411997031071,0.9400452488687783,0.007157859803063826,0.7692307692307693,1.7092760180995477,True,False
kan_mixed,bmi,continuous,0.3,0.7,0.00927999939819657,0.9377828054298643,0.0071820927761953035,0.7692307692307693,1.7070135746606336,True,False
kan_mixed,bmi,continuous,0.4,0.6,0.009253252705145432,0.9332579185520362,0.007159844394958204,0.7726244343891403,1.7058823529411766,True,True
kan_mixed,bmi,continuous,0.5,0.5,0.009240229457691651,0.9445701357466063,0.007161771302485853,0.7658371040723982,1.7104072398190047,True,False
kan_mixed,bmi,continuous,0.6,0.4,0.00920017662065098,0.9400452488687783,0.007145931067106703,0.7760180995475113,1.7160633484162897,True,False
kan_mixed,bmi,continuous,0.7,0.3,0.009173115433376955,0.9287330316742082,0.007087235539283587,0.7918552036199095,1.7205882352941178,True,False
kan_mixed,bmi,continuous,0.8,0.2,0.00916356307807531,0.9343891402714932,0.0071135642993754855,0.7737556561085973,1.7081447963800906,True,False
kan_mixed,diabetes,discrete,0.1,0.9,1.2706555945651843e-05,0.5135746606334841,0.007090818065647819,0.7771493212669683,1.2907239819004523,False,False
kan_mixed,diabetes,discrete,0.2,0.8,1.2706555945651843e-05,0.5135746606334841,0.007157859803063826,0.7692307692307693,1.2828054298642533,False,False
kan_mixed,diabetes,discrete,0.3,0.7,1.2706555945651843e-05,0.5135746606334841,0.0071820927761953035,0.7692307692307693,1.2828054298642533,False,False
kan_mixed,diabetes,discrete,0.4,0.6,1.2706555945651843e-05,0.5135746606334841,0.007159844394958204,0.7726244343891403,1.2861990950226243,False,False
kan_mixed,diabetes,discrete,0.5,0.5,1.2706555945651843e-05,0.5135746606334841,0.007161771302485853,0.7658371040723982,1.2794117647058822,False,False
kan_mixed,diabetes,discrete,0.6,0.4,9.335428857726313e-06,0.5135746606334841,0.007145931067106703,0.7760180995475113,1.2895927601809953,False,False
kan_mixed,diabetes,discrete,0.7,0.3,9.335428857726313e-06,0.5135746606334841,0.007087235539283587,0.7918552036199095,1.3054298642533935,False,False
kan_mixed,diabetes,discrete,0.8,0.2,9.335428857726313e-06,0.5135746606334841,0.0071135642993754855,0.7737556561085973,1.2873303167420813,False,False
kan_mixed,ischemia,discrete,0.1,0.9,0.00024920408701345487,0.504524886877828,0.007090818065647819,0.7771493212669683,1.2816742081447963,False,False
kan_mixed,ischemia,discrete,0.2,0.8,0.00024920408701345487,0.504524886877828,0.007157859803063826,0.7692307692307693,1.2737556561085972,False,False
kan_mixed,ischemia,discrete,0.3,0.7,0.0002492040870130108,0.504524886877828,0.0071820927761953035,0.7692307692307693,1.2737556561085972,False,False
kan_mixed,ischemia,discrete,0.4,0.6,0.0002492040870130108,0.504524886877828,0.007159844394958204,0.7726244343891403,1.2771493212669682,False,False
kan_mixed,ischemia,discrete,0.5,0.5,0.0002492040870130108,0.504524886877828,0.007161771302485853,0.7658371040723982,1.2703619909502262,False,False
kan_mixed,ischemia,discrete,0.6,0.4,0.0002492040870130108,0.504524886877828,0.007145931067106703,0.7760180995475113,1.2805429864253393,False,False
kan_mixed,ischemia,discrete,0.7,0.3,0.0002492040870130108,0.504524886877828,0.007087235539283587,0.7918552036199095,1.2963800904977374,False,False
kan_mixed,ischemia,discrete,0.8,0.2,0.00023338572144826486,0.504524886877828,0.0071135642993754855,0.7737556561085973,1.2782805429864252,False,False
kan_mixed,macv,discrete,0.1,0.9,0.0002492040870130108,0.5101809954751131,0.007090818065647819,0.7771493212669683,1.2873303167420813,False,False
kan_mixed,macv,discrete,0.2,0.8,0.0002492040870130108,0.5101809954751131,0.007157859803063826,0.7692307692307693,1.2794117647058822,False,False
kan_mixed,macv,discrete,0.3,0.7,0.0002655410875145314,0.5101809954751131,0.0071820927761953035,0.7692307692307693,1.2794117647058822,False,False
kan_mixed,macv,discrete,0.4,0.6,0.0002655410875145314,0.5101809954751131,0.007159844394958204,0.7726244343891403,1.2828054298642533,False,False
kan_mixed,macv,discrete,0.5,0.5,0.0002655410875145314,0.5101809954751131,0.007161771302485853,0.7658371040723982,1.2760180995475112,False,False
kan_mixed,macv,discrete,0.6,0.4,0.0002655410875145314,0.5101809954751131,0.007145931067106703,0.7760180995475113,1.2861990950226243,False,False
kan_mixed,macv,discrete,0.7,0.3,0.0002655410875145314,0.5101809954751131,0.007087235539283587,0.7918552036199095,1.3020361990950224,False,False
kan_mixed,macv,discrete,0.8,0.2,0.0002655410875145314,0.5101809954751131,0.0071135642993754855,0.7737556561085973,1.2839366515837103,False,False
kan_mixed,systolic,continuous,0.1,0.9,0.026887779100278508,0.9592760180995475,0.007090818065647819,0.7771493212669683,1.7364253393665159,True,False
kan_mixed,systolic,continuous,0.2,0.8,0.02690295447648583,0.9660633484162896,0.007157859803063826,0.7692307692307693,1.7352941176470589,True,False
kan_mixed,systolic,continuous,0.3,0.7,0.02671119652615661,0.9638009049773756,0.0071820927761953035,0.7692307692307693,1.7330316742081449,True,True
