plcg,PKC,PIP3,PKA,PIP2,pjnk,praf,P38,pmek,p44/42,pakts473
1.8643589,1.4039562,1.4794347,-1.4873646,4.0590296,-0.8718189,-0.15746169,-0.8720926,1.1484957,3.7817647,-0.569392
-1.3622096,-0.72680205,-2.285197,-1.0030833,-2.1333005,2.2540853,0.87358975,-0.4910723,1.9578794,1.0852278,1.044428
0.77339303,1.5899256,1.8002694,1.9435312,2.8656054,-3.1733446,0.64818287,0.52979684,-2.8080325,0.3387296,0.9197082
-0.8464553,-0.24151081,0.58199406,0.32701603,-1.2070676,0.34004405,-0.9246444,-1.6367348,0.69833416,-1.0110717,-0.6088542
-1.2367944,2.0152419,-2.7857592,0.2843277,-3.5516775,-2.7188694,-0.07733178,1.6861182,-0.65019566,0.97474897,-1.0319115
-0.7154332,-1.3764341,-0.86576724,-0.9588978,-0.61579365,0.63312054,3.5533812,-1.1299647,4.0159497,4.5319138,0.8009443
2.1464314,0.4765746,0.89570946,0.15953755,2.0636733,0.7127769,-0.45224348,0.70368844,-0.35626656,0.0811695,0.49217212
-0.6241069,-2.1489813,-1.4456375,-1.5694503,-1.9240379,-0.18350334,2.0372224,0.5538241,3.38646,4.333254,-0.08208228
0.7183188,-0.48989004,-0.6337087,0.46378443,-0.82926744,-0.7697911,1.2220591,0.2844101,-2.6925316,0.15355244,0.7844596
0.025340457,0.5896837,0.8176872,1.440603,0.34580725,-2.5865817,1.1379894,0.41004828,-1.623805,-0.4095026,2.2956212
-0.0036825282,-0.31869125,-1.2225049,-0.085492946,-0.9460622,0.87879723,0.694744,-0.026532175,-0.014629914,0.5332318,-0.15266687
0.23090664,0.10082913,1.1240512,1.2464832,1.4651108,-1.0366333,0.68036795,1.5604668,-0.46201465,-2.4226196,-0.039749287
-0.13420114,1.5464375,0.6978616,1.2153686,1.5418462,-2.772756,-1.5975429,1.5062994,-0.6844421,0.63782215,0.5548703
0.61452454,-0.9622669,1.4166703,1.0182527,3.180813,-0.942264,0.11603765,-0.9483758,-1.0330992,-0.25271937,1.5527986
-0.45356572,1.5169916,-2.7308578,0.21984209,-2.8206317,-1.0644385,-1.9627479,1.1023682,0.28290865,-0.5517049,0.16978538
-0.71044356,0.14150278,-1.9491131,-1.3339338,-0.79464793,2.06017,0.85686743,-1.4310502,2.7829063,3.4846995,2.084853
0.032287076,0.089337714,-0.5508839,-0.009867816,-0.94322133,-1.455855,-1.2557648,-0.5753508,-0.3384124,-2.1993165,-1.3414425
0.12144809,0.95727986,-0.23950943,1.1814715,0.761574,-0.74395907,-0.7212754,1.2172579,-1.2578193,-2.218264,1.0069586
0.46141177,1.2754623,0.92688876,2.6661155,0.70387423,-6.695624,1.7573103,0.95198977,-1.8402717,-0.16435693,1.9493784
-0.9917764,-0.50272095,-1.8427396,0.048738636,-1.8201901,0.32813162,-2.065775,-0.54144084,1.4300308,-1.3886853,1.540487
0.29735792,-0.50790125,1.4076204,1.4282215,1.3714924,-0.4644195,0.68692344,-1.2729586,-2.0644648,-0.637565,1.5461268
1.9247065,-0.09590055,-0.42408043,-1.8496977,0.93042904,1.0358193,1.5521024,0.61600924,3.3194463,2.3351674,0.16430052
-0.5244682,0.41829988,-1.3599702,0.31256875,-1.6913778,0.8331763,0.8555431,-0.5540077,0.038587037,0.29259035,0.45346797
0.5454416,0.45986283,0.63882214,-0.3277787,1.6309353,-1.6830754,-1.6917624,-1.3303627,0.6951608,0.42106348,0.7194256
-1.5512787,-0.13162771,-1.2700031,0.09863524,-1.0522472,0.47499403,-1.9583863,-0.09396678,-1.2112432,0.39781898,-2.975065
-0.025663048,-0.14419287,-0.54404604,1.6567886,-0.07942563,-1.3878317,2.7943168,0.2869903,-0.57436407,-0.16997376,2.456321
0.25824413,-0.06188977,1.3397131,-0.8723775,0.76600194,0.22133891,0.22735998,-0.08781748,0.36770332,0.8949718,2.0784976
0.24358098,0.8741001,1.0729194,0.42937866,1.2091496,-0.011566582,0.4740738,0.8364357,-1.7262267,0.52075833,-1.1224141
0.43706262,1.1719545,-1.9737296,-0.73565227,-0.50738436,-2.762469,-0.48402914,-0.37663412,-0.17356332,0.50961095,1.1832654
-0.9542207,0.3902661,-1.9167271,1.3704259,-3.6015754,-1.6323148,0.65784454,-0.059356872,-1.5877507,-0.26705092,1.7724013
-1.672309,-0.83799696,-1.7024807,-0.14917472,-3.6089985,0.6381414,1.4417766,0.032352723,1.775698,1.0322946,0.48302138
-0.69002146,-0.4955855,-0.806004,0.4635449,0.43350804,-0.033756718,0.9847069,0.7250552,-1.082015,-1.3028941,-0.1710181
-0.7715747,0.33427796,-0.89889777,-0.9182117,-1.7062455,-0.22138368,-0.22302765,2.3234334,3.0362558,4.3055034,-0.1079268
-0.1723085,-1.7325742,-0.6272943,-1.6462486,1.4618174,0.77857685,2.764264,2.1286314,4.8013678,4.210201,0.5662031
-0.20000091,0.63259584,-0.120707095,-0.77285784,-1.2977403,0.76180583,-0.63722384,1.1604309,0.41797304,0.4292043,0.59242576
-0.07435916,-0.22827406,0.29601932,1.4016807,-0.47894534,-2.8719347,0.32764447,-1.193284,-3.9187264,-1.1296428,1.7461218
0.95421416,-0.34598112,-0.33127537,0.7576082,0.9820398,-1.8596888,-0.76362157,-0.58256686,0.1747115,-0.5868345,0.4502313
-0.04000384,0.8819563,-1.3701421,1.4412055,0.5489505,-2.813198,0.105474636,0.06152769,-0.97777057,0.12978289,0.2825801
-0.5023861,0.5506586,-0.9362467,-0.22799636,-0.9594034,-2.1093392,-0.76094574,-0.49459437,0.367498,0.43325344,0.996698
-0.60929763,-0.52212113,-0.037445206,-0.5470583,0.40176234,0.1371101,1.7481247,0.7735213,1.4481634,2.012758,1.0056543
0.6659556,-1.2895625,0.48043102,-1.9634051,1.0484834,2.142629,3.4068692,-0.48045036,2.6422942,3.5605063,-1.2382172
0.029507823,-0.4394978,-0.7278538,-0.6334543,0.62244576,2.0887287,0.27952817,-0.55379605,0.85417396,1.0382706,-1.1512973
-1.2250216,1.018014,-0.48464122,-0.17823938,-1.4914339,-1.059506,-0.20304759,1.7389567,-1.0668206,-1.8982317,-0.7625762
0.2937748,0.37258658,-0.37279576,3.1149042,1.9033226,-2.814855,0.31024638,1.0828489,-2.1004982,-1.2463106,2.2655087
-0.49464902,-0.6215792,-2.0324209,-1.1261514,-2.1288755,0.7002013,0.56397957,-1.1146446,1.0958228,1.491661,0.2815302
-0.04578492,1.1083251,-0.15735294,1.1684362,0.062248595,-2.9606385,-0.43113685,-0.695239,0.69023865,-1.5110205,-1.4690452
0.6850515,0.7619471,1.0897881,0.84975207,1.2205532,-1.0616767,-1.3231661,0.4960098,-0.8251791,-0.43294162,1.8183376
0.20326516,-0.724224,-0.6200801,0.18237253,-0.47477874,0.6765392,-0.09065002,-1.8944216,0.06975291,-2.590884,0.047488376
1.2994934,-1.2696474,1.3377645,-0.16318439,2.8430474,-1.7956928,-0.63913596,-1.0167996,0.94435936,0.36942628,1.1771579
-0.41823283,0.94513196,0.23891966,1.690209,-0.8076173,-4.8220196,0.4570739,-0.9664989,-0.92560935,-1.5181227,0.66446877
-0.16499831,1.5540413,1.9399935,-0.6007476,2.18093,0.21206968,-2.2076445,0.5527261,-0.23030783,0.3455904,1.901572
2.5378907,0.328334,0.9311611,0.4952494,3.4416976,-0.32215348,-0.60701644,0.5449116,-0.03925874,1.0298033,0.026092686
0.5135509,-0.60719407,0.2232853,0.371731,0.12896857,-0.7241135,0.26687306,-0.9223017,-2.061525,-0.78075343,-0.45028368
2.114223,-0.4884594,-0.82555526,0.58687115,1.8463117,-0.69089913,-0.34506458,-1.3093933,-1.5988588,-0.52435106,0.1953516
0.72236186,-0.18398564,-0.48668662,0.33896732,1.3113486,-1.1278558,0.2536194,-1.278619,-0.40112668,0.068872206,0.5570758
0.15238878,1.6757042,0.9649205,-1.1855879,3.208373,-1.6192987,0.1757894,0.5628722,-1.047178,2.249972,0.105578564
-0.82427496,1.5594543,0.49527717,0.56822973,-0.41031528,-1.737067,0.6916161,1.9532682,-1.6403345,0.057028085,-0.5646086
-0.42125905,0.1094301,-0.27229697,0.73965454,-0.9856334,-1.6954454,-0.44899434,0.7261167,0.576285,-0.13897462,1.6824888
0.22237413,0.46054253,-0.9485078,0.31252,1.6277882,-0.32255986,-0.14323105,-0.56973153,-1.5932659,0.50030684,0.3612874
0.24010432,-1.3358896,2.1777606,-0.9308901,1.660499,-0.071551435,0.72653854,-0.42824027,0.65746135,0.86271733,-2.52227
0.082533844,1.0254507,0.18328375,0.20557593,-0.3505272,-1.3291657,-1.1666507,0.555527,-0.38786072,0.5707376,-0.07453427
-1.6185905,2.0218208,-3.5694394,0.91034883,-4.259268,-3.030682,1.2064064,1.3199666,-2.232683,-4.1759415,0.6698211
0.50476897,-1.6720269,1.2595632,-1.4512773,1.5869809,1.6734697,2.4686654,0.76225454,3.1445084,5.825278,0.33526665
-0.3019444,-0.11955716,1.3067003,-0.03639028,0.15152222,1.7076416,-0.7443898,-1.3568095,3.271253,3.3939512,0.80006045
0.30956548,0.4024039,1.9050757,1.5995775,1.6149035,-1.2652774,-0.06731153,-0.9781289,-3.1645105,-0.73234385,1.0783942
-0.6913038,-0.36291498,-0.4906477,0.90905833,0.26617062,-0.13484289,0.21462528,0.49551398,0.93792915,0.91351223,0.9779197
0.17821576,0.31454113,0.430353,2.0018675,-0.44862324,-2.9336443,1.1303486,-1.4500173,-3.483516,-1.0210867,1.9361757
-0.07724694,0.9214793,1.3660849,0.75924826,1.8084323,-2.2840784,-1.403269,0.85673577,0.05816622,-2.144913,2.2057593
1.7108783,-0.9748915,-0.77277637,-2.6951783,1.4512751,0.5696623,1.5237983,0.9081127,4.912527,4.884537,-0.56606555
2.7628758,0.76629716,1.3715856,2.3027847,5.1259108,-4.436141,-0.8266436,-0.39524922,-1.8272839,-0.30957845,0.0046385885
-1.4156048,-1.4039232,-2.4013839,-1.181007,-3.540334,0.44476795,2.362648,-0.74491817,2.0676355,2.803223,-0.44873118
0.74284464,-0.76432663,-0.52489567,-0.315349,0.7190339,1.2661096,1.8861845,-0.0022300833,-0.81555784,0.39581546,1.948795
-0.7141517,0.016299434,-2.3672175,0.45967042,-1.5981909,1.0881828,0.45427933,-0.20318682,0.18588842,0.34159872,-0.049935307
-1.4065073,-0.6087785,-1.9679395,0.0015484643,-3.9865434,0.1198217,1.6661042,0.17506647,-0.07173898,-1.0539644,-0.6529392
-1.2516004,1.0086141,-2.6403086,-1.4753771,-2.5625432,1.0957764,0.16898905,-0.44298908,2.306354,1.6806028,1.3618201
-0.31216866,-0.9049558,1.6388569,-2.003631,2.7231915,0.48996085,2.3860197,0.08988258,4.0598216,4.1071663,1.60432
-0.3404014,-0.46712688,-1.3331318,-0.6093136,-1.1913117,0.62600917,0.7931024,0.42194852,1.4842827,2.4759884,-0.7916116
0.3779655,0.76495224,-0.53461784,1.8973961,0.8849568,-3.7781556,1.8391765,0.64399993,-2.3845928,-2.5119126,-0.44136995
-0.283839,-0.15502927,-0.2319391,1.119011,-0.47545055,0.17084813,-0.34501088,-2.1916263,-2.8304076,-1.5383989,0.9258986
-0.38915408,0.4511568,-2.490485,-0.20737657,-2.2626667,0.99645555,0.75827014,-1.0088977,-0.059023365,-1.2075896,1.4491774
1.3644072,-1.2909405,-0.8561514,-2.0456808,-0.21203047,-1.1833841,4.1244082,-0.2467427,4.6827374,3.2250843,-0.09913677
1.2964128,0.85828537,0.13148257,-1.0889553,0.8537377,-0.17854834,-0.34739277,1.49946,0.5334342,-1.4899182,0.3617418
1.8144406,1.0355644,-0.019824564,-0.22956896,2.1852012,-1.2889073,0.09375472,2.2164307,1.2873726,0.3763968,1.9042567
