plcg,PKC,PIP3,PKA,PIP2,pjnk,praf,P38,pmek,p44/42,pakts473
1.8643796,1.4040244,1.1815208,-2.7681558,1.258632,-1.7710987,3.058492,-2.2459598,-4.1179705,-7.2374353,-3.4386187
-1.3621486,-0.7268315,-1.6541293,-0.16999167,-0.37822708,0.17182489,-0.3292005,-0.38497502,-0.32539472,-0.8014742,0.124201454
0.77342737,1.5900024,1.6341039,-0.09517397,0.3845758,0.016545078,1.7801783,-0.50582767,0.44746315,0.4183894,-0.23725758
-0.8464007,-0.24151805,-0.5292995,0.17406584,-0.66190374,0.036501225,-0.15837303,-0.61993235,0.23875467,-0.6100498,-0.08058437
-1.2367349,2.0153382,-1.5824965,-1.7862071,-1.1507648,-1.0490645,3.0552654,-1.287155,-2.797822,-4.8445163,-2.1672995
-0.71538025,-1.3764935,-0.8495362,0.6642855,-0.198254,-0.13782178,0.3762675,-1.6016482,-0.69650006,0.11068312,0.96854955
2.1464489,0.4766003,0.539252,-0.6800263,0.35369724,-0.1327396,0.47956586,0.012299239,-0.5490543,-0.8312424,-0.41892844
-0.6240551,-2.1490762,-1.0030174,1.2906781,-0.5607661,-0.8263952,-0.028609583,-2.540959,-1.7774622,-1.457976,0.5373474
0.71835387,-0.48990867,-1.0593698,0.47509438,-0.093086034,-0.20668529,0.15881436,-0.4816209,-0.57837826,-0.24958351,0.93006474
0.02538419,0.5897146,0.2682244,0.20929655,-0.030813,-0.09089142,0.71975124,-0.10350283,0.61209023,0.13741633,1.1918509
-0.0036384314,-0.31870204,-0.87635607,-0.022966335,-0.11437917,-0.009049755,0.031362567,-0.22279958,-0.17968129,-0.09178759,0.19129229
0.23094782,0.10083759,0.63004047,0.47456336,0.105362505,0.18796672,0.25658637,0.10771027,0.73334193,-0.9060777,-0.2153873
-0.13415541,1.5465121,0.16936526,-0.663676,0.11500393,-0.43391752,1.4306645,-0.43285033,-0.7777472,-0.9104022,-0.6285258
0.6145609,-0.9623073,1.1062001,1.2592692,0.3969982,0.14372522,0.021504346,-1.6612543,-0.6498526,-0.07238438,1.0281217
-0.453516,1.5170649,-1.4693189,-1.459379,-0.57233167,-0.5197812,1.7078875,-0.89287394,-1.9993682,-3.9299986,-1.6118807
-0.7103907,0.14151311,-1.174029,-1.3914667,-0.022785781,-0.37700883,0.5326691,-0.5389391,-1.1592277,-2.0560198,-1.0214379
0.032330725,0.089345634,-0.5353683,-0.40343803,-0.12733062,-0.51295686,-0.013420354,-0.107387766,-0.35930943,-1.27281,-0.6803275
0.121490635,0.9573276,-0.4124321,-0.27602303,0.05683496,0.068476334,0.8365683,-0.033541337,-0.005028497,-0.8799383,-0.12287502
0.46145007,1.2755245,0.5552715,0.70140076,0.102711916,-0.2545401,1.5521821,-0.13089906,1.3302096,0.2644916,0.07319223
-0.99172,-0.50274014,-1.1630393,0.23685363,-0.40935335,-0.10090825,-0.5425042,-0.5632791,0.027306614,-1.1503404,0.49691436
0.29739827,-0.5079207,0.8992275,1.0722086,0.10483044,0.4380522,0.0644636,-1.2581538,-0.19515513,-0.048907448,0.7239491
1.9247265,-0.095901124,-0.9146539,-1.4296981,0.26869252,-0.66048014,0.34932658,-0.20146304,-1.1654967,-2.7277136,-1.4096637
-0.52441764,0.4183229,-0.9363771,-0.50113624,-0.5190261,-0.06267008,0.68032646,-0.17320207,-0.16519324,-0.2257549,-0.06245233
0.5454788,0.45988774,0.3012069,-1.0378119,0.25478497,-0.6821858,0.31349424,-0.47437844,-0.9474987,-1.8540311,-0.8442459
-1.5512153,-0.13162991,-1.7013161,-0.0753597,-0.12073963,-0.06822018,-0.32685366,-0.16545403,-0.33440363,-0.17478359,-0.7255241
-0.02561868,-0.14419566,-0.4769739,0.97534645,-0.05709016,0.3140214,0.49842983,-0.454588,0.64998174,0.23656307,1.1293728
0.25828496,-0.061888784,0.81859773,-0.80956924,0.050739177,-0.46749634,0.085485145,-0.07512296,-0.7418195,-1.3496275,-0.46269912
0.243622,0.874144,0.594972,-0.80551827,0.08981598,-0.1509811,1.1969074,-0.22486377,-0.8909915,-1.2623376,-0.8458498
